N	3gram	Propp_Isto_1	Tragedij
1	в отличие от	2	2
2	точно так же	3	2
3	но в то	1	2
4	о том что	3	2
5	но все же	3	2
6	в том что	4	2
7	в этом случае	1	1
8	не только по	1	1
9	в виде отдельных	1	1
10	в и ленина	1	1
11	и то в	1	1
12	в своей книге	1	1
13	и т п	1	1
14	за то что	1	1
15	стоящая на грани	1	1
16	может быть понят	1	1
17	это может быть	1	1
18	в этой связи	1	1
19	еще ничего не	1	1
20	смысле этого слова	1	1
21	обстоит дело с	2	1
22	и должно быть	2	1
23	и в этом	1	1
24	тем не менее	6	1
25	не могут быть	1	1
26	связаны между собой	1	1
27	все же не	2	1
28	в связи с	3	1
29	не может быть	7	1
30	и знает что	1	1
31	еще в году	1	1
32	в дальнейшем он	1	1
33	в одном из	1	1
34	с того что	3	1
35	с самого начала	2	1
36	один раз и	1	1
37	несмотря на всю	1	1
38	мы узнаем в	1	1
39	виде и что	1	1
40	в последней главе	1	1
41	после того как	1	1
42	к тому что	1	1
43	во всем его	1	1
