N	4gram	Vygotskiy__6	Problema
1	только в том что	1	2
2	не что иное как	1	2
3	в то время как	5	2
4	есть не что иное	1	2
5	мы имеем дело с	1	1
6	и даже сливаться с	1	1
7	в том числе и	1	1
8	не значит что он	1	1
9	как показывает исследование не	1	1
10	в том что мы	2	1
11	в том смысле что	2	1
12	мы имеем дело в	1	1
13	по самой своей природе	4	1
14	с этой точки зрения	1	1
15	это не значит что	1	1
16	до сих пор мы	1	1
17	заключается в том что	5	1
18	не содержит в себе	1	1
19	так же как и	1	1
20	с точки зрения тех	1	1
21	если принять во внимание	2	1
22	одном и том же	2	1
