N	4gram	Medvedev_F_3	Dialekti
1	в коем случае не	1	3
2	ни в коем случае	1	3
3	и тем не менее	1	2
4	с этой точки зрения	1	2
5	в самом деле что	1	2
6	мы имеем в виду	1	1
7	с той или иной	1	1
8	жизни того или иного	1	1
9	и во всяком случае	2	1
10	и т д таким	1	1
11	с точки зрения самого	2	1
12	т д таким образом	1	1
13	что это не просто	1	1
14	во-первых с точки зрения	1	1
15	коем случае не может	1	1
16	бы то ни было	4	1
17	которые сами по себе	1	1
18	одной и той же	1	1
19	в то же время	7	1
20	в зависимости от характера	1	1
21	и в то же	2	1
22	и пр и пр	1	1
