N	3gram	Tiupa_Hudo_1	Psycholo
1	в том что	7	17
2	для того чтобы	2	13
3	с точки зрения	3	10
4	заключается в том	1	10
5	не может быть	3	8
6	так же точно	1	7
7	то же самое	1	6
8	в художественном произведении	1	5
9	что в основе	2	4
10	том случае если	1	4
11	в том случае	1	4
12	так же как	1	4
13	тем не менее	3	4
14	о том что	1	4
15	и в самом	1	4
16	том что она	1	3
17	том что он	1	3
18	точно так же	1	3
19	в то время	1	3
20	в конечном счете	5	3
21	таким образом и	1	3
22	в отношении к	1	3
23	то есть как	1	2
24	состоит в том	5	2
25	это было бы	1	2
26	подобно тому как	1	2
27	в том и	2	2
28	что он не	1	2
29	как и в	1	2
30	а на деле	2	2
31	бы то ни	1	2
32	этой точки зрения	1	2
33	и в том	1	2
34	то же время	5	2
35	в свою очередь	2	2
36	того или иного	3	2
37	ту же самую	1	2
38	с другой стороны	5	2
39	в то же	5	2
40	заключает в себе	1	2
41	к тому что	2	2
42	же точно и	1	2
43	и того же	2	1
44	речи с ее	1	1
45	что иное как	1	1
46	произведения искусства она	1	1
47	в данный момент	2	1
48	имеем в виду	3	1
49	в этом смысле	3	1
50	может быть признано	1	1
51	он не только	1	1
52	в этом случае	1	1
53	той же природы	1	1
54	в таком случае	1	1
55	в отличие от	7	1
56	в искусстве не	1	1
57	только то что	1	1
58	в обычной речи	1	1
59	но он не	2	1
60	а с другой	2	1
61	и без остатка	1	1
62	в основе своей	1	1
63	в противном случае	2	1
64	с этой точки	1	1
65	по крайней мере	1	1
66	то или иное	1	1
67	не могли бы	1	1
68	одно и то	3	1
69	в такое же	1	1
70	то ни было	1	1
71	едва ли не	1	1
72	приводит к тому	2	1
73	в чем состоит	1	1
74	в основе его	1	1
75	с одной стороны	2	1
76	не в самом	2	1
77	и то же	3	1
78	бы вбирает в	1	1
79	не более чем	1	1
80	точки зрения и	1	1
81	принадлежат к числу	1	1
82	в произведении искусства	1	1
83	не могут быть	1	1
84	имеем дело с	1	1
85	в одном случае	1	1
86	в связи с	1	1
87	и со всеми	1	1
88	только о том	1	1
89	более или менее	5	1
90	есть не что	1	1
91	в русском языке	1	1
92	обычной речи и	1	1
93	по себе а	1	1
94	может быть это	1	1
95	как бы вбирает	1	1
96	мы имеем в	3	1
97	и тем самым	1	1
98	при этом что	1	1
99	именно потому что	1	1
100	можно сказать что	3	1
101	одного и того	2	1
102	друг от друга	1	1
103	самое существенное для	1	1
104	больше и больше	1	1
105	не что иное	1	1
106	мы встречаемся с	1	1
107	то что они	1	1
108	вбирает в себя	1	1
