N	3gram	Bakhtin_Pr_1	Literetu
1	то же время	9	7
2	в то же	9	7
3	в этом отношении	3	5
4	по отношению к	8	4
5	в данном случае	2	4
6	о том что	1	4
7	в том что	6	4
8	с точки зрения	13	3
9	не может быть	4	3
10	то что я	1	2
11	к себе самому	1	2
12	в самом деле	2	2
13	подобно тому как	3	2
14	то же самое	1	2
15	не в одном	1	2
16	бы то ни	2	2
17	и в частности	1	2
18	не только в	2	2
19	то ни было	1	2
20	а не как	4	2
21	с другой стороны	3	2
22	в одном из	1	2
23	тем что он	1	2
24	но и не	2	2
25	в другом месте	1	1
26	для него не	2	1
27	хотя и не	1	1
28	точки зрения которого	1	1
29	на самом деле	4	1
30	одно из самых	1	1
31	новые и новые	1	1
32	как будто бы	1	1
33	целом ряде других	2	1
34	сознания с его	1	1
35	но не в	1	1
36	хотя бы и	2	1
37	от той же	1	1
38	в себе и	1	1
39	тому как в	1	1
40	то что в	1	1
41	и т п	3	1
42	но это не	2	1
43	почти никогда не	1	1
44	говорит сам себе	1	1
45	может быть только	1	1
46	то что было	3	1
47	то что для	1	1
48	в нас самих	1	1
49	на первый взгляд	1	1
50	и в целом	2	1
51	и только в	1	1
52	и потому не	1	1
53	это и есть	1	1
54	не тем что	1	1
55	и наконец в	1	1
56	в целом ряде	2	1
57	но не только	1	1
58	он и не	1	1
59	как бы в	2	1
60	для того чтобы	1	1
61	а не только	1	1
62	между тем как	4	1
63	этой точки зрения	1	1
64	и вот в	1	1
65	более или менее	1	1
66	как и всякое	1	1
67	все новые и	1	1
68	начинается там где	1	1
69	все же остается	1	1
70	в свою очередь	1	1
71	не только не	1	1
72	мира а не	1	1
73	к тому что	1	1
74	в отношении к	1	1
75	за ним и	1	1
76	сама по себе	1	1
77	это не только	1	1
78	миры еще не	1	1
79	быть не может	1	1
80	из тех кто	1	1
