N	2gram	Trubetskoy_1	Analitik
1	не только	9	22
2	тогда как	2	20
3	и в	14	18
4	как и	4	14
5	так и	1	14
6	в этом	17	14
7	но и	10	13
8	том что	9	12
9	в качестве	3	12
10	и не	19	12
11	в частности	2	12
12	при этом	5	11
13	то есть	1	10
14	а в	5	10
15	как бы	4	10
16	что в	4	9
17	может быть	9	9
18	со стороны	4	9
19	а не	2	9
20	в том	17	9
21	со своей	1	8
22	и даже	2	8
23	по отношению	2	7
24	в его	4	7
25	с другой	1	7
26	но не	4	7
27	отношению к	1	7
28	еще не	3	6
29	в этой	4	6
30	он не	5	6
31	в их	4	6
32	не в	4	6
33	к тому	7	6
34	для него	6	6
35	о том	7	6
36	в начале	2	6
37	того же	1	5
38	в самом	3	5
39	лишь в	3	5
40	в мире	4	5
41	или иной	5	5
42	в сущности	1	5
43	что и	3	5
44	между тем	5	5
45	уже не	2	5
46	в конце	3	5
47	никогда не	5	5
48	в свою	1	5
49	прежде всего	8	5
50	не является	1	5
51	в результате	2	5
52	и на	5	4
53	столь же	1	4
54	что он	6	4
55	отнюдь не	7	4
56	в своем	6	4
57	и как	3	4
58	что по	1	4
59	по пути	1	4
60	и к	6	4
61	таким образом	11	4
62	приводит к	4	4
63	состоит в	2	4
64	по себе	2	4
65	тем самым	2	4
66	не менее	1	4
67	свою очередь	1	4
68	можно сказать	1	4
69	крайней мере	1	4
70	себя в	4	4
71	не есть	3	4
72	по крайней	1	4
73	в данном	7	4
74	все же	4	4
75	перед нами	1	4
76	с новыми	1	3
77	мы не	1	3
78	говорить о	3	3
79	но как	1	3
80	если в	6	3
81	что они	3	3
82	с этим	2	3
83	что касается	1	3
84	из этих	3	3
85	роль в	1	3
86	тому же	1	3
87	то же	11	3
88	не будет	7	3
89	его в	4	3
90	и того	1	3
91	одного и	1	3
92	точки зрения	11	3
93	и без	1	3
94	не столько	1	3
95	все это	6	3
96	до известной	1	3
97	в то	10	3
98	только не	1	3
99	же время	10	3
100	следует признать	1	3
101	той или	3	3
102	указывает на	2	3
103	с ее	1	3
104	в ее	1	3
105	данном случае	3	3
106	мысль о	1	3
107	путь к	4	3
108	именно в	3	3
109	было бы	5	3
110	во всем	4	3
111	по воле	2	3
112	этом отношении	1	3
113	были бы	2	3
114	еще и	1	3
115	что не	1	3
116	не было	3	3
117	однако и	1	3
118	не всегда	1	3
119	как это	1	3
120	известной степени	1	3
121	к этому	1	3
122	только к	3	2
123	отношения к	2	2
124	самом деле	7	2
125	от своей	2	2
126	есть не	1	2
127	на себя	2	2
128	в ней	2	2
129	во всех	5	2
130	в общем	1	2
131	очевидно что	1	2
132	это и	1	2
133	сама по	2	2
134	когда он	1	2
135	но в	2	2
136	все эти	2	2
137	в себе	9	2
138	не могла	1	2
139	на его	1	2
140	в нем	5	2
141	однако при	1	2
142	о которой	1	2
143	видеть в	2	2
144	и вот	2	2
145	и по	3	2
146	и ту	1	2
147	значительной степени	1	2
148	могла бы	1	2
149	входит в	1	2
150	это не	1	2
151	с самим	2	2
152	в жизни	1	2
153	борьбе за	1	2
154	о которых	3	2
155	с тем	6	2
156	несмотря на	3	2
157	иначе говоря	1	2
158	с точки	9	2
159	в принципе	1	2
160	тем не	1	2
161	даже в	1	2
162	все три	1	2
163	дело в	1	2
164	одна из	3	2
165	по своей	1	2
166	сводится к	3	2
167	могут быть	1	2
168	подход к	1	2
169	в себя	1	2
170	те же	1	2
171	в борьбе	2	2
172	об этом	1	2
173	и т.д	4	2
174	о своей	1	2
175	в новую	1	2
176	любви к	2	2
177	в значительной	3	2
178	в глазах	2	2
179	один из	1	2
180	обе эти	1	2
181	только в	5	2
182	то в	3	2
183	тот или	1	2
184	все они	3	2
185	для всех	6	2
186	с нею	3	2
187	вопроса о	1	2
188	в большинстве	3	2
189	всяком случае	6	2
190	не для	1	2
191	мы можем	2	2
192	тем что	3	2
193	и прежде	1	2
194	на эту	2	2
195	совершенно очевидно	2	2
196	связь с	1	2
197	не может	22	2
198	о себе	1	2
199	вместе с	4	2
200	и потому	3	2
201	по своему	1	2
202	да и	3	2
203	этого слова	1	2
204	и для	6	2
205	и следует	1	2
206	и от	2	2
207	и все	1	2
