N	2gram	Potebnia_M_4	Dialekti
1	не есть	9	47
2	и не	18	30
3	может быть	26	20
4	не только	10	19
5	и в	23	19
6	по себе	11	18
7	и т	7	17
8	а не	12	16
9	в себе	14	15
10	т д	3	15
11	что она	2	14
12	потому что	33	14
13	то что	29	14
14	в том	23	14
15	так как	14	14
16	и даже	2	14
17	как бы	5	14
18	вовсе не	7	13
19	то же	14	12
20	точки зрения	4	12
21	но и	11	12
22	и все	4	12
23	есть всегда	3	11
24	и как	2	10
25	что это	7	10
26	в нем	7	10
27	как и	14	10
28	том что	12	10
29	стало быть	8	10
30	сказать что	8	10
31	так и	6	10
32	это не	7	10
33	по крайней	5	9
34	никогда не	3	9
35	времени и	1	9
36	крайней мере	5	9
37	не может	11	9
38	она есть	1	9
39	мы уже	3	8
40	в этом	23	8
41	в своей	1	8
42	с точки	3	8
43	не в	11	8
44	есть нечто	5	8
45	она не	2	8
46	прежде всего	1	8
47	это есть	3	8
48	это значит	1	8
49	и то	5	7
50	есть не	4	7
51	так что	5	7
52	и к	6	7
53	должно быть	5	7
54	как это	1	7
55	и притом	2	7
56	в поэзии	3	7
57	только тогда	5	7
58	в душе	1	7
59	но что	2	7
60	как будто	1	7
61	но это	3	7
62	поэтический образ	3	7
63	что в	17	7
64	я не	2	6
65	но не	1	6
66	тогда когда	8	6
67	в то	4	6
68	не могу	2	6
69	и вообще	2	6
70	и та	4	6
71	что он	4	6
72	конечно не	2	6
73	не потому	1	6
74	что не	6	6
75	того что	14	6
76	да и	4	6
77	и может	4	6
78	есть и	2	6
79	жизни и	1	6
80	и потому	10	5
81	и это	2	5
82	должна быть	1	5
83	говорить о	5	5
84	и стало	1	5
85	в силу	7	5
86	все равно	3	5
87	же время	3	5
88	и его	2	5
89	и с	4	5
90	в виду	3	5
91	сознания и	1	5
92	о том	8	5
93	и что	7	5
94	можно сказать	4	5
95	но как	1	5
96	не то	5	5
97	что и	7	5
98	тела и	2	5
99	с другой	2	5
100	а именно	4	5
101	и следовательно	3	5
102	в одно	1	5
103	что поэзия	3	5
104	по своему	2	5
105	в смысле	3	5
106	только что	3	5
107	в самом	3	5
108	только в	15	5
109	и есть	3	4
110	поэзии и	7	4
111	во мне	1	4
112	еще не	3	4
113	быть в	1	4
114	самом деле	3	4
115	за пределы	1	4
116	независимо от	6	4
117	в своем	8	4
118	все же	1	4
119	та же	1	4
120	и если	3	4
121	при этом	15	4
122	он не	2	4
123	же это	1	4
124	и по	3	4
125	таким образом	24	4
126	заключается в	1	4
127	одна и	2	4
128	а потом	1	4
129	в одном	4	4
130	но он	1	4
131	все это	5	4
132	с ним	5	4
133	связи с	3	4
134	в таком	4	4
135	в каком	4	4
136	не могут	2	4
137	есть только	5	4
138	той или	1	4
139	без всякого	1	4
140	в ее	2	4
141	и когда	2	4
142	ясно что	1	4
143	в другом	1	4
144	может не	1	4
145	к нему	5	4
146	и только	3	4
147	субъекта и	1	4
148	как нечто	1	4
149	вопрос об	1	4
150	уже в	5	4
151	одно из	1	4
152	то время	1	4
153	от того	4	4
154	нельзя сказать	3	4
155	в связи	1	4
156	могут быть	7	4
157	том смысле	2	4
158	быть и	2	4
159	хотя бы	4	4
160	а в	5	4
161	другой стороны	1	4
162	таком случае	2	3
163	сам по	4	3
164	как мы	2	3
165	что если	6	3
166	вопрос о	2	3
167	что иное	2	3
168	оно есть	2	3
169	это время	1	3
170	иное как	2	3
171	в чем	1	3
172	в этой	1	3
173	с этим	7	3
174	кроме того	3	3
175	себе как	1	3
176	не значит	2	3
177	об этом	2	3
178	его в	4	3
179	это было	2	3
180	и поэзии	3	3
181	и мы	5	3
182	было бы	8	3
183	мы имеем	4	3
184	между собою	4	3
185	и тогда	1	3
186	в этих	3	3
187	что такое	7	3
188	сами по	2	3
189	и более	4	3
190	что этот	1	3
191	даже в	2	3
192	не менее	5	3
