N	2gram	Berdyaev_M_2	FransuaR
1	и в	46	41
2	во всех	2	17
3	в нем	22	16
4	и с	3	16
5	и его	5	13
6	но и	15	13
7	в этом	20	12
8	все эти	1	11
9	все это	1	11
10	в самом	5	10
11	не только	18	10
12	так как	8	10
13	прежде всего	12	10
14	то что	5	10
15	и на	3	9
16	о том	3	9
17	и все	5	9
18	в сущности	2	8
19	но в	10	8
20	в этой	7	8
21	никогда не	18	8
22	в них	3	7
23	как и	13	7
24	том что	4	7
25	в его	5	7
26	у него	22	7
27	как бы	8	7
28	что в	4	7
29	также и	4	6
30	в эпоху	1	6
31	в образе	3	6
32	один из	5	6
33	мы видим	2	6
34	вместе с	2	6
35	сказать что	3	6
36	что он	7	6
37	и он	11	5
38	с его	4	5
39	в ее	1	5
40	в своем	8	5
41	что это	6	5
42	в себе	10	5
43	то же	5	5
44	той же	3	5
45	еще в	2	5
46	но он	11	5
47	во всем	5	5
48	тем что	3	5
49	легенды о	1	5
50	так и	4	5
51	и что	2	5
52	а также	1	5
53	во франции	1	5
54	так же	6	5
55	в той	1	5
56	того же	1	4
57	самом деле	1	4
58	в ней	11	4
59	он был	9	4
60	средних веков	1	4
61	как в	7	4
62	и как	1	4
63	та же	10	4
64	в другом	1	4
65	не в	9	4
66	но они	1	4
67	в основе	2	4
68	того чтобы	4	4
69	у нас	11	4
70	роль в	1	4
71	с ним	3	4
72	все время	2	4
73	тот же	2	4
74	всех его	1	4
75	уже в	2	4
76	в котором	1	4
77	с другой	1	4
78	и от	3	4
79	а в	2	4
80	не может	15	4
81	из этого	1	4
82	все что	4	4
83	они были	3	3
84	он сам	6	3
85	людей в	2	3
86	в чем	3	3
87	как у	2	3
88	в голове	1	3
89	с этим	1	3
90	и сам	1	3
91	в плане	1	3
92	людей и	3	3
93	на все	3	3
94	было бы	1	3
95	нас не	2	3
96	втором случае	1	3
97	к этим	1	3
98	потому что	12	3
99	только с	3	3
100	этом отношении	1	3
101	в духе	5	3
102	они и	4	3
103	народа и	4	3
104	говорили что	1	3
105	те же	5	3
106	до сих	3	3
107	к нему	2	3
108	во втором	1	3
109	того что	6	3
110	мы увидим	2	3
111	только в	3	3
112	есть в	3	3
113	до того	1	3
114	что не	2	3
115	связано с	3	3
116	вход в	1	3
117	не были	1	3
118	и не	18	3
119	с этой	1	3
120	сих пор	3	3
121	но это	8	3
122	не мог	3	3
123	и для	7	3
124	между ними	1	3
125	жизни и	6	3
126	они не	4	3
127	всем и	1	2
128	связана с	7	2
129	и то	1	2
130	это и	3	2
131	из самых	1	2
132	с точки	1	2
133	ведь и	1	2
134	должна быть	1	2
135	мы не	1	2
136	говорить о	1	2
137	а для	2	2
138	землю и	2	2
139	то он	2	2
140	в новом	1	2
141	за пределы	1	2
142	что они	3	2
143	в центре	2	2
144	точки зрения	2	2
145	хотя и	2	2
146	было также	1	2
147	духа в	2	2
148	он в	3	2
149	раз в	1	2
150	и тот	2	2
151	и те	2	2
152	как он	3	2
153	на его	2	2
154	он не	10	2
155	и вечно	1	2
156	на этом	2	2
157	находит себе	1	2
158	что все	5	2
159	самим собой	1	2
160	лишь в	2	2
161	самый характер	1	2
162	а за	2	2
163	в развитии	1	2
164	был бы	1	2
165	но если	1	2
166	в своей	5	2
167	но эта	2	2
168	их в	1	2
169	для этого	4	2
170	как о	1	2
171	тогда когда	2	2
172	у кого	1	2
173	для всего	1	2
174	так что	2	2
175	связи с	2	2
176	превращается в	2	2
177	к себе	2	2
178	не могут	1	2
179	должен быть	4	2
180	и этим	2	2
181	которая была	1	2
182	возможно что	1	2
183	в значительной	1	2
184	доходит до	6	2
185	между тем	2	2
186	и во	3	2
187	там и	6	2
188	но с	2	2
189	в народе	6	2
190	со всеми	1	2
191	себя в	4	2
192	переходит в	8	2
193	что если	1	2
194	всеми его	1	2
195	себе в	2	2
196	никто не	1	2
197	и прежде	1	2
198	в конце	5	2
199	может быть	21	2
200	человека и	7	2
201	что человек	2	2
202	мы еще	2	2
203	до конца	4	2
204	а не	13	2
205	мира в	1	2
206	в последней	2	2
207	и потому	7	2
208	не был	2	2
209	и часто	1	2
210	в пределе	2	2
211	мира и	1	2
212	бы в	2	2
213	в этих	2	2
214	еще более	2	2
215	в том	3	2
216	все они	1	2
217	и у	1	2
218	это все	2	2
219	от всех	1	2
220	есть и	3	2
221	сила и	1	2
222	от этой	2	1
223	в сфере	2	1
224	до пределов	1	1
225	сам по	2	1
226	на самом	1	1
227	он может	1	1
228	вот на	1	1
229	он хотел	1	1
230	то в	2	1
231	между двумя	1	1
232	в мыслях	1	1
233	он уже	2	1
234	с таким	2	1
235	его не	2	1
236	человека которая	2	1
237	это совершенно	1	1
238	за себя	1	1
239	чтобы не	3	1
240	и над	1	1
241	принадлежит к	2	1
242	самом первоначальном	1	1
243	хотел сказать	1	1
244	что теперь	1	1
245	в xix	1	1
246	и много	1	1
247	на них	1	1
248	на их	1	1
249	тем как	1	1
250	бы не	2	1
251	в изображении	1	1
252	друг к	5	1
253	и всякий	1	1
254	значение и	1	1
255	по отношению	2	1
256	менее всего	3	1
257	отношение к	8	1
258	себе и	2	1
259	универсализм и	1	1
260	друга и	1	1
261	нет и	1	1
262	других произведениях	1	1
263	мы дадим	1	1
264	кровь от	1	1
265	и нет	3	1
266	что нет	3	1
267	от народной	1	1
268	и к	7	1
269	человеке человек	1	1
270	в действительности	2	1
271	есть ли	2	1
272	со своей	1	1
273	в которой	2	1
274	в целом	1	1
275	в нашем	7	1
276	во многих	1	1
277	думать что	4	1
278	с народной	1	1
279	бы только	1	1
280	ее как	1	1
281	если он	2	1
282	этот процесс	2	1
283	и если	2	1
284	то человек	1	1
285	в первых	1	1
286	уже начинает	1	1
287	перестает быть	1	1
288	они в	1	1
289	поглощает и	1	1
290	он должен	1	1
291	и вот	5	1
292	на земле	8	1
293	образа и	2	1
294	это один	1	1
295	с собой	2	1
296	но все	1	1
297	значительной степени	1	1
298	жить в	1	1
299	на нее	1	1
300	в каждом	3	1
301	тем в	1	1
302	другого человека	2	1
303	была в	1	1
304	их и	1	1
305	его в	3	1
306	и других	2	1
307	на протяжении	1	1
308	еще вернемся	2	1
309	он есть	1	1
310	отца и	1	1
311	есть также	2	1
312	и тем	1	1
313	в жизни	4	1
314	он начал	1	1
315	что природа	2	1
316	с тем	1	1
317	эту тему	1	1
318	которой он	1	1
319	чем в	2	1
320	в церкви	2	1
321	и тогда	3	1
322	огне и	1	1
323	них много	1	1
324	сознания но	1	1
325	ничего подобного	3	1
326	во времена	1	1
327	место в	2	1
328	степени не	1	1
329	в которых	1	1
330	своего рода	1	1
331	от его	2	1
332	всякий раз	1	1
333	признать что	1	1
334	сходства с	1	1
335	одном из	1	1
336	а вне	1	1
337	мир и	2	1
338	вниз в	1	1
339	земле и	1	1
340	не могли	1	1
341	по себе	2	1
342	в землю	1	1
343	вернемся к	1	1
344	в отношении	5	1
345	и против	3	1
346	эта мысль	2	1
347	до известной	1	1
348	это чувство	1	1
349	все три	1	1
350	правда в	2	1
351	того как	3	1
352	она никогда	3	1
353	жизни из	1	1
354	и именно	1	1
355	та или	1	1
356	он с	1	1
357	не имеет	4	1
358	ничего не	2	1
359	от плоти	1	1
360	плоть от	1	1
361	и весь	1	1
362	нее нет	1	1
363	или иная	1	1
364	можно видеть	1	1
365	к концу	1	1
366	же начало	1	1
367	он стоит	1	1
368	ему и	1	1
369	же этот	1	1
370	духа а	1	1
371	xix веке	1	1
372	как будто	2	1
373	не знали	1	1
374	представляется нам	1	1
375	из источников	1	1
376	в момент	1	1
377	легенда о	1	1
378	о путях	1	1
379	по характеру	1	1
380	к другу	5	1
381	и другим	1	1
382	его с	2	1
383	той или	1	1
384	как человек	1	1
385	нем есть	6	1
386	превращена в	1	1
387	природы от	1	1
388	и это	5	1
389	приходит к	2	1
390	большое место	1	1
391	и землю	2	1
392	всего этого	1	1
393	же не	1	1
394	формы и	1	1
395	от крови	1	1
396	в пределах	1	1
397	дано в	1	1
398	веру в	1	1
399	он так	2	1
400	можно было	2	1
401	с самим	3	1
402	начала и	1	1
403	мог бы	1	1
404	и каждый	1	1
405	жизнь и	4	1
406	об этом	1	1
407	связанная с	1	1
408	образ этот	1	1
409	создает атмосферу	1	1
410	и здесь	6	1
411	и поэтому	2	1
412	на что	1	1
413	мысль не	1	1
414	после того	2	1
415	и кровь	1	1
416	нас в	2	1
417	это была	2	1
418	нет у	3	1
419	же черт	1	1
420	и атмосфера	1	1
421	строя жизни	1	1
422	что и	4	1
423	это не	5	1
424	вслед за	1	1
425	века и	1	1
426	нем и	1	1
427	у всех	2	1
428	наук и	2	1
429	то все	2	1
430	человека в	14	1
431	это очень	1	1
432	начало в	1	1
433	которых он	1	1
434	и перед	3	1
435	в природе	1	1
436	всякого человека	2	1
437	в уста	1	1
438	был также	1	1
439	люди которые	1	1
440	к земле	1	1
441	был так	1	1
442	бы у	1	1
443	уже не	4	1
444	и они	1	1
445	не дает	1	1
446	мир в	1	1
447	для него	18	1
448	ни в	3	1
449	в пространстве	1	1
450	у нее	1	1
451	и продолжает	1	1
452	характер его	1	1
453	человек как	1	1
454	была еще	2	1
455	они будут	1	1
456	ее на	1	1
457	для того	5	1
458	для сохранения	2	1
459	момент в	3	1
460	а потому	1	1
461	и брат	1	1
462	или иной	2	1
