N	3gram	Losev_Prob_3	KFilosof
1	не может быть	5	11
2	с точки зрения	2	10
3	в чем не	2	4
4	ни в чем	2	4
5	может быть в	1	3
6	и в этом	6	3
7	это не есть	1	3
8	того или иного	3	3
9	на самом деле	2	3
10	в котором он	1	3
11	не было бы	3	3
12	во всей его	1	2
13	в то же	4	2
14	бы то ни	4	2
15	и только в	2	2
16	ни в каком	4	2
17	другое дело когда	1	2
18	в целом и	1	2
19	все эти различения	1	2
20	вовсе не есть	8	2
21	в том что	9	2
22	ничего общего не	1	2
23	но это уже	1	2
24	то или иное	2	2
25	вовсе не значит	1	2
26	и ни в	2	2
27	той или иной	8	2
28	а не в	1	2
29	во всех этих	1	2
30	тем не менее	10	2
31	дело здесь не	3	2
32	то ни было	3	2
33	мы не можем	1	1
34	которой он не	1	1
35	и тем самым	2	1
36	ввиду того что	1	1
37	и вопрос о	1	1
38	себя в нем	1	1
39	по себе а	3	1
40	только тогда когда	1	1
41	в одном случае	1	1
42	образом и в	1	1
43	то что и	1	1
44	и не в	1	1
45	но все они	1	1
46	смысле этого слова	1	1
47	в ту или	1	1
48	не должен здесь	1	1
49	ровно ничего не	2	1
50	когда мы говорим	3	1
51	но может быть	1	1
52	это уже не	2	1
53	равно как и	1	1
54	но это не	1	1
55	может быть и	3	1
56	для того чтобы	1	1
57	на то что	1	1
58	дело не в	2	1
59	хотя бы только	1	1
60	что и в	3	1
61	к тому что	1	1
62	это и не	3	1
63	а не просто	3	1
64	здесь не в	3	1
65	и того же	1	1
66	от себя не	1	1
67	то же самое	7	1
68	и как бы	2	1
69	едва ли кто-нибудь	1	1
70	не есть принцип	1	1
71	или в виде	1	1
72	само по себе	3	1
73	и в его	3	1
74	могло бы быть	2	1
75	и то что	7	1
76	и само это	1	1
77	все это можно	1	1
78	ничем не отличаются	1	1
79	как о принципе	1	1
80	общего не имеет	1	1
81	но отнюдь не	1	1
82	в том смысле	3	1
83	и тем не	3	1
84	до конца и	1	1
85	в настоящее время	2	1
86	во всяком случае	6	1
87	не значит что	2	1
88	и может быть	1	1
89	одного и того	1	1
90	но никто не	1	1
91	не менее в	1	1
92	ее и по	1	1
93	имеют дело с	1	1
94	для нас как	1	1
95	общее и индивидуальное	1	1
96	чего не было	1	1
97	можно ли однако	1	1
98	конечно дело здесь	1	1
99	только в том	1	1
100	отнюдь не являются	1	1
101	и говорить о	1	1
102	при таком положении	1	1
103	как бы ни	1	1
104	не есть просто	2	1
105	дело в том	3	1
106	и все же	1	1
107	предмет как бы	1	1
108	в индивидуальность а	1	1
109	в нем не	1	1
110	лежащий в основе	1	1
111	в первом случае	1	1
112	ту или иную	1	1
113	если мы возьмем	2	1
114	это не значит	1	1
115	мы говорим о	2	1
116	до того что	1	1
117	отнюдь не значит	1	1
118	а во втором	1	1
