N	2gram	Nazirov_Tr_1	Myslijsy
1	потому что	2	46
2	то есть	3	34
3	в том	2	32
4	и в	18	30
5	может быть	7	28
6	то же	5	23
7	только в	1	21
8	не только	8	21
9	для нас	1	20
10	но и	4	19
11	того что	1	18
12	то что	4	18
13	том что	4	18
14	что в	4	17
15	не есть	1	17
16	в себе	4	16
17	по себе	1	16
18	и не	7	15
19	не в	2	15
20	а не	1	15
21	таким образом	1	14
22	что и	2	13
23	вместе с	1	12
24	точно так	2	12
25	этого слова	1	11
26	так и	5	11
27	что оно	1	11
28	как и	5	10
29	в то	5	10
30	как в	3	10
31	в этом	9	10
32	в душе	2	10
33	и что	4	10
34	в нем	4	9
35	для него	3	9
36	между тем	1	9
37	только что	1	8
38	что не	1	8
39	в самом	2	8
40	в ней	1	8
41	и то	2	8
42	тем самым	3	7
43	с тем	2	7
44	но не	1	7
45	смысле этого	1	7
46	к тому	2	7
47	так что	2	7
48	как мы	1	7
49	тем что	2	7
50	слова в	1	7
51	с одной	1	7
52	не может	5	6
53	и теперь	1	6
54	с ним	3	6
55	например в	1	6
56	не имеет	2	6
57	то и	2	6
58	уже не	2	6
59	что он	6	6
60	указывает на	1	6
61	но это	4	6
62	еще не	4	5
63	же время	6	5
64	на деле	1	5
65	не менее	1	5
66	только по	1	5
67	что я	4	5
68	одно из	1	5
69	и т	1	5
70	к ней	1	5
71	человека и	1	5
72	уже в	3	5
73	должно быть	3	5
74	в них	1	5
75	сам по	1	5
76	не могут	2	5
77	если б	2	5
78	и как	3	5
79	мысль о	1	5
80	к одному	1	5
81	вместе и	1	5
82	в своем	3	5
83	и его	6	4
84	не к	1	4
85	не было	1	4
86	без слов	1	4
87	этот образ	4	4
88	что это	5	4
89	бы не	1	4
90	на мысль	1	4
91	для понимания	1	4
92	что даже	1	4
93	в его	3	4
94	и при	1	4
95	и от	1	4
96	один из	3	4
97	и потому	1	4
98	перестает быть	1	4
99	по поводу	2	4
100	в котором	1	4
101	об отношении	1	4
102	что именно	1	4
103	того как	1	4
104	он не	2	4
105	все это	4	4
106	столь же	2	4
107	и это	2	4
108	и по	1	4
109	что все	2	3
110	в которой	1	3
111	и вместе	1	3
112	что при	1	3
113	так же	4	3
114	никто не	3	3
115	и все	4	3
116	есть в	1	3
117	к нему	3	3
118	не я	1	3
119	я и	1	3
120	при этом	3	3
121	того чтобы	1	3
122	его в	2	3
123	в образе	6	3
124	этого не	1	3
125	в таком	2	3
126	только на	1	3
127	тем и	1	3
128	в целом	4	3
129	в чем	1	3
130	в первом	2	3
131	тем не	1	3
132	в человеке	1	3
133	это было	1	3
134	друг друга	2	3
135	прежде всего	4	3
136	имеет для	1	3
137	а к	1	3
138	могут быть	1	3
139	именно в	1	3
140	тому что	1	3
141	и на	7	3
142	тогда и	1	3
143	и есть	1	3
144	что она	2	3
145	быть может	1	3
146	от всего	2	3
147	как бы	7	3
148	не могла	1	2
149	при создании	1	2
150	все же	5	2
151	в форме	1	2
152	бы в	1	2
153	и наконец	1	2
154	так нельзя	1	2
155	тогда как	1	2
156	о том	2	2
157	форму то	1	2
158	значение только	1	2
159	для ребенка	1	2
160	есть такая	1	2
161	из себя	1	2
162	его с	1	2
163	т п	1	2
164	связи с	1	2
165	несмотря на	5	2
166	вопрос об	1	2
167	во времена	1	2
168	с сознанием	1	2
169	в виде	2	2
170	но мы	1	2
171	нельзя же	1	2
172	это в	1	2
173	человек не	1	2
174	от него	1	2
175	в своей	1	2
176	с каким	1	2
177	в одном	2	2
178	и с	7	2
179	что уже	1	2
180	эти слова	1	2
181	но все	2	2
182	но только	1	2
183	только один	1	2
184	не нашел	1	2
185	в ее	2	2
186	то для	1	2
187	с этой	1	2
188	отношение к	2	2
189	быть не	1	2
190	перед собою	1	2
191	но как	1	2
192	и даже	4	2
193	на все	1	2
194	за пределы	1	2
195	а как	2	2
196	ко всем	1	2
197	на котором	1	2
198	развития в	1	2
199	но этот	1	2
200	это и	1	2
201	перед нами	2	2
202	и если	1	2
203	и о	1	2
204	а между	1	2
205	ни в	2	2
206	со своей	1	2
207	самом деле	1	2
208	не столько	1	2
209	той же	1	2
210	тут же	2	2
211	ему в	1	2
212	только не	1	2
213	в этой	4	2
214	у него	6	2
215	так сказать	1	2
216	мы видим	1	2
217	она не	1	2
218	и притом	1	2
219	но без	1	2
220	что эта	1	2
221	еще раз	2	2
222	не как	1	2
223	когда в	1	2
224	во многом	1	2
225	господствует над	1	2
226	связь между	1	2
227	в области	1	2
228	от нее	1	2
229	об этом	4	2
230	что с	3	2
231	сливается с	1	2
232	в разговоре	1	2
233	стороне я	1	2
234	все в	1	2
235	и до	2	2
236	все эти	3	1
237	того кто	1	1
238	одним из	1	1
239	любовь к	1	1
240	о жизни	2	1
241	деятельность не	1	1
242	и чисто	1	1
243	что образ	3	1
244	это может	1	1
245	и здесь	2	1
246	и далее	1	1
247	может ли	1	1
248	а смерть	1	1
249	даже на	2	1
250	начнем с	1	1
251	эти образы	1	1
252	во всяком	1	1
253	данном случае	2	1
254	вопрос о	2	1
255	бросается в	2	1
256	миф о	1	1
257	в поле	3	1
258	но он	1	1
259	самом общем	1	1
260	это чувство	1	1
261	думать о	1	1
262	в двух	1	1
263	и который	1	1
264	с которым	1	1
265	мы оставим	1	1
266	а это	1	1
267	не исчерпываются	1	1
268	ребенка в	2	1
269	что когда	1	1
270	над всем	1	1
271	в настоящем	1	1
272	и ее	2	1
273	собою но	1	1
274	не нужен	1	1
275	человека с	1	1
276	разговоре с	1	1
277	после того	1	1
278	должна быть	1	1
279	образами в	1	1
280	один в	3	1
281	какой она	1	1
282	мысль что	1	1
283	к ее	1	1
284	области возможного	1	1
285	в самую	2	1
286	в обществе	1	1
287	намек на	1	1
288	право на	1	1
289	было в	2	1
290	как нечто	1	1
291	а нечто	1	1
292	в голове	1	1
293	исследования в	1	1
294	общем смысле	1	1
295	в душу	1	1
296	в голову	1	1
297	только теперь	1	1
298	во всех	1	1
299	очень хорошо	1	1
300	любовь в	1	1
301	на ту	1	1
302	как его	1	1
303	которой он	1	1
304	и он	3	1
305	всю ее	1	1
306	мать и	1	1
307	то в	1	1
308	доставляет удовольствие	1	1
309	мы останавливаемся	1	1
310	и я	2	1
311	он сам	7	1
312	к образу	1	1
313	жизни в	1	1
314	его как	1	1
315	над собою	1	1
316	что ее	1	1
317	нет это	1	1
318	всего что	1	1
319	по слову	1	1
320	здесь мы	1	1
321	например что	1	1
322	речи в	1	1
323	в такое	1	1
