N	4gram	Propp_Isto_4	Myshleni
1	в то время как	1	4
2	подобно тому как в	1	3
3	то же самое что	1	2
4	совершенно так же как	6	1
5	на этот вопрос так	1	1
6	мы до сих пор	1	1
7	чтобы ответить на этот	1	1
8	не что иное как	3	1
9	это происходит потому что	1	1
10	есть одно и то	1	1
11	но мы знаем что	2	1
12	но вместе с тем	1	1
13	в этом случае мы	1	1
14	одно и то же	1	1
15	так же как и	4	1
16	является то что они	1	1
17	одни и те же	1	1
18	ответить на этот вопрос	1	1
19	в тех случаях когда	2	1
20	есть не что иное	1	1
