N	2gram	Vinokur_Ku_3	Literetu
1	не только	17	24
2	при этом	6	19
3	в качестве	2	17
4	но и	3	17
5	в том	22	16
6	а не	11	16
7	в частности	2	15
8	том что	11	14
9	тогда как	1	13
10	может быть	14	13
11	и не	10	12
12	в этом	16	12
13	в своем	4	11
14	состоит в	2	11
15	своего рода	2	11
16	прежде всего	9	11
17	в русской	1	10
18	то что	4	10
19	в целом	4	8
20	не в	5	8
21	и в	23	8
22	только в	6	8
23	как это	7	8
24	я и	3	7
25	я не	5	7
26	отказ от	1	7
27	как бы	5	7
28	в себе	1	7
29	русской классической	2	7
30	не менее	12	7
31	в его	11	7
32	уже не	8	7
33	и я	2	6
34	в рамках	5	6
35	как и	5	6
36	точки зрения	23	6
37	того что	11	6
38	связи с	6	6
39	xix века	3	6
40	то же	6	5
41	отличие от	2	5
42	как в	4	5
43	не столько	4	5
44	в отличие	2	5
45	в то	3	5
46	казалось бы	1	5
47	искусства и	1	5
48	а также	4	5
49	же время	1	5
50	в конечном	1	5
51	же в	1	5
52	что он	6	5
53	уже в	3	5
54	не может	6	5
55	в данном	7	5
56	с этой	3	5
57	я в	3	5
58	тем самым	4	5
59	в своей	4	4
60	еще не	9	4
61	столь же	4	4
62	но не	3	4
63	конечном счете	1	4
64	все же	5	4
65	всего лишь	1	4
66	по преимуществу	3	4
67	не как	2	4
68	в силу	6	4
69	лишь в	8	4
70	для этого	6	4
71	и его	1	4
72	ведет к	1	4
73	данном случае	4	4
74	никогда не	1	4
75	так и	6	4
76	и тем	6	4
77	как раз	4	4
78	в связи	5	4
79	со стороны	1	4
80	это не	3	4
81	культуры в	1	4
82	например в	1	3
83	в сфере	1	3
84	тех же	4	3
85	и есть	5	3
86	тем же	2	3
87	также и	5	3
88	по отношению	3	3
89	более чем	2	3
90	в самом	13	3
91	бы не	3	3
92	в принципе	1	3
93	с восприятием	1	3
94	таким образом	9	3
95	исходя из	1	3
96	той же	3	3
97	его в	2	3
98	далеко не	5	3
99	русской культуры	1	3
100	несмотря на	1	3
101	не мог	1	3
102	в их	6	3
103	классической литературы	2	3
104	но в	2	3
105	в основе	1	3
106	не должен	1	3
107	в области	14	3
108	ли не	1	3
109	всего в	1	3
110	в виду	8	3
111	в пределах	2	3
112	приводит к	1	3
113	по аналогии	1	3
114	одного из	1	3
115	сводится к	1	3
116	нуждается в	1	3
117	по своей	1	3
118	один из	4	3
119	и прежде	1	3
120	потому что	12	3
121	с другой	7	3
122	еще и	2	3
123	и др	1	3
124	не было	4	3
125	этой точки	1	3
126	что в	13	3
127	а в	5	3
128	же и	1	3
129	во всяком	2	3
130	чтобы не	2	2
131	того же	4	2
132	и то	1	2
133	самом деле	14	2
134	отношения между	4	2
135	должна быть	3	2
136	в сущности	4	2
137	на себя	2	2
138	из того	2	2
139	то это	3	2
140	к общему	1	2
141	то он	3	2
142	а только	1	2
143	относится к	2	2
144	отнюдь не	3	2
145	этой цели	1	2
146	или иную	1	2
147	только то	3	2
148	все эти	7	2
149	чуть ли	1	2
150	из этих	5	2
151	тому же	3	2
152	как он	2	2
153	в нашей	4	2
154	же это	2	2
155	не к	1	2
156	на этом	2	2
157	поэзии и	1	2
158	здесь как	2	2
159	для нее	1	2
160	было бы	16	2
161	пушкина в	1	2
162	литературной и	1	2
163	в слове	4	2
164	как сказано	1	2
165	от языка	2	2
166	и того	2	2
167	что такое	4	2
168	всяком случае	1	2
169	с точки	16	2
170	мы в	1	2
171	что я	1	2
172	войне и	1	2
173	в россии	2	2
174	тем не	9	2
175	однако в	2	2
176	даже в	1	2
177	так называемого	3	2
178	именно так	2	2
179	раз и	2	2
180	дело не	2	2
181	виду не	1	2
182	как будто	1	2
183	могут быть	6	2
184	к тому	3	2
185	говоря уже	2	2
186	сказано в	1	2
187	читателя в	1	2
188	на том	2	2
189	ту же	1	2
190	имеется в	1	2
191	или иной	7	2
192	в другом	1	2
193	о том	6	2
194	с одной	4	2
195	не могло	1	2
196	мир и	1	2
197	между тем	4	2
198	во втором	1	2
199	и только	3	2
200	хотя бы	9	2
201	по этому	1	2
202	в текст	2	2
203	то и	2	2
204	что не	4	2
205	ту или	1	2
206	что для	1	2
207	для него	1	2
208	а потому	2	2
209	не случайно	4	2
210	тем что	5	2
211	одной стороны	4	2
212	за пределы	2	2
213	превращается в	1	2
214	этого не	1	2
215	так называемых	1	2
216	русской литературы	1	2
