N	3gram	Berdyaev_M_2	OGranits
1	с точки зрения	1	5
2	не может быть	8	4
3	по отношению к	2	3
4	есть прежде всего	5	3
5	что иное как	3	2
6	но так как	1	2
7	есть не что	3	2
8	не что иное	3	2
9	в том что	2	2
10	том что в	1	1
11	в которых он	1	1
12	на самом деле	1	1
13	подобно тому как	2	1
14	и есть не	1	1
15	не могу поверить	1	1
16	между тем как	1	1
17	в этом отношении	1	1
18	эта аналогия между	1	1
19	может быть и	2	1
20	для того чтобы	4	1
21	так же как	3	1
22	но в действительности	1	1
23	не в ее	1	1
24	и других представителей	1	1
25	но и его	1	1
26	не мог бы	1	1
27	что же такое	1	1
28	в свои права	1	1
29	в разных местах	1	1
30	та или иная	1	1
31	хотя бы в	1	1
32	и никогда не	2	1
33	на то что	1	1
34	к тому что	3	1
35	как и в	2	1
