N	2gram	Nazirov_Tv_2	Narrotol
1	не только	13	26
2	а не	6	17
3	представляет собой	1	16
4	тогда как	3	15
5	но и	8	15
6	и не	9	14
7	при этом	8	14
8	в том	8	14
9	в этом	8	13
10	и в	20	13
11	том что	4	13
12	такого рода	1	12
13	в частности	2	11
14	только в	2	11
15	может быть	8	10
16	так и	6	9
17	то есть	5	9
18	а в	4	9
19	сводится к	2	9
20	к тому	1	9
21	своего рода	3	9
22	у чехова	1	9
23	в себе	3	8
24	не может	7	8
25	не в	4	8
26	в тексте	1	8
27	то что	3	8
28	не сводится	1	7
29	к себе	1	7
30	все же	5	6
31	прежде всего	8	6
32	в жизни	1	6
33	жизни в	3	6
34	никогда не	11	6
35	героя в	4	6
36	и к	1	6
37	ничего не	4	6
38	со стороны	1	6
39	в его	10	6
40	у него	6	6
41	но в	4	6
42	в рамках	1	6
43	как бы	11	6
44	о том	5	5
45	место в	3	5
46	отношению к	3	5
47	таким образом	10	5
48	тем самым	4	5
49	в нем	3	5
50	в отличие	2	5
51	хотя и	4	5
52	по отношению	3	5
53	на него	2	5
54	как в	4	5
55	отличие от	2	5
56	в то	10	5
57	не столько	2	5
58	в котором	3	5
59	с одной	1	5
60	он не	3	5
61	я не	2	5
62	с другой	2	5
63	ответ на	1	5
64	что он	6	5
65	в другом	1	4
66	как и	6	4
67	в литературе	2	4
68	не к	1	4
69	уже говорилось	1	4
70	но при	1	4
71	читателя в	5	4
72	не менее	2	4
73	встрече с	1	4
74	что это	1	4
75	при всей	1	4
76	с ним	3	4
77	в конце	6	4
78	как это	1	4
79	в своей	6	4
80	об этом	4	4
81	в ее	2	4
82	для него	3	4
83	в себя	1	4
84	то же	7	4
85	о жизни	3	4
86	истории в	1	4
87	отнюдь не	4	4
88	следует признать	1	4
89	в силу	1	4
90	тому же	2	4
91	уже не	3	4
92	если бы	4	4
93	в этой	5	4
94	как у	3	4
95	в мире	5	4
96	в рассказе	3	4
97	что в	7	4
98	у нее	3	4
99	и у	2	4
100	в глазах	1	4
101	не является	3	4
102	перед нами	1	4
103	все эти	4	3
104	с матерью	1	3
105	как правило	2	3
106	же время	7	3
107	что они	4	3
108	одна из	3	3
109	для себя	1	3
110	как по	2	3
111	о герое	1	3
112	известном смысле	1	3
113	как раз	1	3
114	действующих лиц	2	3
115	то у	2	3
116	что я	2	3
117	которой он	2	3
118	того или	1	3
119	пока еще	1	3
120	или даже	2	3
121	но не	5	3
122	между собой	1	3
123	той или	1	3
124	с этой	3	3
125	в таком	3	3
126	особое место	2	3
127	о которой	1	3
128	между тем	3	3
129	это не	7	3
130	к ней	1	3
131	и даже	5	3
132	и сам	5	3
133	и его	9	3
134	в целом	6	3
135	конечном счете	1	3
136	характера и	3	3
137	сказать что	1	3
138	один из	3	3
139	за пределами	1	3
140	характер и	1	3
141	едва ли	2	3
142	человек в	1	3
143	с ними	2	3
144	в конечном	1	3
145	точку зрения	2	3
146	а к	1	3
147	так сказать	2	3
148	и для	1	3
149	тому что	1	3
150	в произведениях	2	3
151	с его	1	3
152	в известном	1	3
153	или иного	1	3
154	самом деле	2	3
155	или иной	1	3
156	о нем	1	3
157	в соответствии	4	3
158	от которого	1	3
159	и по	2	3
160	соответствии с	4	3
161	ней в	1	2
162	не вполне	1	2
163	со своим	1	2
164	и здесь	1	2
165	для нас	1	2
166	еще не	5	2
167	своих героев	3	2
168	когда же	1	2
169	в обоих	1	2
170	по определению	1	2
171	по словам	2	2
172	достоевского и	2	2
173	говорить о	2	2
174	но он	1	2
175	думать о	1	2
176	мы узнаем	2	2
177	в виде	2	2
178	в душе	4	2
179	о своем	1	2
180	у меня	1	2
181	т п	2	2
182	личности в	2	2
183	чехова это	1	2
184	в самую	1	2
185	разговоре с	1	2
186	может оказаться	1	2
187	зависит от	2	2
188	вовсе не	2	2
189	ведет к	1	2
190	на то	1	2
191	в сознании	1	2
192	то чтобы	1	2
193	в сердце	1	2
194	к которому	2	2
195	как было	1	2
196	мы не	4	2
197	и он	2	2
198	если не	4	2
199	в принципе	4	2
200	присутствует в	1	2
201	является его	1	2
202	второй план	1	2
203	в самом	3	2
204	превращается в	3	2
205	себе самом	1	2
206	потому что	7	2
207	но зато	3	2
208	в начале	3	2
209	не все	1	2
210	может служить	2	2
211	и т	13	2
212	текста и	1	2
213	на фоне	1	2
214	себя не	1	2
215	восходит к	2	2
216	из этих	1	2
217	у нас	2	2
218	на стороне	4	2
219	что у	4	2
220	в случае	1	2
221	в чем	4	2
222	в течение	1	2
223	во второй	1	2
224	не зависит	1	2
225	и вследствие	1	2
226	со своими	2	2
227	том как	1	2
228	а с	3	2
229	для автора	2	2
230	не имеет	1	2
231	в церкви	1	2
232	своей собственной	1	2
233	присутствие в	1	2
234	важно не	1	2
235	по поводу	1	2
236	во время	1	2
237	персонажа и	1	2
238	так же	5	2
239	же как	3	2
240	как о	2	2
241	именно в	6	2
242	и внутреннего	1	2
243	как уже	1	2
244	как на	1	2
245	в процессе	2	2
246	иного рода	1	2
247	и что	2	2
248	однако не	1	2
249	в результате	1	2
250	не являются	1	2
251	бы с	1	2
252	автора в	1	2
253	главного героя	3	2
254	что и	1	2
255	роль в	2	2
256	за границей	1	2
257	несмотря на	1	2
258	не случайно	2	2
259	в своих	3	2
260	всякий раз	1	2
261	однако в	1	2
262	столь же	1	2
263	не должен	1	2
264	представляют собой	1	2
265	это был	3	2
266	себя в	2	2
267	той же	1	2
268	в области	1	2
269	давно уже	2	2
270	в современной	1	2
271	что она	4	2
272	к миру	2	2
273	с другим	2	2
274	тексте в	1	2
275	должен был	1	2
276	и более	1	2
277	а во	2	2
278	я уже	1	2
279	что с	1	2
280	точно так	1	2
281	к читателю	1	2
282	он сам	3	2
283	героя и	2	2
284	было бы	1	2
285	этого рассказа	1	2
286	можно было	1	2
287	и вновь	1	2
288	быть может	3	2
289	мысль о	1	2
290	участие в	1	2
291	но это	5	2
292	узнаем что	1	2
293	в свою	1	2
294	не означает	2	1
295	может не	1	1
296	является не	1	1
297	может и	1	1
298	между людьми	2	1
299	приводит к	2	1
300	развитии сюжета	1	1
301	не знает	1	1
302	она не	1	1
303	б м	2	1
304	и с	8	1
305	случае это	1	1
306	всего его	1	1
307	в споре	1	1
308	и нет	1	1
309	о героях	1	1
310	м м	11	1
311	по выражению	1	1
312	характера в	2	1
313	одним из	3	1
314	соотносится с	1	1
315	в связи	1	1
316	входит в	1	1
317	если же	1	1
318	было показано	2	1
319	мы и	1	1
320	в которой	2	1
321	а потому	1	1
322	в плане	3	1
323	в речи	1	1
324	характера у	1	1
325	не говорит	1	1
326	из нас	2	1
327	для которого	2	1
328	предположить что	1	1
329	уходом из	1	1
330	не была	1	1
331	начинается с	2	1
332	который бы	1	1
333	не понимают	1	1
334	бог или	1	1
335	которого у	1	1
336	о своих	2	1
337	человеческого характера	1	1
338	столько к	1	1
339	читателя и	1	1
340	утверждает что	1	1
341	связи с	1	1
342	с присущей	1	1
343	за собой	4	1
344	и их	1	1
345	рядом деталей	1	1
346	к другим	1	1
347	тайны и	1	1
348	их жизни	1	1
349	без церемонии	1	1
350	и детей	1	1
351	перед читателем	1	1
352	к которым	1	1
353	при виде	2	1
354	в будущее	1	1
355	нет никаких	1	1
356	и относительно	1	1
357	жизненной позиции	1	1
358	у читателя	2	1
359	сих пор	3	1
360	оказывается для	1	1
361	в большинстве	1	1
362	это весьма	1	1
363	каждого из	1	1
364	за которую	1	1
365	это еще	1	1
366	как нечто	1	1
367	выше в	1	1
368	бы не	2	1
369	персонаж не	1	1
370	быть истолкована	1	1
371	до сих	3	1
372	так что	2	1
373	и без	2	1
374	его поступки	1	1
375	во всех	1	1
376	сведена к	1	1
377	частности в	1	1
378	класса а	1	1
379	ли не	2	1
380	чувство стыда	2	1
381	более того	2	1
382	по разным	1	1
383	в одном	2	1
384	ли это	1	1
385	как объективно	1	1
386	то в	1	1
387	века в	1	1
388	на жизнь	1	1
389	стороны и	1	1
390	собой в	1	1
391	его к	1	1
392	другой день	1	1
393	не можем	1	1
394	гибели героя	1	1
395	чем же	1	1
396	у гоголя	1	1
397	действительной жизни	1	1
398	таком случае	2	1
399	матерью и	1	1
400	когда он	4	1
401	рода не	1	1
402	не мог	1	1
403	героя через	1	1
404	только с	2	1
405	что же	1	1
406	одной из	3	1
407	и наконец	2	1
408	нам более	1	1
409	а тем	1	1
410	и вполне	1	1
411	в формах	1	1
412	вместе с	3	1
413	в личностном	1	1
414	читать как	1	1
415	внешним обликом	1	1
416	к жизни	2	1
417	нем самом	1	1
418	в бытовой	6	1
419	тогда в	1	1
420	отношение к	1	1
421	вплоть до	1	1
422	например в	5	1
423	которого не	1	1
