N	2gram	Vinokur_Vv_1	formyVre
1	и в	27	46
2	в этом	34	22
3	с рядом	1	16
4	и т	43	14
5	прежде всего	8	14
6	вовсе не	6	13
7	и его	5	12
8	во всех	2	11
9	не только	21	11
10	только в	13	11
11	т п	5	11
12	как бы	5	10
13	во время	1	10
14	точки зрения	7	10
15	в том	31	10
16	но в	10	10
17	мы уже	1	9
18	не в	8	9
19	у него	1	9
20	но и	5	9
21	вместе с	6	9
22	и не	13	9
23	и для	4	9
24	то же	8	8
25	как и	5	8
26	с точки	2	8
27	для того	21	8
28	того чтобы	21	8
29	потому что	14	8
30	связи с	3	8
31	в его	10	8
32	из них	3	8
33	в связи	2	8
34	жизни и	2	8
35	и на	3	7
36	так сказать	1	7
37	так и	1	7
38	в них	4	7
39	вещей и	1	7
40	может быть	24	7
41	времени в	3	7
42	в одном	4	7
43	то что	17	7
44	как мы	9	6
45	еще не	4	6
46	все же	8	6
47	при этом	3	6
48	и с	2	6
49	его в	6	6
50	никогда не	3	6
51	так как	13	6
52	в особенности	4	6
53	здесь в	1	6
54	все это	6	6
55	и все	1	6
56	в греческом	1	5
57	но не	7	5
58	с этим	2	5
59	в своем	3	5
60	все эти	3	5
61	в нем	13	5
62	должно быть	2	5
63	в то	5	5
64	в дальнейшем	2	5
65	и у	1	5
66	и др	2	5
67	в частности	3	5
68	по существу	2	5
69	что в	11	5
70	отношения к	1	4
71	также и	16	4
72	человека и	1	4
73	значение и	2	4
74	в истории	9	4
75	как в	1	4
76	уже в	5	4
77	из этих	5	4
78	в себе	4	4
79	том что	26	4
80	в котором	4	4
81	том же	2	4
82	соседстве с	1	4
83	же время	5	4
84	в эпоху	1	4
85	с ним	1	4
86	о том	15	4
87	вопросу о	2	4
88	так что	5	4
89	а не	3	4
90	в ряду	1	4
91	с этой	4	4
92	еще более	1	4
93	же в	1	4
94	есть и	4	4
95	в виду	4	3
96	того же	3	3
97	слова и	1	3
98	отношение к	3	3
99	нет и	1	3
100	в средние	1	3
101	хотя и	3	3
102	как уже	2	3
103	и как	9	3
104	и художественного	1	3
105	в этот	2	3
106	уже не	5	3
107	та же	1	3
108	имеем в	1	3
