N	4gram	Bakhtin_Pr_3	Problema
1	в то же время	12	3
2	бы то ни было	4	2
3	ни в чем не	2	2
4	не может и не	1	2
5	и в то же	5	2
6	мы можем сказать что	1	1
7	в строгом смысле этого	1	1
8	на самом же деле	1	1
9	и в том и	1	1
10	на самом деле и	1	1
11	и в другом направлении	1	1
12	но в то же	3	1
13	с самим собою и	3	1
14	том и в другом	1	1
15	не чем иным как	1	1
16	к себе самому к	1	1
17	строгом смысле этого слова	1	1
18	в том и в	1	1
19	несмотря на то что	1	1
20	на протяжении всего романа	2	1
21	бы они ни были	1	1
22	чего бы то ни	2	1
