N	3gram	Vinokur_St_1	Freidism
1	с точки зрения	8	11
2	по отношению к	3	8
3	во всяком случае	6	7
4	не может быть	5	7
5	в самом деле	5	6
6	на протяжении всей	1	6
7	в зависимости от	1	4
8	то же время	4	4
9	в то же	4	4
10	в данном случае	6	4
11	на самом деле	6	4
12	для того чтобы	10	3
13	бы то ни	1	3
14	на этот вопрос	1	3
15	в момент рождения	1	2
16	он не только	1	2
17	что же касается	3	2
18	и по отношению	1	2
19	то или иное	3	2
20	до сих пор	7	2
21	и не может	1	2
22	в таких случаях	1	2
23	это вовсе не	1	2
24	может быть и	2	2
25	но в то	2	2
26	это прежде всего	2	2
27	так и в	4	2
28	а с другой	1	2
29	в этом отношении	7	2
30	ни в чем	1	2
31	и притом в	1	2
32	выйти за пределы	1	2
33	в узком смысле	1	2
34	с одной стороны	2	2
35	тем не менее	2	2
36	в конце концов	1	2
37	как видит читатель	1	1
38	том что в	3	1
39	те противоречия которые	1	1
40	как в отношении	1	1
41	и начинается трагедия	1	1
42	кем иным как	1	1
43	то ни стало	1	1
44	а вовсе не	1	1
45	по меньшей мере	3	1
46	так как в	2	1
47	в котором он	1	1
48	и даже не	2	1
49	и в отношении	1	1
50	в таком виде	1	1
51	но даже и	1	1
52	ни на чем	1	1
53	как бы ни	1	1
54	всей его жизни	1	1
55	в этом случае	2	1
56	и в данном	2	1
57	во что бы	1	1
58	точки зрения его	1	1
59	и все с	1	1
60	что с точки	1	1
61	хотя бы и	2	1
62	чем не основано	1	1
63	не кем иным	1	1
64	только то что	1	1
65	во всех этих	1	1
66	объясняется и то	1	1
67	в какой степени	1	1
68	именно в области	1	1
69	а иногда и	2	1
70	по крайней мере	2	1
71	и вовсе не	1	1
72	что бы то	1	1
73	я не сомневаюсь	1	1
74	из того же	1	1
75	общего с этим	1	1
76	не сомневаюсь что	1	1
77	а также и	2	1
78	быть и речи	1	1
79	как будто бы	1	1
80	и без того	1	1
81	всяком случае не	1	1
82	на чем не	1	1
83	в каком случае	1	1
84	то что он	1	1
85	только с точки	1	1
86	как и большинство	2	1
87	ответ на этот	1	1
88	в целом ряде	1	1
89	как в самом	1	1
90	данном случае в	2	1
91	а может быть	1	1
92	что же это	1	1
93	сих пор не	1	1
94	ни в каком	1	1
95	вместо этого он	1	1
96	таким образом в	1	1
97	протяжении всей его	1	1
98	то обстоятельство что	2	1
99	в то время	2	1
100	всяком случае в	2	1
101	говорить о том	1	1
102	в такой форме	1	1
103	он должен был	2	1
104	того чтобы получить	1	1
105	не давая себе	1	1
106	о том что	11	1
107	ничего общего с	3	1
108	нам до сих	1	1
109	ни о каком	1	1
110	той или иной	1	1
111	такой же степени	1	1
112	но все же	3	1
113	же это за	1	1
114	каком случае не	1	1
115	смысле этого слова	1	1
116	но вовсе не	1	1
117	в этом смысле	1	1
118	что как раз	1	1
119	из этих двух	2	1
120	и т д	21	1
121	быть не может	1	1
122	его времени и	1	1
123	в том что	17	1
124	что и в	4	1
125	может быть даже	1	1
126	в основе этой	1	1
