N	4gram	Medvedev_V_1	Hudozhes
1	в то же время	5	6
2	одно и то же	1	3
3	не следует смешивать с	1	3
4	в той или иной	1	2
5	в том числе и	2	2
6	и в то же	3	2
7	приводит к тому что	1	2
8	мы имеем дело с	1	1
9	в том отношении что	2	1
10	может быть определена как	1	1
11	в том или ином	1	1
12	иметь в виду что	1	1
13	в том случае если	1	1
14	с этой точки зрения	1	1
15	одном и том же	2	1
16	следует иметь в виду	2	1
17	в одном и том	1	1
18	в виду что в	1	1
19	том или ином отношении	1	1
20	духовной жизни личности и	1	1
21	той или иной мере	1	1
22	и по отношению к	1	1
23	имеем в виду не	1	1
