N	2gram	Tiupa_Hudo_1	EvropaiC
1	таким образом	3	32
2	в том	18	31
3	и в	19	24
4	том что	8	20
5	все эти	2	19
6	не может	7	18
7	то что	4	17
8	может быть	14	15
9	точки зрения	10	13
10	в своем	2	12
11	в этом	11	12
12	между тем	4	11
13	все это	2	11
14	во всех	3	10
15	по отношению	9	10
16	так и	11	10
17	как бы	9	10
18	отношению к	9	10
19	культуры в	2	10
20	все что	1	10
21	того же	2	9
22	на то	1	9
23	при этом	13	9
24	как и	2	9
25	в результате	1	9
26	что в	6	9
27	в самом	5	8
28	с точки	3	8
29	не в	7	8
30	если бы	3	8
31	так же	2	8
32	из этих	3	7
33	в силу	1	7
34	или менее	5	7
35	не менее	3	7
36	того чтобы	2	7
37	по своей	7	7
38	к тому	4	7
39	для этого	1	7
40	о том	2	7
41	и что	3	7
42	что он	3	7
43	для того	2	7
44	но и	10	7
45	приобщение к	1	7
46	и не	15	7
47	более или	5	7
48	о котором	1	7
49	из этого	2	7
50	в каждый	1	6
51	начало и	2	6
52	еще не	3	6
53	и на	2	6
54	тогда как	13	6
55	в этой	2	6
56	в мире	21	6
57	от друга	1	6
58	с ним	2	6
59	что и	2	6
60	того что	4	6
61	только в	5	6
62	все они	1	6
63	так что	1	6
64	так как	1	6
65	друг от	1	6
66	с другой	7	6
67	вместе с	1	6
68	отличается от	2	6
69	между двумя	2	5
70	столь же	1	5
71	как к	2	5
72	и к	3	5
73	но в	7	5
74	в которой	2	5
75	что это	1	5
76	в целом	3	5
77	в себе	9	5
78	эволюции человечества	1	5
79	тому же	1	5
80	не только	16	5
81	не будет	2	5
82	что все	1	5
83	лишь в	4	5
84	его в	2	5
85	и без	1	5
86	в то	6	5
87	как будто	1	5
88	в его	9	5
89	потому что	3	5
90	у него	1	5
91	именно в	2	5
92	далеко не	2	5
93	другой стороны	5	5
94	по своему	2	5
95	быть и	2	5
96	и для	2	5
97	и от	1	5
98	случае если	1	5
99	одним из	1	4
100	в такой	1	4
101	и то	4	4
102	то же	10	4
103	из того	1	4
104	между собой	2	4
105	что его	1	4
106	отношение к	5	4
107	данный момент	2	4
108	хотя и	3	4
109	он не	4	4
110	том случае	1	4
111	из них	1	4
112	должно быть	1	4
113	иначе говоря	4	4
114	и конец	2	4
115	в их	5	4
116	тем не	3	4
117	том же	1	4
118	из которых	1	4
119	есть культура	1	4
120	связи с	1	4
121	тех кто	1	4
122	никогда не	2	4
123	и т.д	3	4
124	все прочие	3	4
125	если мы	2	4
126	не есть	1	4
127	в конце	1	4
128	в области	6	4
129	а с	2	4
130	как сказано	1	4
131	не могут	1	4
132	в европейской	1	4
133	этом случае	1	4
134	в таком	1	4
135	же как	1	3
136	не вполне	2	3
137	в данном	4	3
138	в истории	1	3
139	так или	3	3
140	в нашем	2	3
141	в нем	5	3
142	на земле	1	3
143	и по	2	3
144	и может	1	3
145	заключается в	2	3
146	это не	2	3
147	на почве	3	3
148	в жизни	2	3
149	и того	2	3
150	одного и	2	3
151	в этих	3	3
152	даже в	3	3
153	у нас	1	3
154	и это	2	3
155	то ни	1	3
156	с одной	2	3
157	настоящее время	1	3
158	может не	1	3
159	тот же	1	3
160	может служить	2	3
161	отличие от	7	3
162	как у	1	3
163	или иначе	4	3
164	прежде всего	4	3
165	в связи	1	3
166	и потому	2	3
167	не подлежит	1	3
168	в настоящее	1	3
169	от него	1	3
170	бы в	1	3
171	тем более	1	3
172	а в	12	3
173	культуры как	1	3
174	можно назвать	1	3
175	ту же	1	2
176	от своей	1	2
177	в котором	1	2
178	можно лишь	1	2
179	со своей	3	2
180	по его	1	2
181	также и	1	2
182	и состоит	3	2
183	время от	1	2
184	в сущности	1	2
185	с ее	5	2
186	и ее	3	2
187	свою очередь	2	2
188	от себя	3	2
189	бы то	1	2
190	тем как	1	2
191	к такому	1	2
192	но как	2	2
193	в сторону	2	2
194	вступают в	1	2
195	более как	1	2
196	что они	1	2
197	есть в	2	2
198	и где	1	2
199	поскольку такое	1	2
200	то в	2	2
201	и те	1	2
202	если он	1	2
203	но на	1	2
204	вследствие этого	1	2
205	что она	2	2
206	не следует	4	2
207	однако при	3	2
208	при виде	1	2
209	он должен	3	2
210	а затем	1	2
211	то есть	18	2
212	в них	2	2
213	нет в	1	2
214	и особенно	2	2
215	на первый	1	2
216	но если	1	2
217	культуры ибо	1	2
218	никто не	2	2
219	представить себе	1	2
220	на каждом	1	2
221	образом и	2	2
222	совершенно иной	2	2
223	и более	2	2
224	том и	2	2
225	тому что	2	2
226	то с	1	2
227	между людьми	1	2
228	тем самым	4	2
229	одна из	2	2
230	в основе	4	2
231	говорить о	3	2
232	все без	1	2
233	в самой	2	2
234	этих двух	2	2
235	на этом	1	2
236	ему и	1	2
237	заключает в	1	2
238	имеет место	2	2
239	должен быть	1	2
240	как мы	1	2
241	только при	1	2
242	в себя	2	2
243	и сам	1	2
244	на нее	1	2
245	те же	1	2
246	в виду	5	2
247	сводится к	7	2
248	именно потому	1	2
249	в другом	3	2
250	и поэтому	1	2
251	же время	5	2
252	к нему	3	2
253	во втором	4	2
254	было бы	1	2
255	но с	1	2
256	пришлось бы	1	2
257	они могут	1	2
258	между этими	1	2
259	жизни и	1	2
260	этом что	1	2
261	ни было	1	2
262	одно из	2	2
263	для него	4	2
264	вовсе не	2	2
265	к ним	1	2
266	не было	1	2
267	однако это	1	2
268	себя и	2	2
269	что для	1	2
270	одной стороны	2	2
271	одну из	1	2
272	отнюдь не	2	2
273	в одно	2	2
274	в частности	13	2
275	все то	1	2
276	но не	11	2
277	в точке	3	2
278	многих других	1	2
279	этого слова	2	2
280	только то	1	2
281	с этой	1	2
282	и некоторые	2	2
283	при условии	2	2
284	но для	1	2
285	только мы	1	2
286	это может	1	2
287	не более	1	2
288	с ними	1	2
289	между ними	4	2
290	не знает	3	2
291	в свою	3	2
292	начале этой	1	2
293	нам всегда	1	2
294	они не	1	2
295	и наиболее	1	1
296	я и	7	1
297	говоря о	3	1
298	например в	3	1
299	i v	5	1
300	и весьма	2	1
301	это и	1	1
302	на деле	3	1
303	между всеми	1	1
304	в первом	1	1
305	не имело	1	1
306	из его	1	1
307	исходит из	1	1
308	к нашим	1	1
309	собою в	2	1
310	той же	1	1
311	отношения к	2	1
312	а как	1	1
313	есть не	1	1
314	из всего	1	1
315	людьми поэтому	1	1
316	не во	1	1
317	из своих	1	1
318	свое самобытное	1	1
319	этом не	1	1
320	от своих	1	1
321	себя свою	1	1
322	я не	2	1
323	смотря на	1	1
324	из перечисленных	1	1
325	к своему	1	1
326	на них	1	1
327	иное как	1	1
328	в широком	1	1
329	на их	1	1
330	в различных	1	1
331	и жизни	1	1
332	ближайшие к	1	1
333	с его	6	1
334	такого что	1	1
335	бы не	1	1
336	сомневаться не	1	1
337	особенно если	1	1
338	и другие	2	1
339	а только	4	1
340	как быть	1	1
341	если в	1	1
342	со стороны	2	1
343	еще один	2	1
344	мира в	2	1
345	в центре	1	1
346	первый взгляд	1	1
347	как в	2	1
348	перед нами	1	1
349	и как	3	1
350	по пути	4	1
351	что входит	1	1
352	и идет	1	1
353	у каждого	1	1
354	рассказ о	2	1
355	им уже	1	1
356	во многих	1	1
357	двух других	1	1
358	не могла	1	1
