N	3gram	Potebnia_M_1	KFilosof
1	по отношению к	13	21
2	не может быть	9	11
3	с точки зрения	3	10
4	может быть только	1	6
5	на самом деле	1	3
6	в этом смысле	4	3
7	между тем как	1	3
8	не было бы	1	3
9	и в этом	6	3
10	а не из	1	2
11	бы то ни	2	2
12	то ни было	1	2
13	то же время	3	2
14	вопрос о том	1	2
15	в то же	3	2
16	тем не менее	6	2
17	в том что	13	2
18	а не в	1	2
19	то все же	1	1
20	мысль может быть	2	1
21	на то что	1	1
22	а следовательно и	1	1
23	того что в	1	1
24	и совершенно не	1	1
25	потому что в	4	1
26	может казаться что	2	1
27	зависит от того	2	1
28	и того же	2	1
29	не зависит от	1	1
30	можно и должно	1	1
31	и может быть	2	1
32	предмет хотя бы	1	1
33	в один момент	1	1
34	это нисколько не	1	1
35	это не будет	1	1
36	как если бы	1	1
37	только в том	6	1
38	нисколько не противоречит	1	1
39	себя потому что	1	1
40	мы не имеем	2	1
41	и это приводит	1	1
42	не в себе	1	1
43	но это не	1	1
44	в противном случае	3	1
45	она может быть	1	1
46	но все они	1	1
47	и как бы	3	1
48	отношению к последнему	1	1
49	то есть что	3	1
50	том смысле в	3	1
51	не совпадает с	1	1
52	не в нем	1	1
53	не потому что	1	1
54	в первом случае	1	1
55	не есть еще	1	1
56	на задний план	1	1
57	смысле этого слова	1	1
58	связанная с ним	1	1
59	там где есть	1	1
60	притом не только	2	1
61	до того что	1	1
62	только в нем	1	1
63	не в том	4	1
64	отношению к другим	1	1
65	мог бы быть	1	1
66	со стороны его	1	1
67	дело в том	2	1
68	во всяком случае	1	1
69	быть не может	2	1
70	как одно из	1	1
71	заключать в себе	1	1
72	для того чтобы	2	1
73	потому только что	1	1
74	не в одном	1	1
75	признавая в ней	1	1
76	и все же	1	1
77	по себе а	1	1
78	мы не можем	1	1
79	в свою очередь	4	1
80	само по себе	4	1
81	и тем самым	1	1
82	место и в	1	1
83	человек чувствует себя	1	1
84	не может стать	1	1
85	не менее в	1	1
86	в одном только	1	1
87	как бы ни	2	1
88	одного и того	2	1
89	но не в	1	1
90	если бы не	2	1
91	к тому что	2	1
92	в том смысле	4	1
93	имеет место и	1	1
94	противном случае мы	1	1
95	что и в	3	1
96	могло бы быть	1	1
97	только тогда когда	4	1
98	и вопрос о	1	1
99	на том что	1	1
100	входит в его	1	1
101	времени и пространства	1	1
