N	3gram	Vygotskiy__1	Problema
1	по отношению к	7	19
2	не может быть	5	11
3	с точки зрения	18	6
4	в отличие от	1	5
5	в высшей степени	4	5
6	в данном случае	2	4
7	с другой стороны	9	4
8	в конечном счете	1	4
9	на самом деле	1	3
10	в самом деле	2	3
11	в этом смысле	1	3
12	можно было бы	3	3
13	все то что	1	3
14	с одной стороны	8	3
15	как мы увидим	1	3
16	то же время	2	3
17	в том что	15	3
18	в то же	2	3
19	тем не менее	1	3
20	в области изучения	1	2
21	можно сказать что	4	2
22	в какой мере	2	2
23	то же самое	3	2
24	в том же	1	2
25	на первый план	2	2
26	совершенно независимо от	1	2
27	в строгом смысле	1	2
28	но и в	1	2
29	и не может	1	2
30	и в то	1	2
31	и в частности	2	2
32	не только в	1	2
33	во всех своих	1	2
34	и тем самым	3	2
35	той или иной	1	2
36	для того чтобы	15	2
37	в этом отношении	4	2
38	также и на	1	1
39	хотя и не	1	1
40	его можно было	1	1
41	во всей полноте	1	1
42	в дальнейшем и	1	1
43	в свою очередь	3	1
44	того что с	1	1
45	и пр в	1	1
46	одной стороны и	1	1
47	но если так	1	1
48	то что является	1	1
49	которой не было	1	1
50	как таковая она	1	1
51	не вмешивается в	1	1
52	а следовательно и	1	1
53	до сих пор	4	1
54	к его значению	1	1
55	в одном и	1	1
56	более сложным и	1	1
57	как это ни	1	1
58	и именно в	1	1
59	к такому выводу	1	1
60	полном согласии с	1	1
61	строгом смысле слова	1	1
62	в известной мере	1	1
63	ни в какой	2	1
64	на то что	3	1
65	которые не могли	1	1
66	в одинаковой степени	1	1
67	в полном согласии	1	1
68	в равной мере	2	1
69	в значительной степени	2	1
70	то время как	4	1
71	если бы мы	1	1
72	таким образом и	2	1
73	точки зрения с	1	1
74	смысле этого слова	3	1
75	как мы это	1	1
76	его значение в	1	1
77	и в этом	1	1
78	по сравнению с	5	1
79	звуковой стороны слова	2	1
80	в целом в	2	1
81	которые могли бы	1	1
82	и как бы	1	1
83	и от всех	1	1
84	в наши задачи	2	1
85	как такового так	1	1
86	о которых мы	1	1
87	мышления и в	1	1
88	не может возникнуть	1	1
89	с его помощью	1	1
90	только в этой	1	1
91	смысле слова и	1	1
92	то что в	1	1
93	прежде всего от	1	1
94	смысле слова но	1	1
95	в то время	5	1
96	и т д	1	1
97	всего то что	1	1
98	скажем только что	2	1
99	хотя бы в	1	1
100	к выводу что	4	1
101	как мы указывали	1	1
102	но не на	1	1
103	и с точки	1	1
104	которые могут быть	1	1
105	как мы уже	1	1
106	к тому что	3	1
107	первый план выступает	1	1
108	к вопросу о	1	1
109	относится не к	1	1
110	она не может	1	1
111	как и в	1	1
112	на этот вопрос	2	1
113	является как бы	1	1
114	дело в том	1	1
