N	4gram	Vygotskiy__3	Myshleni
1	с этой точки зрения	1	4
2	заключается в том что	4	4
3	в такой же мере	1	3
4	одно и то же	2	3
5	состоит в том что	1	3
6	которых мы говорили выше	1	2
7	в какой мере не	1	2
8	ни в какой мере	1	2
9	в то время как	2	2
10	в той же мере	1	2
11	одной и той же	1	2
12	все больше и больше	2	2
13	в том что она	1	2
14	и вместе с тем	2	2
15	о которых мы говорили	2	2
16	мы не можем не	2	2
17	мы могли бы сказать	1	2
18	только в том что	1	1
19	басне стрекоза и муравей	1	1
20	в одной и той	1	1
21	и то и другое	3	1
22	в сущности говоря это	1	1
23	в самом деле если	1	1
24	как это имеет место	1	1
25	как мы увидим ниже	1	1
26	том и заключается что	1	1
27	что то же самое	1	1
28	в басне стрекоза и	1	1
29	в том что они	1	1
30	и то же слово	1	1
31	в том и заключается	1	1
