N	4gram	Vinokur_Ku_3	Dialekti
1	в том смысле что	1	3
2	в то же время	1	3
3	т д и т	1	2
4	д и т д	1	2
5	и т д и	1	2
6	не говоря уже о	2	2
7	в том отношении что	1	1
8	что бы то ни	1	1
9	если он не умеет	1	1
10	не потому что он	1	1
11	и в то же	1	1
12	уже само по себе	1	1
13	и вместе с тем	1	1
14	не в том что	2	1
15	до тех пор пока	4	1
16	не могут быть без	1	1
17	с точки зрения чисто	1	1
18	то это вовсе не	1	1
19	во что бы то	1	1
20	можно только тогда когда	1	1
21	когда же мы говорим	1	1
22	заключается в том что	1	1
23	но дело не в	1	1
24	вовсе не в том	1	1
25	бы то ни стало	1	1
26	одних и тех же	1	1
27	что на самом деле	1	1
28	по одному тому что	1	1
