N	2gram	Vinokur_Ku_3	Mirosoze
1	и в	23	46
2	может быть	14	21
3	в этом	16	20
4	не только	17	18
5	и не	10	18
6	никогда не	1	18
7	для него	1	18
8	есть лишь	1	17
9	но и	3	15
10	не может	6	15
11	как и	5	13
12	ведет к	1	13
13	а не	11	13
14	не есть	3	13
15	прежде всего	9	12
16	потому что	12	12
17	не было	4	11
18	но он	1	11
19	в ней	3	11
20	у нас	10	11
21	но в	2	10
22	в себе	1	10
23	он не	3	10
24	не в	5	9
25	не знает	2	9
26	и есть	5	8
27	отношение к	3	8
28	в своем	4	8
29	так как	9	8
30	она не	3	8
31	как бы	5	8
32	но это	5	8
33	связана с	1	7
34	как в	4	7
35	и к	3	7
36	в нашем	7	7
37	хотя бы	9	7
38	и потому	1	7
39	и для	1	7
40	что он	6	7
41	вопрос о	11	6
42	что это	3	6
43	в русской	1	6
44	он сам	1	6
45	и здесь	2	6
46	доходит до	2	6
47	так же	2	6
48	того что	11	6
49	по преимуществу	3	5
50	то же	6	5
51	есть не	3	5
52	я не	5	5
53	в самом	13	5
54	бы и	3	5
55	и вот	3	5
56	что она	5	5
57	что все	2	5
58	в своей	4	5
59	в отношении	3	5
60	есть прежде	1	5
61	во всем	1	5
62	и его	1	5
63	к тому	3	5
64	те же	7	5
65	это не	3	5
66	один из	4	5
67	в его	11	5
68	для того	12	5
69	то что	4	5
70	также и	5	4
71	у них	1	4
72	на деле	1	4
73	думать что	1	4
74	чем у	1	4
75	человек который	1	4
76	том что	11	4
77	тому что	4	4
78	не имеет	3	4
79	того чтобы	11	4
80	должны быть	1	4
81	так и	6	4
82	для этого	6	4
83	означает что	1	4
84	в русском	2	4
85	уже не	8	4
86	вопроса о	3	4
87	что и	6	4
88	в свою	1	4
89	они не	3	4
90	т е	32	4
91	есть уже	1	4
92	что в	13	4
93	все что	1	4
94	смысле слова	2	3
95	же как	1	3
96	чтобы не	2	3
97	это и	3	3
98	к другому	2	3
99	той же	3	3
100	и на	1	3
101	в чем	5	3
102	менее всего	1	3
103	он в	2	3
104	как он	2	3
105	в россии	2	3
106	в каждом	1	3
107	не будет	1	3
108	и с	3	3
109	его в	2	3
110	ни в	3	3
111	все равно	1	3
112	для чего	1	3
113	не мог	1	3
114	же есть	1	3
115	в такой	1	3
116	не для	1	3
117	того как	7	3
118	по своей	1	3
119	только с	1	3
120	если бы	8	3
121	и должно	5	3
122	о том	6	3
123	не стоит	1	3
124	что они	2	3
125	в том	22	3
126	только в	6	3
127	не так	3	3
128	тем что	5	3
129	от того	5	3
130	до сих	8	3
131	связано с	1	3
132	не знал	1	3
133	тех которые	1	3
134	сих пор	8	3
135	и от	1	3
136	лишь как	1	3
137	отношении к	1	3
138	сказать что	7	3
139	есть и	1	3
140	я и	3	2
141	отношения к	1	2
142	сам по	3	2
143	который должен	1	2
144	когда человек	1	2
145	не имеют	1	2
146	с таким	1	2
147	в сфере	1	2
148	но она	1	2
149	для нашей	4	2
150	же что	1	2
151	который может	1	2
152	то он	3	2
153	по отношению	3	2
154	она есть	2	2
155	более чем	2	2
156	как к	2	2
157	нельзя было	1	2
158	хотя и	5	2
159	говорит что	1	2
160	увидим что	2	2
161	то в	3	2
162	в смысл	1	2
163	в которой	1	2
164	бы не	3	2
165	и тот	2	2
166	и те	1	2
167	если он	1	2
168	но на	3	2
169	этот процесс	1	2
170	и если	2	2
171	не к	1	2
172	есть один	1	2
173	одной и	1	2
174	на этом	2	2
175	еще более	2	2
176	все русские	1	2
177	и орудие	1	2
178	лишь в	8	2
179	стоит на	1	2
180	не всегда	1	2
181	чем в	2	2
182	должно быть	7	2
183	самого последнего	1	2
184	в этих	2	2
185	точки зрения	23	2
186	них есть	1	2
187	от его	1	2
188	и той	1	2
189	мир и	1	2
190	которые в	4	2
191	есть еще	1	2
192	ему как	1	2
193	что есть	2	2
194	стоит в	1	2
195	тогда когда	4	2
196	правда в	1	2
197	есть путь	1	2
198	чем не	1	2
199	ничего не	6	2
200	связи с	6	2
201	как будто	1	2
202	в основе	1	2
203	приходит к	1	2
204	можно было	11	2
205	есть также	2	2
206	после того	6	2
207	по себе	6	2
208	и возможно	1	2
209	вот почему	1	2
210	и что	7	2
211	в сущности	4	2
212	нас в	3	2
213	к нему	1	2
214	не надо	1	2
215	все время	1	2
216	но с	1	2
217	мы видим	1	2
218	тот же	6	2
219	мы увидим	1	2
220	а лишь	3	2
221	между тем	4	2
222	же и	1	2
223	уже в	3	2
224	ни одного	2	2
225	не о	2	2
226	противоречии с	1	2
227	не случайно	4	2
228	были бы	4	2
229	е в	2	2
230	или иной	7	2
231	интерес к	1	2
232	что не	4	2
233	превращается в	1	2
234	не означает	2	2
235	вместе с	2	2
236	тому как	2	2
237	это есть	1	2
238	что же	5	2
239	понял что	2	2
240	каждом человеке	1	2
241	но для	3	2
242	и революционной	1	2
243	быть и	1	2
244	а в	5	2
245	к самому	1	2
246	отношению к	2	2
247	и эта	1	2
248	и то	1	1
249	самом деле	14	1
250	бы для	1	1
251	мере в	1	1
252	не иначе	1	1
253	из самых	1	1
254	почти всегда	1	1
255	должна быть	3	1
256	со своей	1	1
257	значение но	1	1
258	всего лишь	1	1
259	для достижения	1	1
260	он знает	1	1
261	мы не	3	1
262	что если	2	1
263	быть у	1	1
264	но по	1	1
265	говорить о	6	1
266	поэтому будем	1	1
267	на практике	4	1
268	и ее	1	1
269	есть внутренняя	1	1
270	а еще	1	1
271	быть в	2	1
272	не понимали	2	1
273	можно и	1	1
274	тем как	1	1
275	значение и	1	1
276	только тогда	4	1
277	не все	2	1
278	для всякой	1	1
279	в совершенстве	1	1
280	нет и	1	1
281	за пределы	2	1
282	сама по	2	1
283	которые не	1	1
284	с этим	1	1
285	он перестает	1	1
286	особенно интересен	1	1
287	это был	1	1
288	и всецело	1	1
289	вопросом о	4	1
290	и как	2	1
291	это остается	1	1
292	в каком-то	1	1
293	для которого	2	1
294	отказывается от	1	1
295	ни один	1	1
296	в целом	4	1
297	формы в	1	1
298	все эти	7	1
299	или во	1	1
300	то я	1	1
301	что ничего	1	1
302	раз в	1	1
303	стал вопрос	1	1
304	но нужна	1	1
305	на западе	2	1
306	все те	2	1
307	из сферы	1	1
308	ведь не	1	1
309	отношений между	2	1
310	иногда бывают	1	1
311	наших глазах	1	1
312	у пушкина	1	1
313	может понять	1	1
314	но все	2	1
315	к составлению	1	1
316	каких угодно	1	1
317	не образ	1	1
318	сознание и	1	1
319	в другом	1	1
320	с целью	2	1
321	входит в	1	1
322	на протяжении	2	1
323	было бы	16	1
324	он есть	1	1
325	отца и	1	1
326	я все	2	1
327	после этого	1	1
328	и тем	6	1
329	так называемого	3	1
330	этого не	1	1
331	с тем	6	1
332	и уже	1	1
333	принадлежит в	1	1
334	остается в	2	1
335	на себя	2	1
336	же я	1	1
337	и становится	1	1
338	переносится в	1	1
339	но если	3	1
340	него нельзя	1	1
341	что такое	4	1
342	и без	2	1
343	уже к	1	1
344	в котором	2	1
345	с точки	16	1
346	в которых	3	1
347	своего рода	2	1
348	признать что	1	1
349	той мере	1	1
350	ответить на	2	1
351	значение для	1	1
352	одном из	1	1
353	она в	1	1
354	имеет смысл	3	1
355	и более	3	1
356	между двумя	1	1
357	же такое	1	1
358	нас к	2	1
359	вернемся к	2	1
360	как о	3	1
361	не любил	1	1
362	в какую-то	1	1
363	к этим	1	1
364	не по	3	1
365	жизни из	1	1
366	и именно	3	1
367	в самых	1	1
368	и отсутствие	1	1
369	для всего	1	1
370	следовательно и	1	1
371	о природе	1	1
372	учения о	4	1
373	можно видеть	2	1
374	мыслей и	1	1
375	дурного и	1	1
376	пределах и	1	1
377	сам я	1	1
378	того же	4	1
379	находит себе	1	1
380	и делает	1	1
381	что на	3	1
382	отсутствие у	1	1
383	не потому	3	1
384	представлять себе	1	1
385	не могут	5	1
386	и часто	1	1
387	тогда и	1	1
388	лежит в	1	1
389	сам был	1	1
390	отличается от	2	1
391	удивительно что	1	1
392	с проблемой	1	1
393	но также	5	1
394	без разбора	1	1
395	как не	1	1
396	что-то не	1	1
397	всего этого	3	1
398	в ее	4	1
399	это имело	1	1
400	точки опоры	1	1
401	на той	1	1
402	в пределах	2	1
403	приводит к	1	1
404	дано в	2	1
405	природе своей	1	1
406	не с	2	1
407	по природе	1	1
408	мог бы	2	1
409	и каждый	1	1
410	она была	1	1
411	когда в	2	1
412	думает что	1	1
413	стать на	3	1
414	в словах	1	1
415	оттенков в	1	1
416	будет уже	3	1
417	вот это	1	1
418	именно потому	1	1
419	а также	4	1
420	в самой	1	1
421	на вопрос	3	1
422	одно то	1	1
423	и кровь	1	1
424	может не	1	1
425	точно в	1	1
426	не выходит	1	1
427	своему значению	1	1
428	две формы	1	1
429	путь к	2	1
430	это в	2	1
431	которой мы	1	1
432	но я-то	1	1
433	раньше чем	1	1
434	во втором	1	1
435	и только	3	1
436	интеллигенции и	2	1
437	которые принадлежат	1	1
438	на наших	1	1
439	и об	2	1
440	уже из	1	1
441	но так	1	1
442	социальной среды	1	1
443	же все	1	1
444	и цельности	1	1
445	только одной	1	1
446	речи о	1	1
447	в какой	3	1
448	от смысла	1	1
449	в стороне	1	1
450	одних и	1	1
451	а имеет	1	1
452	не то	2	1
453	своей целью	1	1
454	я имею	2	1
455	не дает	2	1
456	был бы	3	1
457	а потому	2	1
458	никто не	1	1
459	не находит	1	1
460	смысле этого	2	1
461	вот с	1	1
462	и продолжает	1	1
463	но что	1	1
464	дело и	1	1
465	другому и	1	1
466	и дурной	1	1
467	они будут	1	1
468	котором в	1	1
469	это будет	1	1
470	как можно	1	1
471	правды и	1	1
472	но вся	1	1
473	возможно что	1	1
474	себе представить	2	1
475	на примере	1	1
476	с другой	7	1
477	делает в	1	1
478	вслед за	1	1
479	и прежде	1	1
480	такое же	1	1
481	а с	3	1
482	при чем	5	1
483	и границах	1	1
484	может ли	1	1
485	также в	1	1
486	нашей души	1	1
487	который с	1	1
488	о чем	2	1
489	на эту	1	1
490	основная мысль	1	1
