N	3gram	Potebnia_M_4	VLabPisa
1	и т д	3	15
2	в этом отношении	1	13
3	и т п	4	9
4	с другой стороны	1	8
5	не может быть	5	8
6	по отношению к	8	7
7	хотя бы и	2	5
8	то же время	3	5
9	в то же	3	5
10	не было бы	1	4
11	не могут быть	2	4
12	в связи с	1	4
13	можно сказать что	4	4
14	равно как и	2	4
15	в том что	7	4
16	в силу этого	1	3
17	о том как	1	3
18	и др в	1	3
19	вместе с тем	3	3
20	мы видели что	1	3
21	о том что	5	3
22	в одном из	1	3
23	к тому что	1	3
24	подобно тому как	2	2
25	в том числе	1	2
26	до сих пор	4	2
27	что все эти	1	2
28	таким образом в	1	2
29	и не может	1	2
30	по крайней мере	5	2
31	в том чтобы	1	2
32	не было в	2	2
33	с одной стороны	1	2
34	носит в себе	1	2
35	во всяком случае	3	2
36	от того что	3	2
37	во сне не	1	2
38	не только не	3	2
39	том числе и	1	2
40	для того чтобы	4	2
41	бы не было	2	2
42	даже и в	1	1
43	и есть то	1	1
44	даже не вполне	1	1
45	том смысле что	1	1
46	на этот вопрос	2	1
47	нет и не	1	1
48	хотя и не	1	1
49	лицом к лицу	1	1
50	другой стороны в	1	1
51	и ту же	1	1
52	иметь в виду	1	1
53	что перед нами	1	1
54	как один из	1	1
55	по меньшей мере	1	1
56	имеет свою историю	2	1
57	не об отсутствии	1	1
58	и по отношению	2	1
59	между собою и	2	1
60	в том же	2	1
61	в силу того	1	1
62	в течение многих	1	1
63	человека это не	1	1
64	было указано выше	1	1
65	если так то	1	1
66	главным образом в	1	1
67	в таком случае	2	1
68	сами по себе	2	1
69	но и в	1	1
70	только в том	2	1
71	то что в	2	1
72	кроме того что	1	1
73	следует иметь в	1	1
74	в чувственном восприятии	1	1
75	одного лица и	1	1
76	вместе с этим	2	1
77	с ними в	1	1
78	может быть и	1	1
79	же время нет	1	1
80	со всех сторон	1	1
81	не подлежит сомнению	1	1
82	есть то что	2	1
83	что даже и	1	1
84	так или иначе	2	1
85	таким образом уже	1	1
86	крайней мере для	1	1
87	в ту же	1	1
88	того что мы	1	1
89	должно быть названо	2	1
90	или как говорит	1	1
91	в данном случае	2	1
92	чтобы ответить на	1	1
93	то же самое	4	1
94	имеем дело с	1	1
95	их в своем	1	1
96	не в том	2	1
97	почти то же	1	1
98	а между тем	4	1
99	на вопрос что	1	1
100	все то что	1	1
101	именно в том	1	1
102	а в том	2	1
103	очевидно что в	2	1
104	сих пор не	1	1
105	каждое художественное произведение	1	1
106	в то время	1	1
107	он говорит и	1	1
108	и вместе с	1	1
109	никогда не может	1	1
110	в свою очередь	1	1
111	что в различных	1	1
112	ничего общего с	1	1
113	вопрос о том	2	1
114	в этом заключается	1	1
115	мы говорим о	1	1
116	таким образом можно	1	1
117	после того как	2	1
118	в том смысле	2	1
119	именно в силу	1	1
120	бы и в	1	1
121	мы имеем дело	2	1
122	одну и ту	1	1
123	дело не в	1	1
124	только тогда когда	4	1
125	что он в	1	1
126	заключает в себе	8	1
