N	4gram	Losev_Vesc_1	Psycholo
1	в то время как	1	5
2	с этой точки зрения	1	4
3	заключается в том что	1	3
4	заключается не в том	1	2
5	в ее чистом виде	1	2
6	и в самом деле	1	2
7	и тем не менее	1	1
8	т д все это	1	1
9	т д и т	5	1
10	с одной стороны и	1	1
11	дело в том что	2	1
12	одного и того же	1	1
13	в первом случае мы	1	1
14	д и т д	5	1
15	и т д и	5	1
16	одно и то же	4	1
17	она резко отличается от	1	1
18	не что иное как	7	1
19	и т д все	1	1
20	в коем случае не	1	1
21	или что то же	1	1
22	к одному и тому	1	1
23	было бы сказать что	2	1
24	одному и тому же	1	1
25	ни в коем случае	1	1
26	и т д то	1	1
