1	о том что	5	9
2	с точки зрения	1	8
3	в том что	4	8
4	в связи с	1	7
5	тем не менее	4	5
6	с другой стороны	8	5
7	а именно в	1	3
8	вместе с тем	1	3
9	то время как	2	3
10	точно так же	2	3
11	с одной стороны	4	3
12	в то время	2	3
13	после того как	2	3
14	все же не	1	3
15	для нас не	1	2
16	но и в	2	2
17	до сих пор	2	2
18	никак не может	1	2
19	по отношению к	1	2
20	не может быть	3	2
21	в данном случае	3	2
22	но все же	2	2
23	бы то ни	1	2
24	то и другое	1	2
25	и не в	1	2
26	по его мнению	1	1
27	с тех пор	1	1
28	на первый взгляд	4	1
29	а не от	1	1
30	и потому что	1	1
31	друг на друга	1	1
32	не только в	5	1
33	друга что их	1	1
34	о том чтобы	1	1
35	то ни было	1	1
36	с другой же	1	1
37	и после того	2	1
38	и в конце	1	1
39	а так как	1	1
40	у того же	1	1
41	уже не в	1	1
42	а я на	1	1
43	вместе со своим	1	1
44	у него есть	2	1
45	но тем не	2	1
46	у него и	1	1
47	здесь перед нами	1	1
48	потому что у	2	1
49	от солнца и	1	1
50	перед тем как	1	1
51	что этот мотив	1	1
52	хотя и не	1	1
53	как мы увидим	1	1
54	ни за кого	1	1
55	только о том	1	1
56	наконец один из	1	1
57	что у него	4	1
58	не входит в	1	1
59	сама по себе	1	1
60	можно было бы	1	1
61	похожи друг на	1	1
62	в нем и	1	1
63	в одной из	2	1
64	и т д	16	1
65	ту или иную	1	1
66	с этой точки	3	1
67	так и в	2	1
68	в которой они	1	1
69	он научил их	1	1
70	этот мотив не	1	1
71	может быть это	1	1
72	в своей работе	1	1
73	на земле в	1	1
74	и все в	1	1
75	в большинстве случаев	1	1
76	в котором можно	1	1
77	этой точки зрения	3	1
78	об этом же	1	1
79	что они должны	1	1
80	ко всякого рода	1	1
81	о том как	1	1
82	в самом деле	1	1
83	или духа в	1	1
84	с этой стороны	3	1
85	у него нет	1	1
86	на небо и	1	1
87	состоит в том	1	1
88	мы увидим ниже	1	1
89	другой же стороны	1	1
90	но это не	2	1
91	вопрос о том	1	1
92	что и здесь	3	1
93	таким образом мы	2	1
94	не в его	1	1
95	и то и	1	1
96	только потому что	1	1
97	это не так	1	1
98	на друга что	1	1
