N	2gram	Medvedev_I_1	slovoVRo
1	и в	1	41
2	и не	2	16
3	и др	1	14
4	в этом	2	12
5	так и	1	11
6	все эти	1	9
7	себя в	1	9
8	того же	1	6
9	а в	1	6
10	в них	1	6
11	все это	1	5
12	в основе	1	5
13	с другой	1	5
14	и с	3	4
15	автора и	1	4
16	ничего не	2	4
17	другой стороны	1	4
18	автор не	1	4
19	для него	1	3
20	следовательно в	1	3
21	как только	1	3
22	никогда не	1	3
23	того что	1	3
24	он не	2	3
25	и сам	1	3
26	по существу	1	3
27	от этого	1	2
28	произведения и	1	2
29	в эту	1	2
30	для того	1	2
31	нисколько не	1	2
32	и о	1	2
33	а с	1	2
34	бы его	1	2
35	а также	1	2
36	автор и	1	2
37	в целом	1	2
38	в значительной	1	1
39	бы в	1	1
40	тех же	1	1
41	жизни и	1	1
42	ибо и	1	1
43	и ничего	1	1
44	и тот	1	1
45	в материале	1	1
46	и без	1	1
47	на котором	1	1
48	того чтобы	1	1
49	не дает	1	1
50	что для	1	1
51	не остается	1	1
52	произведения это	1	1
53	есть только	1	1
54	то и	1	1
55	них не	1	1
56	со всеми	1	1
57	жил в	1	1
58	это было	1	1
59	если бы	1	1
60	с жизнью	1	1
61	должен быть	2	1
62	и со	1	1
63	и дети	1	1
64	его произведения	1	1
