N	2gram	Vinokur_St_3	FransuaR
1	и в	25	29
2	то есть	2	21
3	таким образом	10	20
4	и не	10	16
5	в эпоху	1	15
6	в этой	14	13
7	и все	1	13
8	но в	5	12
9	как и	4	12
10	и на	6	11
11	в этом	24	11
12	так и	5	11
13	то же	5	10
14	не только	12	10
15	во время	3	10
16	в то	7	10
17	как мы	2	10
18	все эти	3	9
19	и с	4	9
20	его в	1	9
21	в конце	6	9
22	вовсе не	2	9
23	но и	9	9
24	же время	3	8
25	и его	3	8
26	в его	12	8
27	прежде всего	10	8
28	как бы	6	8
29	в них	5	7
30	мы видели	1	7
31	в том	20	7
32	так как	3	7
33	еще и	1	7
34	так же	1	7
35	в сущности	2	6
36	своего рода	3	6
37	но он	3	6
38	из них	1	6
39	и до	1	5
40	что это	16	5
41	в нем	1	5
42	он и	2	5
43	в своей	4	5
44	до конца	3	5
45	рядом с	1	5
46	и о	1	5
47	это не	7	5
48	поэтому и	1	5
49	все они	3	5
50	это место	2	5
51	у него	9	5
52	сказать что	4	5
53	и по	2	5
54	того же	2	5
55	также и	1	4
56	связана с	4	4
57	на самом	1	4
58	в которой	4	4
59	еще не	2	4
60	с его	3	4
61	с помощью	1	4
62	конце концов	3	4
63	в образе	1	4
64	связанные с	1	4
65	которую он	2	4
66	точки зрения	7	4
67	но они	2	4
68	в плане	2	4
69	этот образ	2	4
70	в результате	2	4
71	в литературе	1	4
72	что он	19	4
73	конечно не	1	4
74	тем что	19	4
75	связан с	3	4
76	с другой	5	4
77	и др	4	4
78	но это	4	4
79	все это	8	4
80	один из	2	4
81	то что	12	4
82	есть и	1	4
83	жизни и	1	4
84	нужно подчеркнуть	1	3
85	по преимуществу	1	3
86	и за	2	3
87	той же	2	3
88	и здесь	3	3
89	в ней	4	3
90	в чем	4	3
91	но как	2	3
92	в своем	1	3
93	и как	1	3
94	более или	1	3
95	то в	4	3
96	он не	5	3
97	всех этих	3	3
98	и сам	1	3
99	для того	2	3
100	своего времени	2	3
101	в году	5	3
102	а затем	1	3
103	особенно в	1	3
104	с начала	1	3
105	такой же	2	3
106	том что	15	3
107	или менее	1	3
108	в эту	4	3
109	почти все	1	3
110	самого начала	2	3
111	того чтобы	1	3
112	в разных	1	3
113	по своей	1	3
114	с ее	2	3
115	здесь не	1	3
116	в ее	1	3
117	с самого	2	3
118	в дальнейшем	1	3
119	что у	2	3
120	образом в	1	3
121	к нему	4	3
122	отметить что	5	3
123	все время	2	3
124	того что	5	3
125	что здесь	4	3
126	на языке	1	3
127	и так	1	3
128	в качестве	4	3
129	и они	1	3
130	за счет	1	3
131	и других	2	3
132	и их	1	3
133	в известной	1	3
134	не случайно	1	3
135	там где	1	3
136	границы между	1	3
137	тому как	1	3
138	нужно отметить	2	3
139	все же	4	3
140	что значит	1	3
141	у них	1	3
142	мы видим	4	3
143	другой стороны	5	3
144	в частности	1	3
145	одновременно и	1	3
146	были и	2	3
147	как известно	1	2
148	и то	1	2
149	перед лицом	1	2
150	то время	4	2
151	и со	1	2
152	в виду	2	2
153	в числе	1	2
154	он был	3	2
155	с одной	2	2
156	понятно почему	1	2
157	но не	2	2
158	если в	2	2
159	что они	2	2
160	вследствие чего	1	2
161	в одной	2	2
162	как в	6	2
163	это был	2	2
164	кроме того	3	2
165	и наконец	3	2
166	и к	4	2
167	и этим	1	2
168	бы не	1	2
169	раз в	1	2
170	и тот	2	2
171	как он	1	2
172	так сказать	2	2
173	на его	4	2
174	в подлиннике	6	2
175	на этом	3	2
176	может быть	19	2
177	этих форм	1	2
178	в жизни	4	2
179	ни в	5	2
180	соответствии с	1	2
181	не мог	2	2
182	в этих	11	2
183	бы на	1	2
184	и при	1	2
185	наших дней	1	2
186	в котором	5	2
187	с точки	4	2
188	в их	3	2
189	место в	6	2
190	его современников	1	2
191	не столько	2	2
192	что я	3	2
193	том же	1	2
194	на котором	2	2
195	принадлежат к	1	2
196	дело в	1	2
197	но здесь	1	2
198	никогда не	2	2
199	связи с	3	2
200	исторического процесса	2	2
201	но там	1	2
202	к тому	2	2
203	о том	8	2
204	и это	5	2
205	мы здесь	1	2
206	им в	2	2
207	на нем	1	2
208	или в	2	2
