N	4gram	Berdyaev_M_2	Otkroven
1	в записках из подполья	1	3
2	в преступлении и наказании	1	3
3	легенда о великом инквизиторе	1	2
4	можно ли сказать что	1	2
5	своим что наконец-то они	1	1
6	только бога но и	1	1
7	процессе мити карамазова достоевский	1	1
8	человеческого общества невыносимее свободы	1	1
9	человека к человеку но	1	1
10	и сделали так для	1	1
11	эксперименты над человеческой природой	1	1
12	взял все что было	2	1
13	потому поступил как бы	1	1
14	говорят о том что	1	1
15	в обычном смысле слова	1	1
16	ретроградной и насмешливой физиономией	1	1
17	последней глубине человека в	1	1
18	записках из подполья и	1	1
19	для достоевского душа человеческая	1	1
20	ты взял все что	1	1
21	у достоевского нельзя найти	1	1
22	сделали так для того	1	1
23	ничего и никогда не	1	1
24	от того что человек	1	1
25	так для того чтобы	1	1
26	себе и своим что	1	1
27	побороли свободу и сделали	1	1
28	было для человека и	1	1
29	и своим что наконец-то	1	1
30	наконец-то они побороли свободу	1	1
31	что было не по	1	1
32	связано у достоевского с	1	1
33	в заслугу себе и	1	1
34	том все ли дозволено	1	1
35	записок из подполья и	1	1
36	и неопределенного взял все	1	1
37	что наконец-то они побороли	1	1
38	не только бога но	1	1
39	с ретроградной и насмешливой	1	1
40	не было для человека	1	1
41	зло было для него	1	1
42	свободу и сделали так	1	1
43	а потому поступил как	1	1
44	находится в противоречии с	1	1
45	о том все ли	1	1
46	он был до глубины	1	1
47	и там и здесь	6	1
48	этом он был гностиком	1	1
49	к человеку у достоевского	1	1
50	в самой последней глубине	1	1
51	легенды о великом инквизиторе	1	1
52	было не по силам	1	1
53	в этом он был	2	1
54	заслугу себе и своим	1	1
55	они побороли свободу и	1	1
56	никогда не было для	1	1
57	необычайного гадательного и неопределенного	1	1
58	и никогда не было	1	1
59	того чтобы сделать людей	1	1
60	самой последней глубине человека	1	1
61	для того чтобы сделать	1	1
62	гадательного и неопределенного взял	1	1
63	неопределенного взял все что	1	1
64	все что было не	1	1
