N	2gram	Potebnia_M_4	Komedia
1	и в	23	22
2	том что	12	12
3	но и	11	11
4	в том	23	11
5	не только	10	10
6	в то	4	10
7	из них	1	10
8	и т	7	9
9	как и	14	9
10	может быть	26	9
11	таким образом	24	8
12	о том	8	8
13	и его	2	8
14	в одном	4	8
15	и не	18	8
16	в этой	1	7
17	и других	3	7
18	то же	14	6
19	и по	3	6
20	не в	11	6
21	в отношении	1	6
22	что он	4	6
23	к тому	3	6
24	а в	5	6
25	в которой	6	6
26	что в	17	6
27	в истории	4	5
28	как в	7	5
29	то время	1	5
30	на его	3	5
31	при этом	15	5
32	войны и	1	5
33	во время	2	5
34	потому что	33	5
35	со своим	4	5
36	так и	6	5
37	и даже	2	5
38	между тем	9	5
39	один из	2	5
40	уже в	5	5
41	в его	5	5
42	прежде всего	1	5
43	т п	4	5
44	с другой	2	5
45	все это	5	5
46	другой стороны	1	5
47	по которым	1	4
48	но в	8	4
49	в греции	1	4
50	в нем	7	4
51	т д	3	4
52	в другом	1	4
53	известно что	6	4
54	участие в	1	4
55	точки зрения	4	4
56	в котором	4	4
57	в их	1	4
58	одном из	2	4
59	так как	14	4
60	как мы	2	4
61	же время	3	4
62	так в	3	4
63	ясно что	1	4
64	а также	1	4
65	что и	7	4
66	в качестве	1	4
67	мы можем	10	4
68	тем что	10	4
69	именно в	3	4
70	же в	1	4
71	по поводу	4	4
72	речь идет	1	3
73	идет о	1	3
74	мы не	8	3
75	и о	4	3
76	и на	3	3
77	в последних	1	3
78	в чем	1	3
79	с одной	1	3
80	в этом	23	3
81	все же	1	3
82	хотя и	5	3
83	и как	2	3
84	можно сделать	1	3
85	на то	7	3
86	главным образом	1	3
87	да и	4	3
88	он не	2	3
89	и еще	1	3
90	здесь мы	2	3
91	и с	4	3
92	его в	4	3
93	в них	3	3
94	на основании	4	3
95	вопрос о	2	3
96	не менее	5	3
97	на всю	1	3
98	даже в	2	3
99	по отношению	10	3
100	того как	6	3
101	к этим	1	3
102	казалось бы	1	3
103	ничего не	1	3
104	в сознании	4	3
105	этом отношении	1	3
106	у нас	2	3
107	могут быть	7	3
108	и сам	1	3
109	во второй	1	3
110	вероятно что	1	3
111	после того	2	3
112	там же	3	3
113	судить по	2	3
114	в частности	1	3
115	как из	1	3
116	в образе	2	3
117	тот же	2	3
118	одной из	1	3
119	только в	15	3
120	и у	2	3
121	в виде	2	3
122	отношение к	2	3
123	у него	1	3
124	к которому	1	3
125	все более	3	3
126	так же	4	3
127	как это	1	3
128	по своему	2	3
129	одной стороны	1	3
130	в течение	2	3
131	не мог	1	3
132	здесь в	1	3
133	в более	2	3
134	и все	4	3
135	отношению к	8	3
136	это однако	1	2
137	того же	1	2
138	можем судить	2	2
139	ту же	3	2
140	причем и	1	2
141	в сущности	2	2
142	это время	1	2
143	столь же	2	2
144	тем как	2	2
145	отличие от	1	2
146	за пределы	1	2
147	относится к	1	2
148	независимо от	6	2
149	что по	2	2
150	и хотя	3	2
151	в самом	3	2
152	меньшей мере	1	2
153	в известном	1	2
154	в себе	14	2
155	только один	1	2
156	не следует	2	2
157	время и	1	2
158	в первой	1	2
159	в силу	7	2
160	на этом	1	2
161	на все	1	2
162	было бы	8	2
163	и тем	4	2
164	мы видели	1	2
165	в следующем	1	2
166	и без	2	2
167	всяком случае	3	2
168	но он	1	2
169	тем не	4	2
170	по меньшей	1	2
171	судя по	2	2
172	к ней	2	2
173	как будто	1	2
174	в области	2	2
175	а мы	3	2
176	же самое	4	2
177	указывает на	2	2
178	слов но	2	2
179	второй половине	1	2
180	в себя	1	2
181	до самого	1	2
182	что у	3	2
183	времени и	1	2
184	образом в	5	2
185	находится в	5	2
186	и здесь	2	2
187	нас в	2	2
188	затем в	1	2
189	и во	1	2
190	и можно	1	2
191	от них	1	2
192	в форме	1	2
193	или может	1	2
194	и мир	1	2
195	еще не	3	2
196	время когда	2	2
197	именно на	2	2
198	из которых	2	2
199	могли быть	1	2
200	вовсе не	7	2
201	в других	2	2
202	когда бы	1	2
203	со стороны	3	2
204	даже не	2	2
205	и из	3	2
206	до сих	4	2
207	вслед за	1	2
208	и притом	2	2
209	то и	4	2
210	в действии	1	2
211	должна была	1	2
212	не может	11	2
213	вместе с	6	2
214	но не	1	2
215	в состоянии	2	2
216	и формы	1	2
217	к нему	5	2
218	сих пор	4	2
219	но это	3	2
220	и таким	3	2
221	между прочим	3	2
222	мы найдем	1	2
223	об отношении	2	2
224	или в	1	2
225	как теперь	2	2
226	только что	3	2
227	то что	29	2
228	для исследования	1	2
229	в свою	2	2
230	из своей	1	2
231	в действительности	3	2
232	ее в	1	2
233	в своих	2	2
234	во всяком	5	2
235	все что	2	2
236	а между	4	1
237	можно говорить	1	1
238	в применении	1	1
239	самое слово	4	1
240	сам по	4	1
241	все остальное	1	1
242	на самом	3	1
243	не что	2	1
244	такое же	2	1
245	тем же	1	1
246	варваров и	1	1
247	уже по	2	1
248	и за	1	1
249	не принесло	1	1
250	одним из	1	1
251	мы уже	3	1
252	той же	3	1
253	со всех	1	1
254	по мнению	1	1
255	для своего	1	1
256	чувствам и	1	1
257	заботясь о	1	1
258	ответить на	3	1
259	с недоверием	1	1
260	что под	1	1
261	и новых	1	1
262	что иное	2	1
263	троянской войны	1	1
264	ему в	1	1
265	то это	8	1
266	зависимости от	1	1
267	в мире	2	1
268	всех сторон	1	1
269	в ней	2	1
270	и самим	1	1
271	проявляется в	2	1
272	повторяют друг	1	1
273	иное как	2	1
274	ответа на	1	1
275	быть в	1	1
276	прибавляет к	1	1
277	во всех	1	1
278	общих чертах	2	1
279	но конечно	1	1
280	сказать и	1	1
281	других источников	1	1
282	как у	1	1
283	он может	1	1
284	же она	1	1
285	не все	1	1
286	силу этого	1	1
287	очевидно что	7	1
288	том чем	1	1
289	с этим	7	1
290	для создания	3	1
291	дает нам	1	1
292	в своем	8	1
293	переходя от	1	1
294	смысле этого	1	1
295	его к	2	1
296	и к	6	1
297	это отчасти	1	1
298	следует рассмотреть	1	1
299	то в	3	1
300	жизни к	2	1
301	что это	7	1
302	сказать о	1	1
303	так или	2	1
304	он в	1	1
305	что же	5	1
306	бы не	3	1
307	из этих	2	1
308	только на	4	1
309	тем он	1	1
310	и тот	3	1
311	бы только	2	1
312	роль в	1	1
313	и те	1	1
314	что эти	3	1
315	что же?	1	1
316	избавиться от	1	1
317	состоит в	2	1
318	к одному	3	1
319	нашего времени	3	1
320	из него	2	1
321	подобно тому	2	1
322	что она	2	1
323	но все	1	1
324	человека в	2	1
325	значительной степени	2	1
326	двух слов	1	1
327	что все	4	1
328	это сопоставление	1	1
329	своей головы	1	1
330	же касается	1	1
331	в каком-нибудь	1	1
332	об этом	2	1
333	свойств и	1	1
334	а его	1	1
335	то есть	34	1
336	от земли	2	1
337	это было	2	1
338	перед нами	1	1
339	должен был	1	1
340	нет в	1	1
341	видно как	1	1
342	а с	1	1
343	все равно	3	1
344	к которым	3	1
345	отсюда видно	1	1
346	с тем	7	1
347	всю жизнь	1	1
348	явления которые	1	1
349	в передаче	1	1
350	слова и	5	1
351	по той	1	1
352	в эту	1	1
353	в этих	3	1
354	можно только	2	1
355	не так	2	1
356	но если	1	1
357	и одно	1	1
358	а как	2	1
359	человека хотя	1	1
360	никто не	2	1
361	выраженный в	2	1
362	и сознательной	1	1
363	в которых	3	1
364	не представляется	1	1
365	несомненно что	1	1
