N	2gram	Medvedev_S_1	VLabPisa
1	таким образом	2	27
2	в этом	5	26
3	и в	3	25
4	не только	3	22
5	может быть	2	21
6	хотя бы	1	20
7	и не	1	19
8	не может	1	17
9	в его	3	15
10	в процессе	1	14
11	в том	5	13
12	прежде всего	1	13
13	в частности	2	12
14	все это	7	12
15	в силу	1	11
16	с другой	1	11
17	о том	1	10
18	то же	2	9
19	что в	2	9
20	но и	2	9
21	все эти	1	8
22	на основании	1	8
23	по отношению	2	7
24	было бы	2	7
25	как и	1	7
26	том что	2	7
27	в конечном	1	7
28	не было	1	7
29	из современных	1	7
30	отношению к	2	7
31	это и	2	6
32	главным образом	2	6
33	это не	1	6
34	и его	1	6
35	в то	1	6
36	так и	1	6
37	между тем	1	6
38	у него	1	6
39	то что	2	6
40	и есть	1	5
41	конечном счете	1	5
42	очевидно что	2	5
43	все же	1	5
44	не в	3	5
45	тому что	1	5
46	же время	1	5
47	связи с	1	5
48	один из	1	5
49	он говорит	1	5
50	как бы	2	5
51	в результате	2	5
52	только в	2	5
53	в этой	1	4
54	перед нами	1	4
55	в целом	1	4
56	что все	1	4
57	в них	1	4
58	даже в	1	4
59	никогда не	1	4
60	что он	1	4
61	в связи	1	4
62	в своей	1	4
63	в котором	1	3
64	но как	1	3
65	и как	1	3
66	что без	1	3
67	и по	1	3
68	его в	1	3
69	далеко не	2	3
70	а вот	1	3
71	этой области	1	3
72	том как	1	3
73	образом в	1	3
74	никак не	1	3
75	говоря иначе	1	3
76	в конце	2	3
77	именно в	1	3
78	по существу	2	3
79	бы в	1	3
80	еще не	2	2
81	в чем	1	2
82	чуть ли	1	2
83	но не	1	2
84	отнюдь не	1	2
85	что она	1	2
86	в каждом	1	2
87	между собою	1	2
88	всяком случае	1	2
89	по крайней	1	2
90	по себе	1	2
91	в области	1	2
92	и заключается	2	2
93	ли не	1	2
94	же самое	1	2
95	только то	1	2
96	во всяком	1	2
97	может не	1	2
98	из себя	1	2
99	крайней мере	1	2
100	конце концов	2	2
101	всего не	1	2
102	с одной	1	2
103	эти вопросы	1	2
104	вовсе не	1	2
105	одной стороны	1	2
106	даже не	1	2
107	еще и	1	2
108	зависит от	1	2
109	и потому	1	2
110	что творчество	1	2
111	а в	1	2
112	между ними	1	2
113	они не	1	2
114	а между	1	1
115	вряд ли	1	1
116	художественных произведений	1	1
117	же по	1	1
118	что эти	1	1
119	противном случае	1	1
120	должна быть	2	1
121	обходится без	1	1
122	но она	1	1
123	не способен	1	1
124	между собой	1	1
125	ними в	1	1
126	любой области	1	1
127	только тогда	1	1
128	в свои	1	1
129	сама по	1	1
130	и наконец	1	1
131	идей и	2	1
132	так называемым	1	1
133	свойств и	1	1
134	и способностей	1	1
135	на этот	1	1
136	их на	1	1
137	в этих	1	1
138	еще недостаточно	1	1
139	и благодаря	1	1
140	как совокупность	1	1
141	собой не	1	1
142	себе из	1	1
143	творчества это	1	1
144	не должна	1	1
145	в таких	1	1
146	мысли в	1	1
147	дело не	2	1
148	к изучению	1	1
149	но только	1	1
150	как будто	2	1
151	больше того	1	1
152	все то	1	1
153	бы он	1	1
154	перейти к	1	1
155	же не	1	1
156	что автор	1	1
157	это вовсе	1	1
158	для этого	1	1
159	с ним	1	1
160	автор не	1	1
161	это происходит	1	1
162	и что	2	1
163	для нас	3	1
164	которая должна	1	1
165	в него	1	1
166	существа вопроса	1	1
167	стиль в	1	1
168	пишет он	1	1
169	без этого	1	1
170	конечно не	1	1
171	существу своему	1	1
172	в виде	1	1
173	не дает	1	1
174	или даже	2	1
175	и цельного	1	1
176	в систему	1	1
177	тем что	1	1
178	пишет следующее	1	1
179	как же	3	1
180	в любой	1	1
181	наконец в	1	1
182	со своими	1	1
183	следующее как	1	1
184	представить себе	1	1
185	и самые	1	1
186	где же	1	1
187	в данном	1	1
188	его исторической	1	1
189	это значит	1	1
190	благодаря этому	1	1
191	только для	1	1
192	стоит только	1	1
193	в противном	1	1
194	это как	1	1
195	или не	1	1
196	из тех	1	1
197	не один	1	1
198	работы в	1	1
199	в заключение	1	1
