N	2gram	Bakhtin_fo_1	KFilosof
1	может быть	11	43
2	в его	13	39
3	в нем	24	31
4	не может	6	27
5	и не	14	26
6	по отношению	3	25
7	и в	50	22
8	в себе	3	21
9	в котором	4	21
10	отношению к	5	21
11	и его	16	17
12	в ее	6	17
13	а не	3	17
14	только в	4	16
15	в этом	25	13
16	точки зрения	5	13
17	и это	4	12
18	но не	5	12
19	ни в	8	12
20	для него	2	12
21	все эти	9	11
22	в своей	2	11
23	не в	5	11
24	во всех	6	10
25	в своем	4	10
26	это не	6	10
27	с точки	2	10
28	все это	4	10
29	из себя	1	10
30	и есть	1	9
31	в их	6	9
32	в целом	2	9
33	для нее	1	9
34	его целом	2	9
35	бытия и	1	9
36	но и	8	9
37	как бы	2	9
38	и для	4	9
39	и все	6	9
40	момент его	2	8
41	лишь в	6	8
42	было бы	2	8
43	мир в	2	8
44	если бы	5	8
45	единого и	1	8
46	не было	7	8
47	жизни и	8	8
48	то что	6	7
49	во всем	2	7
50	должен быть	1	7
51	на основе	2	7
52	в себя	1	7
53	и здесь	1	7
54	что и	3	7
55	себя в	1	7
56	конечно не	4	7
57	вовсе не	13	7
58	быть только	3	7
59	я не	1	6
60	момент в	2	6
61	менее всего	1	6
62	отношение к	2	6
63	отнюдь не	5	6
64	и я	1	6
65	мира в	3	6
66	он не	5	6
67	в мире	1	6
68	этот момент	1	6
69	и только	1	6
70	совершенно не	2	6
71	уже не	2	6
72	и их	8	6
73	ко мне	1	6
74	в том	9	6
75	мы имеем	1	5
76	жизни как	1	5
77	но как	1	5
78	все же	6	5
79	но в	10	5
80	не только	9	5
81	то же	11	5
82	но все	5	5
83	его в	3	5
84	как и	8	5
85	должно быть	1	5
86	но эта	3	5
87	не имеет	4	5
88	никогда не	2	5
89	бытия как	1	5
90	в событии	1	5
91	для себя	7	5
92	с ним	2	5
93	именно в	3	5
94	там где	2	5
95	событие в	1	5
96	в основе	5	5
97	хотя бы	2	5
98	жизни в	8	5
99	не знает	3	5
100	как его	1	4
101	и момент	2	4
102	себя а	1	4
103	в чем	2	4
104	мира но	1	4
105	при этом	3	4
106	время и	4	4
107	не как	2	4
108	здесь мы	1	4
109	нем как	1	4
110	входит в	3	4
111	места в	2	4
112	место в	2	4
113	к ним	2	4
114	чем не	3	4
115	в каком	2	4
116	с ними	1	4
117	и т.д	1	4
118	и пространство	1	4
119	времени и	10	4
120	места и	1	4
121	во всей	3	4
122	могло бы	1	4
123	в одном	3	4
124	том что	4	4
125	для нас	2	4
126	а в	3	4
127	что в	5	4
128	в своих	1	4
129	самом деле	1	3
130	этого мира	4	3
131	мы не	3	3
132	что это	1	3
133	в ней	4	3
134	еще не	5	3
135	и на	8	3
136	события в	1	3
137	но конечно	2	3
138	а следовательно	1	3
139	себе и	3	3
140	нет и	2	3
141	независимо от	1	3
142	данный момент	1	3
143	для которой	1	3
144	и этим	1	3
145	ее целом	2	3
146	бы и	1	3
147	бы не	1	3
148	всех этих	5	3
149	для того	5	3
150	и совершенно	1	3
151	в корне	1	3
152	ее жизни	1	3
153	в каждом	1	3
154	могла бы	1	3
155	в другом	1	3
156	эти моменты	3	3
157	нет в	2	3
158	рядом с	2	3
159	когда я	1	3
160	нигде не	1	3
161	не должно	1	3
162	что этот	1	3
163	тогда когда	2	3
164	где он	1	3
165	ничего не	9	3
166	могут быть	5	3
167	здесь не	4	3
168	единый и	1	3
169	ясно что	2	3
170	отсюда и	2	3
171	здесь нет	3	3
172	с человеком	1	3
173	но здесь	1	3
174	в виду	3	3
175	о том	1	3
176	моменты и	1	3
177	того что	2	3
178	быть и	2	3
179	был бы	3	3
180	тем что	2	3
181	в данный	1	3
182	что не	3	3
183	до конца	4	3
184	ближе к	1	3
185	в момент	1	3
186	вступает в	2	3
