N	2gram	Losev_Vlad_2	VeschiIm
1	не есть	4	49
2	не может	9	33
3	не только	12	31
4	может быть	7	29
5	и не	18	28
6	и в	30	26
7	то что	20	24
8	и есть	2	23
9	значит что	1	22
10	это значит	2	22
11	и т	1	21
12	т д	1	20
13	а не	7	20
14	не просто	1	18
15	есть только	1	17
16	что я	3	16
17	в смысле	1	15
18	что она	1	14
19	только в	6	14
20	по себе	5	13
21	и что	5	13
22	того что	5	13
23	и то	5	12
24	есть не	1	12
25	все же	9	12
26	в себя	1	12
27	что это	4	12
28	было бы	9	12
29	и ее	1	12
30	но и	8	12
31	сказать что	11	12
32	таким образом	3	11
33	общения с	1	11
34	с нею	1	11
35	вещь и	1	11
36	что же	8	11
37	и больше	3	10
38	то же	4	10
39	есть нечто	2	10
40	в ней	4	10
41	как бы	5	10
42	что такое	1	10
43	вещь есть	1	10
44	потому что	9	10
45	уже не	3	10
46	что мы	1	10
47	бы то	1	9
48	в самом	2	9
49	то ни	1	9
50	и с	14	9
51	вещей и	1	9
52	больше ничего	1	9
53	в том	18	9
54	что не	2	9
55	еще и	6	9
56	прежде всего	6	9
57	что иное	1	8
58	иное как	1	8
59	в себе	6	8
60	на то	2	8
61	и это	3	8
62	ничего не	2	8
63	она есть	1	8
64	но это	4	8
65	не что	1	8
66	также и	6	7
67	говорить о	1	7
68	если она	1	7
69	в этом	20	7
70	не будет	1	7
71	его в	4	7
72	том что	12	7
73	в то	9	7
74	как с	1	7
75	себя в	2	7
76	и их	1	7
77	так как	5	7
78	как раз	1	7
79	смысла и	1	7
80	от всего	1	7
81	есть и	2	7
82	с собою	1	6
83	со стороны	4	6
84	что они	1	6
85	и как	3	6
86	но в	8	6
87	бы и	1	6
88	это есть	1	6
89	что является	1	6
90	всего прочего	1	6
91	точки зрения	7	6
92	но если	1	6
93	по крайней	4	6
94	с ним	5	6
95	она не	2	6
96	оно есть	1	6
97	можно было	2	6
98	ясно что	1	6
99	должно быть	3	6
100	крайней мере	4	6
101	так что	5	6
102	если мы	1	6
103	ни с	2	6
104	для него	9	6
105	но что	5	6
106	когда мы	3	6
107	в результате	5	6
108	жизни и	6	6
109	что в	12	6
110	того же	5	5
111	и до	2	5
112	в сущности	2	5
113	и бытия	2	5
114	в чем	2	5
115	но не	3	5
116	есть просто	2	5
117	чем же	1	5
118	как к	2	5
119	же это	2	5
120	содержит в	4	5
121	это не	2	5
122	с тем	2	5
123	не в	9	5
124	тем не	6	5
125	в отношении	3	5
126	не менее	7	5
127	только и	3	5
128	у нас	6	5
129	для себя	5	5
130	свою очередь	2	5
131	должны быть	1	5
132	если бы	1	5
133	для этого	1	5
134	другими словами	5	5
135	еще не	1	5
136	что для	2	5
137	ни на	1	5
138	с этой	4	5
