N	3gram	Tiupa_Hudo_1	Morfolog
1	и т д	3	47
2	в связи с	3	8
3	не может быть	2	8
4	связи с этим	2	5
5	по отношению к	8	4
6	с точки зрения	3	4
7	а также и	1	4
8	тем не менее	3	4
9	в первом случае	1	3
10	на самом деле	1	3
11	но все же	1	3
12	как и в	3	3
13	состоит в том	1	2
14	более или менее	1	2
15	можно заметить что	1	2
16	в иных случаях	1	2
17	с одной стороны	1	2
18	на первый взгляд	1	2
19	с того что	1	2
20	в том что	6	2
21	не означает что	1	1
22	в тот момент	2	1
23	есть на самом	1	1
24	уже не может	1	1
25	том что он	1	1
26	о том как	2	1
27	что же касается	2	1
28	и там где	1	1
29	как бы в	1	1
30	до сих пор	2	1
31	в таком случае	1	1
32	том случае если	1	1
33	или с того	1	1
34	можно было бы	4	1
35	его и т	1	1
36	в этой главе	1	1
37	в том случае	1	1
38	в данном случае	1	1
39	в первый раз	1	1
40	имеет ничего общего	1	1
41	во всяком случае	1	1
42	вместо того чтобы	2	1
43	не имеет ничего	1	1
44	самом деле в	2	1
45	то же время	8	1
46	и как будто	1	1
47	о том что	9	1
48	то можно было	1	1
49	с самого начала	1	1
50	следует отличать от	1	1
51	тот момент когда	2	1
52	на то что	2	1
53	прежде всего о	1	1
54	в то же	8	1
55	к тому что	4	1
56	здесь прежде всего	1	1
57	друг с другом	1	1
58	во многих отношениях	1	1
59	но в этом	1	1
60	могло бы быть	1	1
