N	3gram	Tiupa_Hudo_2	KFilosof
1	по отношению к	7	21
2	не может быть	3	11
3	с точки зрения	2	10
4	в котором он	1	3
5	того или иного	2	3
6	между тем как	1	3
7	и в этом	2	3
8	то что я	1	2
9	дело здесь не	1	2
10	в соответствии с	3	2
11	она могла бы	1	2
12	бы то ни	1	2
13	то или иное	1	2
14	то же время	4	2
15	той или иной	1	2
16	в то же	4	2
17	тем не менее	3	2
18	в том что	11	2
19	а не в	2	2
20	себя в другом	1	1
21	это уже не	1	1
22	нет и не	1	1
23	в настоящее время	1	1
24	мы ничего не	1	1
25	рядом с собой	2	1
26	и рядом с	1	1
27	только в том	2	1
28	хотя бы и	2	1
29	смысл в себе	1	1
30	бытия только через	1	1
31	такова же и	1	1
32	и его но	1	1
33	здесь не в	1	1
34	в ее жизни	2	1
35	и просто с	1	1
36	и то что	1	1
37	и в то	2	1
38	именно в ее	1	1
39	за собой и	1	1
40	найти себя в	1	1
41	для себя а	1	1
42	в первом случае	1	1
43	лежит в основе	1	1
44	него и в	1	1
45	в том случае	1	1
46	а не как	1	1
47	в жизни в	1	1
48	всю свою жизнь	1	1
49	к той же	1	1
50	дело в том	1	1
51	как одно из	1	1
52	я не могу	1	1
53	на этом пути	1	1
54	для того чтобы	3	1
55	бы не было	1	1
56	и все же	1	1
57	в противоречие с	1	1
58	в значительной степени	1	1
59	же самое что	2	1
60	жизни и смерти	1	1
61	но сама она	1	1
62	но не по	1	1
63	в конечном счете	3	1
64	это отнюдь не	1	1
65	не было ни	1	1
66	сама нуждается в	1	1
67	если бы не	1	1
68	к тому что	4	1
69	не вступает в	1	1
70	если бы оно	1	1
71	что и в	1	1
72	то же самое	2	1
73	на том что	1	1
