N	2gram	Berdyaev_V_1	PoTuStor
1	может быть	1	17
2	и в	16	16
3	в этом	4	9
4	прежде всего	2	9
5	и с	1	8
6	с его	3	7
7	не только	2	7
8	конечно не	2	6
9	и это	2	6
10	для него	2	6
11	еще не	8	5
12	в чем	3	5
13	отношение к	1	5
14	все эти	3	5
15	ни в	3	5
16	как бы	5	5
17	и ее	1	4
18	и на	1	4
19	но в	3	4
20	в этой	1	4
21	в нем	4	4
22	все это	5	4
23	как мы	1	4
24	так и	4	4
25	но мы	2	4
26	в его	4	4
27	а потому	1	4
28	с ними	1	4
29	только в	2	4
30	так как	9	4
31	но и	5	4
32	и не	20	4
33	и все	4	4
34	хотя бы	3	4
35	все что	4	4
36	если б	1	3
37	во всех	3	3
38	и есть	4	3
39	и теперь	2	3
40	и вот	1	3
41	их в	3	3
42	на этом	1	3
43	том что	2	3
44	в одном	1	3
45	по крайней	1	3
46	мира и	1	3
47	по сравнению	1	3
48	крайней мере	1	3
49	в том	3	3
50	вместе с	1	3
51	и потому	7	3
52	как это	1	3
53	ко всякому	1	3
54	сравнению с	1	3
55	могут быть	2	3
56	что в	3	3
57	в этих	3	3
58	а в	2	3
59	то что	9	3
60	жизни и	3	3
61	во всяком	2	3
62	нем нет	2	2
63	в самом	1	2
64	мы не	2	2
65	говорить о	4	2
66	но как	1	2
67	нет и	2	2
68	что это	1	2
69	нашего времени	1	2
70	и по	1	2
71	то же	1	2
72	и мы	3	2
73	в жизни	3	2
74	в них	3	2
75	как и	4	2
76	между собою	1	2
77	в своей	3	2
78	этих трех	3	2
79	никогда не	3	2
80	на два	1	2
81	что на	1	2
82	не могут	2	2
83	и всех	1	2
84	что оно	1	2
85	не будет	2	2
86	как не	3	2
87	быть может	1	2
88	и вообще	1	2
89	с ним	2	2
90	находится в	1	2
91	для нас	2	2
92	что и	3	2
93	один из	2	2
94	сделать это	1	2
95	мы видим	1	2
96	что он	4	2
97	и так	1	2
98	на этих	2	2
99	к ним	1	2
100	у него	1	2
101	оно не	3	2
102	себя и	1	2
103	что не	4	2
104	что мы	4	2
105	в одно	1	2
106	так же	1	2
107	ненависть к	1	2
108	в мир	1	2
109	с этой	1	2
110	но это	3	2
111	и для	3	2
112	не существует	1	2
113	не есть	6	2
114	есть и	1	2
115	ее в	2	2
116	к этому	1	2
117	они не	1	2
118	человека и	6	1
119	и то	2	1
120	далее и	1	1
121	не имеют	1	1
122	и могут	1	1
123	его не	2	1
124	до времени	1	1
125	вопрос о	1	1
126	я не	1	1
127	же что	1	1
128	зависимости от	1	1
129	в ней	4	1
130	он был	1	1
131	не был	1	1
132	бы то	1	1
133	но не	2	1
134	отказ от	1	1
135	менее всего	1	1
136	что они	7	1
137	это самое	1	1
138	пути в	1	1
139	все же	1	1
140	хотя и	5	1
141	его к	2	1
142	от этого	3	1
143	к чему	3	1
144	уже не	2	1
145	влечение к	1	1
146	жизнь как	1	1
147	не преодолевается	1	1
148	что было	2	1
149	цель ее	1	1
150	человека в	1	1
151	то ни	1	1
152	этом нет	1	1
153	в мире	5	1
154	конечно в	1	1
155	по смыслу	1	1
156	теми которые	1	1
157	лишь в	3	1
158	и марксизм	1	1
159	истории и	2	1
160	весь мир	1	1
161	для них	2	1
162	были в	1	1
163	с тем	2	1
164	жизни но	1	1
165	их на	1	1
166	искать в	1	1
167	что есть	5	1
168	не сумеет	1	1
169	ли так	1	1
170	что я	3	1
171	есть еще	1	1
172	этот мир	1	1
173	любовь к	3	1
174	освободиться от	1	1
175	в атмосфере	1	1
176	можно ли	1	1
177	и внешней	1	1
178	есть прежде	1	1
179	одна из	2	1
180	того чтобы	2	1
181	не имеет	3	1
182	это мы	2	1
183	и всегда	1	1
184	ничего не	1	1
185	факт моего	1	1
186	пути и	1	1
187	в русском	1	1
188	во всем	1	1
189	мире и	1	1
190	в сознании	1	1
191	в виду	1	1
192	уже и	1	1
193	мы и	2	1
194	в образах	1	1
195	в духе	2	1
196	к тому	3	1
197	она не	1	1
198	из всего	1	1
199	бы сделать	1	1
200	свободно и	1	1
201	в себя	2	1
202	роль в	1	1
203	и что	3	1
204	если они	1	1
205	и сам	2	1
206	можно было	2	1
207	ли это?	1	1
208	это только	1	1
209	еще так	1	1
210	в разных	1	1
211	и начало	1	1
212	но к	1	1
213	вражда к	1	1
214	любви к	1	1
215	других людей	1	1
216	это желание	1	1
217	человек был	1	1
218	но нет	1	1
219	и можно	1	1
220	человека как	2	1
221	и мир	1	1
222	в которую	1	1
223	к нему	1	1
224	себя с	1	1
225	тот же	3	1
226	мы увидим	1	1
227	бы ни	1	1
228	современной культуры	1	1
229	теперь в	1	1
230	же и	1	1
231	всем мире	1	1
232	утверждают что	1	1
233	уже в	1	1
234	и они	3	1
235	то и	1	1
236	его и	2	1
237	не будут	1	1
238	в конце	3	1
239	вовсе не	1	1
240	не случайно	1	1
241	для того	1	1
242	с другой	1	1
243	этом пути	1	1
244	и быть	1	1
245	а с	2	1
246	в высшую	1	1
247	говорит о	1	1
248	них и	1	1
249	у нас	1	1
250	основной вопрос	1	1
251	а не	7	1
252	власти и	1	1
253	с которым	1	1
254	жизнь в	1	1
255	для человека	2	1
256	не всегда	1	1
257	оно ни	1	1
258	связь с	1	1
259	и столь	1	1
260	в человеке	1	1
261	и ведет	1	1
262	а потом	1	1
263	только себя	1	1
