N	3gram	Losev_Prob_1	Sotsiolo
1	только в этом	1	2
2	в том что	5	2
3	но ведь это	1	2
4	в конце концов	4	2
5	сказать и о	3	1
6	в настоящее время	3	1
7	в том и	1	1
8	а между тем	1	1
9	и в этом	2	1
10	только то что	4	1
11	по крайней мере	2	1
12	то что в	3	1
13	то же самое	9	1
14	о том как	2	1
15	сама по себе	4	1
16	как бы они	1	1
17	в свои права	1	1
18	том что это	1	1
19	не было бы	1	1
20	в то же	4	1
21	это вовсе не	2	1
22	вступает в свои	1	1
23	что в них	1	1
24	в этой области	2	1
25	выходит за пределы	1	1
26	в связи с	4	1
27	на первый план	1	1
28	ни на что	1	1
29	не выходит за	1	1
30	ровно ничего не	1	1
31	и никак не	1	1
32	и в то	1	1
33	во всяком случае	3	1
34	ведь это же	1	1
