N	4gram	Vinokur_St_3	Problema
1	а с другой стороны	1	3
2	в то время как	4	3
3	что у него есть	1	1
4	но это не так	1	1
5	состоит в том что	2	1
6	в том смысле что	1	1
7	в связи с этим	1	1
8	обстоятельство что несмотря на	1	1
9	с этой точки зрения	1	1
10	и в этом смысле	2	1
11	и в конце концов	1	1
12	о том что он	1	1
13	то обстоятельство что несмотря	1	1
14	тем не менее в	1	1
15	с одной стороны он	1	1
16	с начала до конца	1	1
17	в одной из своих	1	1
18	в то же время	3	1
19	не говоря уже о	1	1
20	по крайней мере три	1	1
