N	3gram	Losev_Vlad_2	UchenyiS
1	не может быть	1	4
2	то же время	3	3
3	бы то ни	1	3
4	в то же	3	3
5	в самом деле	1	2
6	но даже и	1	2
7	в этом смысле	1	2
8	до сих пор	1	2
9	в этом отношении	1	2
10	в том что	9	2
11	по крайней мере	4	2
12	и то что	5	2
13	и в частности	1	2
14	в конце концов	3	2
15	такое что мы	1	1
16	что он называет	1	1
17	и в конце	1	1
18	или по крайней	2	1
19	нам представляется что	1	1
20	в своей работе	1	1
21	так или иначе	3	1
22	не в том	3	1
23	более или менее	3	1
24	как нам представляется	1	1
25	равно как и	1	1
26	в этом случае	1	1
27	на первый план	2	1
28	и в то	1	1
29	сам по себе	2	1
30	в той же	1	1
31	само по себе	2	1
32	в первую очередь	1	1
33	не было бы	1	1
34	ошибок но в	1	1
35	в последние годы	1	1
36	но это не	1	1
37	и прежде всего	1	1
38	не о чем	1	1
39	можно сказать что	1	1
40	на то что	2	1
41	что он и	1	1
42	в ней не	1	1
43	конечно не в	1	1
44	это не только	1	1
45	в данном случае	2	1
46	может быть в	1	1
47	но в то	1	1
48	не только в	2	1
49	даны не только	1	1
