N	3gram	Tiupa_Hudo_1	Komedia
1	в том что	7	9
2	для того чтобы	2	6
3	в свою очередь	2	6
4	о том что	1	4
5	в то же	5	4
6	то же время	5	4
7	к тому же	1	4
8	с одной стороны	2	3
9	то же самое	1	3
10	тем не менее	3	3
11	по отношению к	9	3
12	и в самом	1	3
13	в связи с	1	3
14	с точки зрения	3	3
15	так или иначе	3	2
16	именно потому что	1	2
17	с другой стороны	5	2
18	в известной степени	1	2
19	то ни было	1	2
20	что он не	1	2
21	в этом случае	1	2
22	состоит в том	5	2
23	в то время	1	2
24	в конечном счете	5	2
25	бы то ни	1	2
26	подобно тому как	1	1
27	таким образом что	1	1
28	себе в этом	1	1
29	в том числе	2	1
30	если говорить о	1	1
31	себе отчет в	1	1
32	и в то	1	1
33	можно сказать что	3	1
34	и не дает	1	1
35	так же точно	1	1
36	человека и его	1	1
37	имеем в виду	3	1
38	к тому что	2	1
39	как раз в	1	1
40	и не могла	1	1
41	едва ли не	1	1
42	не было и	1	1
43	к окружающему его	1	1
44	этой точки зрения	1	1
45	в отличие от	7	1
46	в настоящее время	1	1
47	более или менее	5	1
48	в основе своей	1	1
49	мы имеем в	3	1
50	том что она	1	1
51	с этой точки	1	1
52	в себе самом	1	1
53	в такое же	1	1
54	в самом начале	1	1
55	в виду что	1	1
56	а в ее	1	1
57	как бы в	1	1
58	том числе и	1	1
59	жизнь в которой	1	1
60	друг от друга	1	1
61	однако и в	1	1
62	не сводится к	5	1
63	так и не	4	1
64	как уже говорилось	1	1
65	в отношении к	1	1
66	в соответствии с	1	1
67	таким образом и	1	1
68	по крайней мере	1	1
69	и в пределах	1	1
