N	2gram	Tiupa_Teor_1	RusskieA
1	и в	18	36
2	а а	5	25
3	не только	16	22
4	том что	9	19
5	что в	9	19
6	в том	16	17
7	но и	9	16
8	так как	1	15
9	и другие	2	13
10	в этом	8	12
11	и на	1	10
12	это не	2	10
13	как и	4	10
14	как мы	1	10
15	вместе с	2	10
16	потому что	3	10
17	об этом	2	9
18	а в	13	9
19	состоит в	17	8
20	и по	2	8
21	с тем	1	8
22	у нас	2	8
23	о том	1	8
24	один из	2	8
25	из них	1	8
26	может быть	17	8
27	как это	8	8
28	что они	1	7
29	так и	10	7
30	между тем	5	7
31	что и	2	7
32	таким образом	3	6
33	при этом	12	6
34	уже не	4	6
35	в них	2	6
36	и не	13	6
37	все это	2	6
38	то что	3	6
39	а и	4	5
40	как в	5	5
41	во многих	1	5
42	как будто	2	5
43	с ними	1	5
44	как бы	5	5
45	мы имеем	7	4
46	еще не	4	4
47	во всех	1	4
48	представляет собой	9	4
49	с собой	1	4
50	входит в	1	4
51	из этих	3	4
52	в их	2	4
53	тому что	2	4
54	в русском	1	4
55	связи с	1	4
56	к тому	2	4
57	его с	1	4
58	так в	4	4
59	и что	3	4
60	и их	1	4
61	тем что	1	4
62	а с	3	4
63	и др	1	4
64	и а	4	4
65	того что	4	4
66	по существу	1	4
67	в связи	1	4
68	как уже	1	4
69	не может	4	4
70	только в	6	4
71	на каждом	1	3
72	как правило	4	3
73	своего рода	7	3
74	если в	2	3
75	в своем	4	3
76	что это	1	3
77	и те	1	3
78	на этом	1	3
79	то же	7	3
80	чаще всего	1	3
81	далеко не	2	3
82	в этих	3	3
83	точки зрения	9	3
84	таким же	1	3
85	с точки	3	3
86	тем не	3	3
87	их в	3	3
88	не менее	4	3
89	в поле	1	3
90	приводит к	5	3
91	к жизни	2	3
92	не с	3	3
93	то есть	12	3
94	а также	6	3
95	также в	1	3
96	полагая что	1	3
97	по этому	1	3
98	в качестве	24	3
99	только на	1	3
100	слова в	2	3
101	в одном	2	3
102	к ним	1	3
103	в области	4	3
104	о чем	1	3
105	так же	2	3
106	в былинах	1	3
107	в это	1	3
108	этого слова	3	3
109	и некоторые	2	3
110	и к	3	3
111	в свою	3	3
112	можно говорить	1	2
113	например в	1	2
114	между двумя	3	2
115	к другому	1	2
116	к нам	2	2
117	но она	2	2
118	что иное	1	2
119	на себя	2	2
120	иное как	1	2
121	это имеет	1	2
122	но не	9	2
123	тогда как	15	2
124	отнюдь не	3	2
125	независимо от	1	2
126	хотя и	3	2
127	и как	2	2
128	но в	9	2
129	в целом	3	2
130	все эти	2	2
131	в нашем	4	2
132	и до	1	2
133	для обозначения	1	2
134	что она	2	2
135	в нем	4	2
136	в силу	1	2
137	когда на	1	2
138	в году	1	2
139	в каждом	1	2
140	в жизни	2	2
141	и более	1	2
142	том же	1	2
143	для этого	1	2
144	она не	1	2
145	у него	1	2
146	встречаются в	1	2
147	и здесь	2	2
148	могут быть	4	2
149	и другим	1	2
150	имеет место	2	2
151	значения и	2	2
152	свою очередь	2	2
153	ни одно	1	2
154	в более	1	2
