N	4gram	Losev_Prob_4	Problema
1	в коем случае не	1	2
2	бы то ни было	1	2
3	ни в чем не	1	2
4	ни в коем случае	3	2
5	и в то же	1	2
6	и тем не менее	3	1
7	дело в том что	1	1
8	и в других областях	1	1
9	хотя они могут быть	1	1
10	мы имеем дело с	1	1
11	и с точки зрения	3	1
12	не может обойтись без	2	1
13	с ног до головы	1	1
14	ног до головы он	1	1
15	на самом же деле	2	1
16	не выходит за пределы	1	1
17	ни в какой мере	4	1
18	в то время как	2	1
19	той или иной области	1	1
20	в связи с теорией	1	1
21	не что иное как	2	1
22	не говоря уже о	1	1
23	не обходится и без	1	1
24	то что не имеет	1	1
25	то есть перестает быть	1	1
26	в том смысле что	1	1
27	не чем иным как	2	1
28	то имеют в виду	1	1
29	и т д мы	1	1
30	есть не что иное	2	1
