N	4gram	Bakhtin_fo_2	Problemy
1	в то же время	4	5
2	в той или иной	1	3
3	но в то же	1	3
4	мы уже говорили что	1	2
5	одно и то же	1	2
6	и в большинстве случаев	1	2
7	одна и та же	2	2
8	сделаны из одного куска	1	2
9	в то время как	1	2
10	в том числе и	2	1
11	проявляется прежде всего в	1	1
12	сюда же относится и	1	1
13	из уст в уста	1	1
14	что до сих пор	1	1
15	такой же характер носит	1	1
16	как мы уже говорили	1	1
17	все больше и больше	1	1
18	не только тон и	1	1
19	только тон и стиль	1	1
20	и т п в	1	1
21	в том что он	1	1
22	той или иной форме	1	1
23	на более глубокой и	1	1
