N	4gram	Bakhtin_Pr_1	Marksizm
1	бы то ни было	2	8
2	и не может быть	1	4
3	в то же время	3	3
4	на самом же деле	1	2
5	одной из важнейших проблем	1	2
6	но в то же	1	2
7	только при этом условии	1	2
8	именно в том что	1	1
9	отнюдь не следует что	1	1
10	и с точки зрения	1	1
11	психология познания должна опираться	1	1
12	и в другом направлении	1	1
13	из всего сказанного нами	1	1
14	это и есть та	1	1
15	не чем иным как	1	1
16	познания должна опираться на	1	1
17	или хотя бы только	1	1
18	не выходит за пределы	1	1
19	с точки зрения самого	2	1
