N	2gram	Berdyaev_N_1	KulturaY
1	и в	16	23
2	в том	8	22
3	не только	5	17
4	в этом	7	16
5	было бы	1	16
6	может быть	7	14
7	в области	1	14
8	в самом	1	13
9	что в	9	13
10	не менее	4	12
11	потому что	4	12
12	для того	1	12
13	вопрос о	3	11
14	том что	2	11
15	того чтобы	2	11
16	можно было	2	11
17	в его	1	11
18	а не	17	11
19	у нас	1	10
20	и не	11	10
21	еще не	3	9
22	хотя бы	2	9
23	так как	1	9
24	прежде всего	4	9
25	лишь в	6	8
26	зависимости от	1	8
27	в виду	1	8
28	уже не	2	8
29	до сих	1	8
30	сих пор	1	8
31	как на	1	8
32	как это	2	7
33	в зависимости	1	7
34	все эти	2	7
35	должно быть	4	7
36	и что	2	7
37	с другой	3	7
38	сказать что	3	7
39	говорить о	1	6
40	в силу	1	6
41	только в	1	6
42	так и	2	6
43	с тем	3	6
44	не может	16	6
45	могут быть	2	6
46	по себе	1	6
47	о том	4	6
48	что он	1	6
49	для этого	2	6
50	и есть	10	5
51	я не	2	5
52	в чем	1	5
53	хотя и	2	5
54	из этих	1	5
55	что она	2	5
56	как и	7	5
57	не значит	3	5
58	не в	6	5
59	от того	1	5
60	не могут	1	5
61	но также	1	5
62	и должно	2	5
63	тем что	1	5
64	но это	6	5
65	а в	2	5
66	того же	1	4
67	в сущности	1	4
68	как в	3	4
69	в своем	1	4
70	том случае	1	4
71	в своей	3	4
72	что такое	3	4
73	не столько	1	4
74	том чтобы	2	4
75	в ее	3	4
76	а также	1	4
77	с одной	2	4
78	что не	1	4
79	слова в	1	4
80	не случайно	1	4
81	не было	4	4
82	одной стороны	2	4
83	мы говорим	2	4
84	в той	1	4
85	то что	4	4
86	это и	2	3
87	по преимуществу	1	3
88	мы не	2	3
89	в ней	5	3
90	но не	2	3
91	то он	1	3
92	и к	5	3
93	бы сказать	1	3
94	он не	8	3
95	и с	2	3
96	но если	1	3
97	и более	1	3
98	она не	3	3
99	в то	2	3
100	не имеет	4	3
101	должна быть	3	3
102	не по	1	3
103	в каком	1	3
104	не есть	3	3
105	будет уже	2	3
106	но и	3	3
107	это не	4	3
108	и только	1	3
109	может иметь	1	3
110	уже в	1	3
111	вопроса о	1	3
112	ни в	6	3
113	то это	1	3
114	и пр	3	3
115	я хочу	1	3
116	xix века	5	3
117	когда мы	2	3
118	по существу	2	3
119	но для	2	3
120	это уже	1	3
121	к тому	3	3
122	формы и	2	3
123	мы должны	1	3
124	что вообще	1	3
125	другой стороны	2	3
126	они не	1	3
127	смысле слова	3	2
128	также что	1	2
129	и через	1	2
130	на западе	1	2
131	слишком долго	1	2
132	о формах	1	2
133	на себя	1	2
134	как я	1	2
135	нужно будет	1	2
136	быть в	2	2
137	не понимали	1	2
138	отличие от	1	2
139	за пределы	3	2
140	но в	2	2
141	а во-вторых	1	2
142	он в	1	2
143	в известном	1	2
144	в россии	3	2
145	но все	1	2
146	это конечно	1	2
147	что все	2	2
148	значение в	1	2
149	на протяжении	2	2
150	с другими	1	2
151	нельзя будет	1	2
152	в статье	1	2
153	такой же	2	2
154	и того	1	2
155	одного и	1	2
156	в этих	1	2
157	в котором	1	2
158	в отличие	1	2
159	мысли и	2	2
160	своего рода	1	2
161	нас к	1	2
162	к такой	1	2
163	по своему	4	2
164	в русском	2	2
165	вопрос этот	1	2
166	можно сказать	1	2
167	известном смысле	1	2
168	вопрос об	1	2
169	все они	2	2
170	конечно не	3	2
171	этой системы	1	2
172	перейти к	3	2
173	говорим о	1	2
174	не означает	3	2
175	что мы	1	2
176	эти слова	1	2
177	вместе с	2	2
178	так же	2	2
179	но сам	1	2
180	тому как	3	2
181	быть не	1	2
182	как например	1	2
183	только для	1	2
184	все это	5	2
185	к вопросу	1	2
186	чтобы понять	1	2
187	не с	1	2
188	не знает	6	2
189	равно как	2	2
190	во всяком	1	2
191	том числе	1	2
192	нужно помнить	1	1
193	же как	2	1
194	зависимость от	1	1
195	не имеют	2	1
196	и такое	1	1
197	был и	1	1
198	к созданию	2	1
199	из всех	1	1
200	во времени	1	1
201	на место	1	1
202	установить что	1	1
203	надеяться что	1	1
204	время как	2	1
205	но она	2	1
206	связана с	2	1
207	внешних формах	1	1
208	как не	8	1
209	же так	1	1
210	есть вместе	1	1
211	реакцией против	2	1
212	думаю что	1	1
213	и на	2	1
214	стоят на	2	1
215	значение и	1	1
216	менее всего	1	1
217	нет и	2	1
218	с этим	2	1
219	помнить что	2	1
220	говорит что	1	1
221	принято было	1	1
222	у в	1	1
223	в каком-то	1	1
224	войне и	1	1
225	в которой	1	1
226	культуры и	7	1
227	это есть	7	1
228	думать что	2	1
229	что ничего	1	1
230	все слова	1	1
231	не могла	2	1
232	можно лишь	1	1
233	духовной культуры	1	1
234	не к	2	1
235	переходит от	1	1
236	приобщиться к	2	1
237	смысле как	1	1
238	в основу	1	1
239	смысле в	1	1
240	не будет	7	1
241	культуры но	1	1
242	все решается	1	1
243	и мы	4	1
244	он есть	1	1
245	этом смысле	2	1
246	заинтересована в	1	1
247	которая в	1	1
248	культуры есть	1	1
249	о словах	1	1
250	этого не	1	1
251	не всегда	1	1
252	для чего	2	1
253	рода и	1	1
254	этом я	1	1
255	во время	1	1
256	есть неотъемлемое	1	1
257	она сама	1	1
258	знаний о	1	1
259	в такой	1	1
260	мы конечно	1	1
261	всяком случае	1	1
262	бы к	1	1
263	и процесс	1	1
264	значение для	1	1
265	мир и	2	1
266	творчества и	1	1
267	связано с	1	1
268	есть еще	1	1
269	не должно	1	1
270	не должна	1	1
271	этому учит	1	1
272	дня и	3	1
273	есть прежде	1	1
274	весь смысл	1	1
275	в основе	3	1
276	говорят об	1	1
277	этого конечно	1	1
278	нам предстоит	1	1
279	в формы	1	1
280	так много	1	1
281	о природе	1	1
282	приближаемся к	2	1
283	а во	1	1
284	они являются	1	1
285	мыслей и	1	1
286	показал что	1	1
287	по своей	1	1
288	есть такой	1	1
289	во всем	1	1
290	и его	1	1
291	для другого	1	1
292	как будто	2	1
293	к таким	1	1
294	считаться и	1	1
295	должны быть	1	1
296	понять что	1	1
297	в наши	3	1
298	в одну	2	1
299	отказаться от	1	1
300	на это	1	1
301	наши дни	3	1
302	легче чем	1	1
303	свободно и	1	1
304	характер и	1	1
305	приводит к	1	1
306	слова а	1	1
307	природе своей	1	1
308	никогда не	6	1
309	переход к	2	1
310	по природе	1	1
311	мы в	1	1
312	нас и	1	1
313	это должно	1	1
314	которому не	2	1
315	вот почему	2	1
316	противоположного характера	1	1
317	и научной	1	1
318	к нему	1	1
319	но он	1	1
320	над этой	1	1
321	нуждается в	1	1
322	его национального	1	1
323	все время	2	1
324	но тут	1	1
325	время когда	1	1
326	речи о	1	1
327	в себе	2	1
328	условимся в	1	1
329	наше время	4	1
330	есть вопрос	1	1
331	который в	2	1
332	же и	1	1
333	вернуться к	2	1
334	свидетельствует о	1	1
335	раньше чем	1	1
336	и их	1	1
337	говорим что	1	1
338	не для	1	1
339	то время	1	1
340	они будут	1	1
341	должно будет	1	1
342	возможно что	1	1
343	факт в	1	1
344	выходит за	1	1
345	в каких	1	1
346	труд и	1	1
347	во внешней	1	1
348	обратиться к	1	1
349	превращается в	1	1
350	а на	1	1
351	зависит от	2	1
352	есть лишь	4	1
353	а по	1	1
354	далеко еще	1	1
355	до этого	1	1
356	и потому	4	1
357	не знал	2	1
358	мы опять	1	1
359	к жизни	3	1
360	центр тяжести	2	1
361	наряду с	3	1
362	и газеты	1	1
363	в эту	1	1
364	и было	2	1
