N	3gram	Bakhtin_Fr_1	UchenyiS
1	не может быть	1	4
2	по нашему мнению	1	3
3	с другой стороны	1	3
4	то же время	1	3
5	в то же	1	3
6	а между тем	1	2
7	не могут быть	1	2
8	в самом деле	1	2
9	до сих пор	4	2
10	в этом отношении	3	2
11	в том что	6	2
12	и в частности	2	2
13	тех или иных	1	2
14	но прежде всего	1	1
15	для него не	1	1
16	и эта позиция	1	1
17	оно все же	1	1
18	они в своей	1	1
19	в большей или	4	1
20	или меньшей степени	4	1
21	имеем в виду	1	1
22	большей или меньшей	4	1
23	в значительной мере	2	1
24	и не только	1	1
25	на первый план	1	1
26	идет не о	1	1
27	между тем в	1	1
28	не входит в	2	1
29	никогда не может	1	1
30	он знает только	1	1
31	литературы и искусства	3	1
32	но это не	1	1
33	и прежде всего	3	1
34	можно сказать что	1	1
35	мы имеем в	1	1
36	в частности с	1	1
37	и у других	2	1
38	то что было	1	1
39	все это в	1	1
40	друг с другом	1	1
41	художественное творчество и	1	1
42	но в то	1	1
43	не только в	1	1
44	с одной стороны	2	1
