N	3gram	Tiupa_Narr_1	Istorich
1	с другой стороны	4	8
2	с одной стороны	7	7
3	о том что	6	4
4	в связи с	2	4
5	но все же	4	4
6	тем не менее	3	4
7	как мы увидим	1	3
8	так же как	2	3
9	не может быть	5	3
10	по отношению к	6	2
11	же как и	1	2
12	он не может	1	2
13	до сих пор	1	2
14	в данном случае	4	2
15	в том чтобы	1	2
16	не только в	2	2
17	но это не	1	2
18	друг с другом	1	2
19	в том что	8	2
20	как и в	1	2
21	по себе не	1	1
22	иметь в виду	1	1
23	а не в	2	1
24	на самом деле	1	1
25	что один из	1	1
26	в том числе	6	1
27	в соответствии с	1	1
28	уже говорилось выше	1	1
29	не мешает ему	1	1
30	с точки зрения	2	1
31	что он уже	1	1
32	сам по себе	1	1
33	в отличие от	5	1
34	как таковое оно	1	1
35	что не только	1	1
36	том числе и	4	1
37	то же время	3	1
38	точно так же	2	1
39	а иногда и	1	1
40	с этой точки	1	1
41	в ней не	1	1
42	обращает на себя	3	1
43	состоит в том	3	1
44	что он видит	1	1
45	то что он	1	1
46	она все же	1	1
47	этой точки зрения	2	1
48	но уже в	1	1
49	они и не	1	1
50	в свою очередь	3	1
51	само по себе	1	1
52	и тем самым	3	1
53	и не могло	1	1
54	одним из которых	1	1
55	в самом деле	1	1
56	в мировом фольклоре	1	1
57	подобно тому как	2	1
58	можно сказать что	4	1
59	лет тому назад	1	1
60	уже никто не	1	1
61	совершенно очевидно что	1	1
62	в то же	3	1
63	на том свете	2	1
64	в специальных работах	1	1
65	а еще раньше	1	1
66	здесь как и	1	1
67	на другой день	2	1
68	как мы видели	1	1
