N	3gram	Vinokur_Vv_1	FransuaR
1	как мы уже	1	6
2	о том что	12	5
3	то же время	5	5
4	в то же	5	5
5	в другом месте	2	4
6	в самом деле	5	4
7	в средние века	1	4
8	с одной стороны	4	4
9	все то что	1	4
10	большей или меньшей	2	3
11	в этом отношении	3	3
12	в большей или	1	3
13	в первом случае	2	3
14	о котором мы	1	3
15	до сих пор	5	3
16	во всех его	1	3
17	сказать что в	1	2
18	не только с	1	2
19	и в особенности	4	2
20	никак не может	1	2
21	одной стороны и	3	2
22	с точки зрения	2	2
23	но уже в	1	2
24	и то что	2	2
25	или меньшей степени	1	2
26	в данном случае	4	2
27	а также и	2	2
28	как один из	1	2
29	но и в	1	2
30	одним из самых	1	2
31	с другой стороны	5	2
32	нужно сказать что	1	2
33	в том что	12	2
34	и прежде всего	1	2
35	именно в них	1	2
36	и того же	2	1
37	а потому что	1	1
38	до наших дней	1	1
39	и говорить о	1	1
40	по отношению к	4	1
41	в обоих случаях	1	1
42	того чтобы говорить	1	1
43	в чем же	3	1
44	том что в	1	1
45	дело в том	2	1
46	всегда связана с	1	1
47	и как раз	1	1
48	в настоящее время	1	1
49	что же касается	2	1
50	одним из существенных	1	1
51	целом ряде других	1	1
52	как это было	1	1
53	в лучшем случае	1	1
54	именно в этом	3	1
55	в одном отношении	1	1
56	в строгом смысле	3	1
57	у него в	1	1
58	а так как	2	1
59	из того что	1	1
60	совершенно ясно что	1	1
61	особое отношение к	1	1
62	он должен быть	1	1
63	на этот вопрос	3	1
64	но если он	1	1
65	и др в	1	1
66	каждым новым поколением	1	1
67	в значительной мере	1	1
68	и в целом	1	1
69	и что это	1	1
70	вместе с тем	3	1
71	сам по себе	1	1
72	только то что	1	1
73	то все это	1	1
74	как раз в	1	1
75	но в то	3	1
76	в его время	1	1
77	в конце концов	2	1
78	смысле этого слова	2	1
79	в начале этой	1	1
80	так чтобы в	1	1
81	в нем не	1	1
82	в связи с	2	1
83	как он сам	1	1
84	в разной степени	1	1
85	в целом ряде	2	1
86	с этой целью	1	1
87	для того чтобы	21	1
88	не может быть	8	1
89	и до наших	1	1
90	не могли не	1	1
91	в широком смысле	7	1
92	в зависимости от	1	1
93	в значительной степени	1	1
94	заключается в том	3	1
95	всего того что	1	1
96	после того как	2	1
97	с каждым новым	1	1
98	не только в	4	1
99	той или иной	1	1
100	но все же	3	1
101	можно сказать что	3	1
102	в нем есть	1	1
103	как мы видим	1	1
104	одного и того	2	1
105	в каждом из	1	1
106	литературы в широком	1	1
107	в предисловии к	1	1
108	в сущности лишь	1	1
109	а именно в	1	1
110	нечего и говорить	1	1
111	в большей степени	2	1
112	и до нас	1	1
