N	2gram	Losev_Dial_1	Tvorches
1	и в	18	21
2	как бы	11	17
3	в то	6	15
4	то же	10	13
5	в его	3	13
6	то есть	1	12
7	как и	2	12
8	же время	4	12
9	что в	13	12
10	том что	9	11
11	все это	11	10
12	как в	2	8
13	он не	3	8
14	то что	13	8
15	но в	6	7
16	не только	13	7
17	при этом	1	7
18	тем самым	1	7
19	у него	1	7
20	и не	30	7
21	в том	9	7
22	в этом	12	6
23	в котором	4	6
24	не менее	2	6
25	и его	1	6
26	по природе	1	6
27	он сам	5	6
28	о том	4	6
29	и все	3	6
30	что он	11	6
31	для него	2	6
32	а в	5	6
33	жизни в	1	6
34	отнюдь не	9	5
35	все же	5	5
36	в этой	1	5
37	таким образом	1	5
38	вовсе не	7	5
39	потому что	14	5
40	как будто	1	5
41	только в	3	5
42	может быть	17	5
43	а не	14	5
44	но это	8	5
45	это уже	1	5
46	хотя бы	6	5
47	в своем	5	4
48	и как	7	4
49	та же	3	4
50	это не	9	4
51	в своей	2	4
52	мысли и	3	4
53	в мире	2	4
54	времени и	1	4
55	прежде всего	10	4
56	не может	12	4
57	и от	2	4
58	один из	3	4
59	я и	1	3
60	и т	21	3
61	на самом	3	3
62	это и	4	3
63	той же	1	3
64	я не	5	3
65	не был	2	3
66	что я	3	3
67	со всеми	1	3
68	хотя и	4	3
69	в самом	3	3
70	тут и	2	3
71	в нем	16	3
72	на земле	2	3
73	и по	1	3
74	в каждом	2	3
75	что все	1	3
76	и с	5	3
77	и других	1	3
78	далеко не	1	3
79	в их	3	3
80	место в	1	3
81	представление о	1	3
82	даже в	3	3
83	дело не	2	3
84	самого начала	1	3
85	дело в	1	3
86	никогда не	9	3
87	воли и	1	3
88	вот почему	1	3
89	стремится к	2	3
90	и другие	1	3
91	с самого	1	3
92	в дальнейшем	5	3
93	с ним	6	3
94	добра и	1	3
95	в ту	1	3
96	того что	2	3
97	уже не	2	3
98	уже в	1	3
99	в виде	2	3
100	говорит о	5	3
101	не так	1	3
102	так как	11	3
103	человек как	1	3
104	в которой	1	3
105	и даже	13	3
106	с другой	6	3
107	но и	7	3
108	что человек	2	3
109	ни на	6	3
110	но не	4	3
111	не существует	7	3
112	просто не	2	3
113	это как	1	3
114	но если	5	3
115	жизни и	3	3
116	так же	4	3
117	самом деле	3	2
118	на деле	2	2
119	по преимуществу	1	2
120	мировоззрения и	1	2
121	действительности и	3	2
122	а как	1	2
123	есть не	3	2
124	но она	3	2
125	кто же	1	2
126	и он	5	2
127	в ней	3	2
128	не нужно	2	2
129	в чем	6	2
130	не то	6	2
131	если в	3	2
132	человек может	1	2
133	же с	1	2
134	что как	2	2
135	когда он	1	2
136	говорит что	3	2
137	и наконец	1	2
138	то в	7	2
139	но его	1	2
140	и внутреннего	2	2
141	в себе	11	2
142	что она	7	2
143	тем не	1	2
144	же самая	1	2
145	у пушкина	4	2
146	здесь мы	1	2
147	не будет	1	2
148	о котором	1	2
149	а по	1	2
150	и тем	1	2
151	в данном	3	2
152	такой же	2	2
153	в этих	5	2
