N	3gram	Ircho_Kome_3	Sovremen
1	с точки зрения	3	5
2	в зависимости от	1	4
3	с самого начала	4	3
4	тем не менее	3	2
5	друг с другом	1	2
6	во всяком случае	3	2
7	в отличие от	1	2
8	в свою очередь	6	2
9	так как он	1	2
10	в настоящее время	1	2
11	то же самое	3	2
12	таким образом из	1	1
13	и в этом	1	1
14	одной стороны и	1	1
15	по крайней мере	1	1
16	в связи с	3	1
17	по отношению к	3	1
18	равно как и	1	1
19	и до сих	1	1
20	в свое время	1	1
21	в этом случае	2	1
22	до сих пор	9	1
23	вместе с ним	2	1
24	то же время	4	1
25	и в то	1	1
26	нечто совсем иное	1	1
27	бы то ни	2	1
28	в конечном счете	2	1
29	и не может	1	1
30	в самом деле	6	1
31	к одному и	1	1
32	но все же	2	1
33	может быть только	1	1
34	в то же	4	1
35	как и вся	1	1
36	все это делает	1	1
37	в том что	9	1
38	в обоих случаях	1	1
39	то ни было	2	1
40	же самое что	1	1
41	с одной стороны	3	1
42	на этот раз	2	1
