N	3gram	Medvedev_S_1	Formalny
1	в связи с	1	10
2	и в этом	1	5
3	то же время	1	5
4	в то же	1	5
5	во всяком случае	1	5
6	и в то	1	3
7	не в том	2	3
8	на первый план	1	2
9	в конце концов	2	2
10	в том что	2	2
11	наука о литературе	1	1
12	в настоящее время	1	1
13	с одной стороны	1	1
14	в противном случае	1	1
15	по крайней мере	1	1
16	в этой области	1	1
17	и должно было	1	1
18	это и есть	1	1
19	чуть ли не	1	1
20	именно в том	1	1
21	не было бы	1	1
22	только то что	1	1
23	ровно ничего не	1	1
24	науки о литературе	1	1
25	истории литературы как	1	1
26	этом не было	1	1
27	сама по себе	1	1
28	истории литературы и	1	1
