N	2gram	Bakhtin_Pr_5	Myslijsy
1	то есть	16	34
2	потому что	8	33
3	то что	10	29
4	может быть	14	26
5	таким образом	7	24
6	в этом	14	23
7	и в	35	23
8	в том	5	23
9	в слове	6	22
10	и не	27	18
11	что в	6	17
12	при этом	2	15
13	только в	6	15
14	в себе	5	14
15	как и	18	14
16	того что	3	14
17	то же	15	14
18	так как	4	14
19	если бы	1	13
20	а не	4	12
21	том что	3	12
22	не может	18	11
23	не в	10	11
24	что я	13	11
25	по себе	4	11
26	но и	14	11
27	что слово	1	10
28	по отношению	6	10
29	для меня	1	10
30	и потому	1	10
31	тем что	4	10
32	мы можем	2	10
33	не только	10	10
34	между тем	4	9
35	о том	2	8
36	отношению к	7	8
37	мы не	1	8
38	заключает в	1	8
39	было бы	3	8
40	но в	19	8
41	то это	1	8
42	сказать что	3	8
43	в своем	2	8
44	вовсе не	7	7
45	что это	4	7
46	в нем	16	7
47	с тем	3	7
48	с этим	3	7
49	это не	3	7
50	мысли и	1	7
51	когда я	5	7
52	как в	5	7
53	что такое	1	7
54	и что	6	7
55	этого слова	5	7
56	что и	3	7
57	в которой	2	6
58	когда мы	1	6
59	так и	8	6
60	независимо от	1	6
61	слово с	6	6
62	вместе с	2	6
63	для того	1	6
64	что не	4	6
65	и к	12	6
66	известно что	1	6
67	мысль о	1	6
68	во всяком	4	5
69	говорить о	3	5
70	крайней мере	1	5
71	не менее	2	5
72	есть в	1	5
73	к нему	13	5
74	с ним	7	5
75	таким же	1	5
76	бы и	2	5
77	должно быть	3	5
78	а в	7	5
79	что же	7	5
80	не то	1	5
81	для него	14	5
82	хотя и	2	5
83	в его	21	5
84	этом случае	1	5
85	так что	5	5
86	и мы	1	5
87	уже в	3	5
88	образом в	1	5
89	по крайней	1	5
90	так сказать	2	5
91	находится в	1	5
92	слова и	11	5
93	тем более	1	5
94	есть нечто	1	5
95	все это	14	5
96	и то	5	5
97	есть только	2	5
98	как бы	31	5
99	со своим	2	4
100	мысли но	1	4
101	и с	12	4
102	так же	7	4
103	это слово	4	4
104	каждый раз	1	4
105	и все	15	4
106	сих пор	1	4
107	точки зрения	7	4
108	хотя бы	2	4
109	до сих	1	4
110	на котором	1	4
111	то и	1	4
112	того чтобы	1	4
113	это последнее	1	4
114	а между	3	4
115	в одном	6	4
116	есть не	1	4
117	между ними	1	4
118	в той	4	4
119	могли бы	1	4
120	на вопрос	2	4
121	можно сказать	1	4
122	с другими	2	4
123	в то	11	4
124	да и	5	4
125	тем не	1	4
126	и может	1	4
127	что все	2	4
128	сам по	2	4
129	в котором	3	4
130	и та	2	4
131	же самое	1	4
132	его в	4	4
133	есть уже	1	4
134	слов в	3	4
135	что он	24	4
136	слова то	1	4
137	только на	4	4
138	слово в	2	4
139	а именно	1	4
140	если б	3	4
141	и более	1	4
142	в данном	1	4
143	все эти	3	3
144	и из	1	3
145	связь между	1	3
146	на его	4	3
147	еще до	2	3
148	на себе	1	3
149	еще не	7	3
150	же время	10	3
151	только не	1	3
152	связи с	1	3
153	кроме того	1	3
154	и вместе	1	3
155	мысль что	1	3
156	и так	4	3
157	было в	2	3
158	там где	7	3
159	самом деле	10	3
160	бы не	2	3
161	так в	2	3
162	самого слова	1	3
163	то в	2	3
164	слова не	2	3
165	те же	2	3
166	слово и	2	3
167	и только	1	3
168	языком и	1	3
169	но уже	2	3
170	что человек	1	3
171	например в	2	3
172	к слову	2	3
173	на самом	9	3
174	только что	3	3
175	и других	1	3
176	в этих	2	3
177	с точки	2	3
178	ко всем	1	3
179	что у	6	3
180	и если	1	3
181	в нее	1	3
182	по которому	2	3
183	никогда не	4	3
184	всяком случае	4	3
