N	3gram	Vinokur_Ku_2	Poddanst
1	в то же	3	7
2	то же время	3	7
3	не только в	4	4
4	в том что	10	4
5	с точки зрения	8	3
6	сами по себе	1	3
7	с одной стороны	1	3
8	и не только	1	2
9	заключается в том	1	2
10	том что в	1	1
11	чуть ли не	1	1
12	собою как бы	1	1
13	т д не	1	1
14	в настоящее время	1	1
15	в этом смысле	5	1
16	возможно также что	1	1
17	эта не только	1	1
18	тот или иной	1	1
19	хотя бы и	2	1
20	можно говорить о	1	1
21	в отличие от	2	1
22	не было бы	1	1
23	совершенно ясно что	1	1
24	то главным образом	1	1
25	тех пор пока	1	1
26	вместе с тем	2	1
27	и то что	1	1
28	и в частности	1	1
29	не в области	1	1
30	все это в	1	1
31	так же как	2	1
32	в противоречии с	1	1
33	другой стороны есть	1	1
34	такова же судьба	1	1
35	по сравнению с	1	1
36	не в том	1	1
37	во всяком случае	5	1
38	с другой стороны	7	1
39	в каком смысле	1	1
40	вслед за тем	1	1
41	не может быть	4	1
42	до тех пор	1	1
43	почти исключительно на	1	1
44	но также и	2	1
45	само по себе	5	1
46	мы знаем что	2	1
47	не более как	1	1
48	в большинстве случаев	1	1
49	эти могут быть	1	1
50	как оно есть	1	1
51	в известном смысле	1	1
52	для того чтобы	8	1
53	и т д	14	1
