N	2gram	Tiupa_Lite_3	NovoeSre
1	а не	12	17
2	и в	16	16
3	не может	8	16
4	во имя	1	15
5	и не	22	11
6	и есть	1	10
7	что в	2	9
8	в том	12	8
9	жизни и	3	8
10	он не	1	8
11	в этом	14	7
12	может быть	12	7
13	как и	5	7
14	возврат к	1	6
15	с его	6	6
16	от бога	1	6
17	не в	10	6
18	общественной жизни	1	6
19	никогда не	4	6
20	лишь в	5	6
21	но это	1	6
22	не знает	2	6
23	с ее	3	5
24	мы живем	1	5
25	в ней	1	5
26	культуры в	1	5
27	и к	3	5
28	не только	14	5
29	в жизни	8	5
30	xix века	2	5
31	все это	1	5
32	в нем	2	5
33	быть может	2	4
34	о том	6	4
35	и xx	1	4
36	жизни к	2	4
37	xix и	1	4
38	мировой войны	2	4
39	в них	1	4
40	то что	12	4
41	это не	5	4
42	прежде всего	3	4
43	не было	1	4
44	должно быть	4	4
45	и потому	2	4
46	воли к	1	4
47	не менее	2	4
48	и для	4	4
49	не имеет	1	4
50	и все	1	4
51	потому что	3	4
52	с другой	6	3
53	в ее	5	3
54	есть конец	1	3
55	истории это	1	3
56	вопрос о	2	3
57	еще не	6	3
58	во всех	2	3
59	за пределы	1	3
60	в истории	1	3
61	как в	5	3
62	конечно не	1	3
63	подобно тому	2	3
64	в мире	16	3
65	но и	14	3
66	не есть	1	3
67	к власти	2	3
68	не означает	2	3
69	с тем	1	3
70	в своей	7	3
71	к жизни	2	3
72	тому как	3	3
73	в россии	1	3
74	она не	1	3
75	что такое	1	3
76	революции и	1	3
77	жизни не	2	3
78	в основе	5	3
79	к ее	1	3
80	жизни в	4	3
81	к тому	6	3
82	сказать что	1	3
83	более не	1	2
84	не человек	1	2
85	это и	1	2
86	так и	9	2
87	времени и	1	2
88	мира и	2	2
89	и с	2	2
90	для этого	1	2
91	мира а	2	2
92	я не	2	2
93	жизни как	2	2
94	и на	2	2
95	быть в	1	2
96	времени в	1	2
97	на протяжении	1	2
98	но не	4	2
99	к богу	1	2
100	все время	3	2
101	в центре	1	2
102	с этим	1	2
103	ни к	3	2
104	хотя и	4	2
105	но в	3	2
106	духа в	1	2
107	который в	1	2
108	в обществе	1	2
109	с одной	4	2
110	себя в	7	2
111	есть в	1	2
112	в себе	6	2
113	уже не	3	2
114	не к	1	2
115	том чтобы	2	2
116	приобщиться к	1	2
117	у него	1	2
118	нет и	1	2
119	и даже	2	2
120	на уровне	1	2
121	и т.п	6	2
122	бытия в	2	2
123	в природе	4	2
124	личность в	1	2
125	к более	1	2
126	права на	1	2
127	и было	1	2
128	том что	8	2
129	вместе с	5	2
130	так же	2	2
131	место в	4	2
132	мысли и	1	2
133	одной стороны	4	2
134	такого рода	10	2
135	другой стороны	2	2
136	по существу	4	2
137	ни одна	1	2
138	как будто	4	2
139	возвращается к	1	2
140	как это	3	2
141	в то	9	2
142	мысли в	1	2
143	того чтобы	2	2
144	жизнью в	3	2
145	и от	1	2
146	самой жизни	1	2
147	духовного и	1	2
148	хотя бы	1	2
149	все они	2	2
150	познания и	1	2
151	а в	5	2
152	в будущем	1	2
153	когда мы	1	2
154	свободы и	2	2
155	сама жизнь	1	2
156	от этой	1	1
157	обращена к	1	1
158	зависимость от	1	1
159	людей в	1	1
160	для себя	2	1
161	сама себя	1	1
162	перед лицом	4	1
163	чтобы быть	1	1
164	по преимуществу	1	1
165	и до	1	1
166	культуры на	1	1
167	природе своей	1	1
168	к теургии	1	1
169	с собой	1	1
170	на нее	1	1
171	мы уже	1	1
172	не с	2	1
173	века как	1	1
174	еще в	3	1
175	во внешнюю	1	1
176	и совсем	1	1
177	можно сказать	2	1
178	говорить о	1	1
179	возможен лишь	1	1
180	на себя	2	1
181	эпохи в	1	1
182	как я	1	1
183	то это	2	1
184	в виду	1	1
185	власти в	1	1
186	вождя и	1	1
187	в xix	1	1
188	себя а	1	1
189	в чем	1	1
190	не могу	2	1
191	само существование	1	1
192	нет у	1	1
193	партии и	1	1
194	своего рода	10	1
195	к нему	1	1
196	переходит в	1	1
197	по небу	1	1
198	черты и	1	1
199	в его	6	1
200	в эти	1	1
201	нужно быть	1	1
202	себе и	1	1
203	отличие от	5	1
204	и только	2	1
205	значение для	1	1
206	и духовной	1	1
207	народов и	1	1
208	и она	1	1
209	в значительной	1	1
210	в своем	1	1
211	как например	2	1
212	жизни его	1	1
213	мира тогда	1	1
214	новый мир	1	1
215	человека в	2	1
216	что он	5	1
217	особое место	2	1
218	только в	7	1
219	во всем	1	1
220	по своей	3	1
221	в этот	1	1
222	в самом	3	1
223	и изнутри	1	1
224	быть готовым	1	1
225	он в	2	1
226	своей основе	1	1
227	и жизни	3	1
228	бога в	1	1
229	о свободе	1	1
230	этой системе	1	1
231	для всех	1	1
232	к идее	2	1
233	и у	1	1
234	уже в	1	1
235	духовной культуры	1	1
236	существу своему	1	1
237	человеческого духа	3	1
238	свидетельствует о	1	1
239	вообще не	1	1
240	из них	4	1
241	она становится	1	1
242	к своим	2	1
243	все еще	3	1
244	для того	2	1
245	истории которые	1	1
246	и их	1	1
247	века не	1	1
248	нуждается в	1	1
249	жизнью и	1	1
250	в конце	2	1
251	друг друга	1	1
252	бытия и	1	1
