N	2gram	Ircho_Kome_3	Problema
1	в его	8	43
2	и не	21	42
3	и в	22	38
4	не может	3	27
5	может быть	6	26
6	как бы	3	22
7	по отношению	5	21
8	отнюдь не	4	19
9	отношению к	3	19
10	и с	4	17
11	и его	6	16
12	в этом	8	15
13	в нем	3	15
14	и т	4	14
15	только в	1	13
16	т п	4	13
17	прежде всего	5	13
18	независимо от	1	13
19	но не	1	12
20	за пределы	2	12
21	во всех	2	11
22	в области	2	11
23	ни в	10	11
24	и для	4	11
25	не входит	1	10
26	отношение к	5	10
27	таким образом	12	10
28	в их	2	10
29	к нему	5	10
30	не только	5	9
31	не имеет	3	9
32	его в	8	9
33	но и	4	9
34	и как	1	8
35	было бы	3	8
36	точки зрения	4	8
37	место в	1	8
38	в том	12	8
39	то что	4	8
40	еще не	6	7
41	в самом	9	7
42	как и	3	7
43	не в	4	7
44	как мы	2	7
45	с другой	4	7
46	между тем	2	7
47	с помощью	4	7
48	совершенно не	2	7
49	в своей	5	7
50	что в	5	7
51	отношения к	2	6
52	самом деле	6	6
53	и наконец	1	6
54	в пределах	2	6
55	не к	1	6
56	не всегда	1	6
57	с точки	3	6
58	и этим	3	6
59	ничего не	3	6
60	дело с	3	6
61	мы можем	3	6
62	все же	4	6
63	а в	7	6
64	только как	2	6
65	тем как	1	5
66	отличие от	2	5
67	в своем	8	5
68	все эти	1	5
69	при этом	7	5
70	то же	7	5
71	это не	2	5
72	в них	3	5
73	далеко не	3	5
74	в отличие	1	5
75	так и	4	5
76	в основе	2	5
77	и о	2	5
78	никогда не	3	5
79	с ним	5	5
80	конечно не	3	5
81	в большинстве	1	5
82	не на	1	5
83	а не	4	5
84	могут быть	1	5
85	быть только	1	5
86	формы и	1	5
87	все они	1	5
88	в виду	2	4
89	в ней	4	4
90	конечном счете	2	4
91	относится к	1	4
92	как в	2	4
93	но в	5	4
94	в нашем	1	4
95	в себе	4	4
96	не менее	5	4
97	в то	6	4
98	известной степени	2	4
99	здесь не	2	4
100	в ее	3	4
101	можно было	2	4
102	не с	2	4
103	о том	8	4
104	в конечном	2	4
105	в других	3	4
106	и только	1	4
107	что не	3	4
108	и потому	1	4
109	себя самого	1	4
110	хотя бы	4	4
111	между ними	2	4
112	сказать что	1	4
113	другой стороны	2	4
114	например в	1	3
115	едва ли	7	3
116	особенно часто	1	3
117	говорить о	3	3
118	на них	3	3
119	бы то	2	3
120	сказать и	1	3
121	нет и	4	3
122	и к	3	3
123	в целом	3	3
124	он не	5	3
125	то ни	3	3
126	в мире	2	3
127	а как	2	3
128	с другими	2	3
129	и тем	1	3
130	в слове	1	3
131	несмотря на	4	3
132	том что	13	3
133	тем не	3	3
134	на него	4	3
135	как его	1	3
136	же время	5	3
137	все то	1	3
138	как только	1	3
139	и это	2	3
140	хотя и	5	3
141	и от	1	3
142	приводит к	3	3
143	ясно что	6	3
144	мы в	1	3
145	если бы	8	3
146	основе своей	1	3
147	на ее	3	3
148	одной из	3	3
149	с одной	3	3
150	со всеми	1	3
151	в известной	2	3
152	и даже	3	3
153	себя и	2	3
154	одной стороны	3	3
155	на фоне	1	3
156	и на	2	3
157	в тех	1	3
158	да и	1	3
159	все это	5	3
160	не является	4	3
161	и все	2	3
162	ни было	2	3
163	не знает	3	3
164	в таком	2	3
165	все что	3	3
166	они не	1	3
167	в котором	2	2
168	его не	2	2
169	мы имеем	1	2
170	ничего нет	1	2
171	я не	1	2
172	и он	2	2
173	первый план	1	2
174	столь же	3	2
175	со словами	1	2
176	в чем	1	2
177	с его	3	2
178	но как	1	2
179	в истории	1	2
180	как к	1	2
181	и у	1	2
182	бы не	2	2
183	и те	1	2
184	на то	3	2
185	а к	1	2
186	он должен	1	2
187	на этом	1	2
188	человека в	2	2
189	в каждом	1	2
190	здесь мы	1	2
191	и других	1	2
192	на первый	1	2
193	не его	1	2
194	войти в	1	2
195	том же	1	2
196	и вся	1	2
197	что эта	2	2
198	она не	2	2
199	того чтобы	6	2
200	и весь	1	2
201	положение вещей	2	2
202	во всем	1	2
203	связи с	5	2
204	следует что	3	2
205	этом отношении	2	2
206	представляется нам	1	2
207	к себе	5	2
208	не могут	2	2
209	же самое	3	2
210	слова с	1	2
211	для того	6	2
212	должен быть	2	2
213	что все	1	2
214	можно сделать	1	2
215	в себя	1	2
216	она только	1	2
217	особенно в	1	2
218	здесь нет	4	2
219	том как	3	2
220	является конечно	2	2
221	и здесь	4	2
222	в другом	2	2
223	и что	6	2
224	делает возможным	1	2
225	от них	1	2
226	и во	2	2
227	этот момент	1	2
228	в лучшем	1	2
229	в двух	3	2
230	нуждается в	2	2
231	что он	8	2
232	в какой	3	2
233	и ее	2	2
234	события и	1	2
235	в нашей	1	2
236	в начале	3	2
237	не дает	4	2
238	что и	8	2
239	вовсе не	4	2
240	в некоторых	1	2
241	тем что	5	2
242	чем в	3	2
243	следовательно не	1	2
244	не было	2	2
245	в связи	4	2
246	именно поэтому	1	2
247	человек в	1	2
248	в частности	3	2
249	как это	5	2
250	из которых	2	2
251	к своему	2	2
252	какой мере	2	2
253	по существу	2	2
254	для понимания	2	2
255	зрения самого	1	2
256	можно сказать	1	2
257	это касается	1	2
258	или в	1	2
259	о котором	1	2
260	ибо в	1	2
261	ни к	1	2
262	в этих	1	2
263	от ее	1	2
264	в свою	7	2
265	была бы	1	2
266	к его	1	2
267	не нуждается	1	2
268	в своих	2	2
269	по поводу	1	2
270	и эта	1	2
271	к этому	6	2
272	человека и	2	1
273	а из	1	1
274	от своей	2	1
275	в первом	1	1
276	к другому	1	1
277	из его	2	1
278	из всех	2	1
279	который в	3	1
280	вопрос о	1	1
281	свою любовь	1	1
282	время как	2	1
283	на себя	4	1
284	здесь прежде	1	1
285	как впрочем	1	1
286	такое же	2	1
287	стороны его	1	1
288	ней как	1	1
289	ли кто-нибудь	1	1
290	по своему	3	1
291	и высказать	1	1
292	конкретно и	1	1
293	в новом	1	1
294	себе и	1	1
295	которые не	1	1
296	идет о	3	1
297	стороны и	2	1
298	ней в	2	1
299	все остальные	2	1
300	им в	1	1
301	могли бы	1	1
302	целый ряд	2	1
303	как уже	1	1
304	что по	1	1
305	было только	1	1
306	может послужить	1	1
307	следует остановиться	1	1
308	то в	1	1
309	от чего	1	1
310	не приходится	2	1
311	и я	2	1
312	то время	2	1
313	цитат и	2	1
314	его а	2	1
315	которые в	1	1
316	в этой	3	1
317	но он	1	1
318	только один	2	1
319	как он	3	1
320	если он	2	1
321	не могла	3	1
322	и если	2	1
323	т д	1	1
324	которой не	1	1
325	нее и	1	1
326	эта последняя	1	1
327	в понимании	1	1
328	не как	2	1
329	свое время	1	1
330	чем она	1	1
331	уже за	1	1
332	его от	2	1
333	подобно тому	1	1
334	двусмысленности и	1	1
335	его можно	1	1
336	в нее	1	1
337	именно это	1	1
338	от нее	3	1
339	отходит в	1	1
340	значение в	1	1
341	и дальше	1	1
342	себя не	1	1
343	это было	1	1
344	и мы	3	1
345	в существенном	1	1
346	моменты в	1	1
347	в свой	1	1
348	для них	1	1
349	он является	1	1
350	нет в	1	1
351	ни одной	2	1
352	все равно	3	1
353	этого не	1	1
354	с тем	4	1
355	и несмотря	1	1
356	а завершение	1	1
357	нисколько не	3	1
358	был бы	2	1
359	что подобное	1	1
360	которую он	2	1
361	места в	1	1
362	из общего	1	1
363	при изучении	1	1
364	по сравнению	2	1
365	к одному	1	1
366	в которых	5	1
367	его отношение	1	1
368	лишь средством	1	1
369	них является	1	1
370	иным как	1	1
371	том и	1	1
372	найти себе	1	1
373	однако в	4	1
374	так называемого	1	1
375	тому что	2	1
376	быть лишь	1	1
377	некоторых случаях	1	1
378	несколько часов	1	1
379	вплоть до	2	1
380	как можно	1	1
381	что с	2	1
382	виду что	1	1
383	дела до	1	1
384	что их	2	1
385	этой тенденции	1	1
386	и раскаяние	1	1
387	и два	1	1
388	в самых	1	1
389	и снова	1	1
390	идет в	1	1
391	для завершения	1	1
392	найти в	1	1
393	и без	2	1
394	находятся в	1	1
395	и лишь	1	1
396	возможным не	1	1
397	того в	1	1
398	к концу	2	1
399	в сознании	1	1
400	до того	2	1
401	ли это	1	1
402	ему не	3	1
403	один шаг	2	1
404	и со	2	1
405	от их	1	1
406	в задачу	1	1
407	уже о	1	1
408	два момента	1	1
409	живет на	1	1
410	приходит к	1	1
411	я вхожу	1	1
412	свою очередь	6	1
413	говоря уже	1	1
414	мы конечно	1	1
415	без всякого	2	1
416	если в	1	1
417	за пределами	2	1
418	действия и	1	1
419	как с	1	1
420	что у	1	1
421	было в	1	1
422	мог бы	1	1
423	на которую	1	1
424	в одном	2	1
425	не были	1	1
426	это только	1	1
427	строго говоря	1	1
428	это как	1	1
429	даже совершенно	1	1
430	из других	1	1
431	как раньше	1	1
432	средством для	1	1
433	понять как	1	1
434	не самого	1	1
435	нашей работы	1	1
436	настоящее время	1	1
437	на что	1	1
438	должна бы	1	1
439	для нас	1	1
440	а также	2	1
441	мы понимаем	1	1
442	комедии и	3	1
443	во втором	1	1
444	таким путем	1	1
445	человека из	1	1
446	в глазах	8	1
447	них в	1	1
448	мы вполне	1	1
449	она на	1	1
450	несколько иначе	2	1
451	что здесь	1	1
452	на которой	1	1
453	к которой	1	1
454	из сторон	1	1
455	драматический характер	1	1
456	рассказом о	1	1
457	человека с	1	1
458	и теперь	1	1
459	со своим	1	1
460	только на	1	1
461	каким образом	1	1
462	в душе	1	1
463	из них	5	1
464	его и	1	1
465	моментов в	1	1
466	с этими	1	1
467	ее не	1	1
468	к ним	3	1
469	не о	3	1
470	может служить	1	1
471	друг друга	4	1
472	от ответственности	1	1
473	можно скорее	1	1
474	которые как	1	1
475	чувствует себя	2	1
476	выходит за	1	1
477	всего содержания	1	1
478	до сих	9	1
479	ли он	1	1
480	или иначе	2	1
481	нас в	1	1
482	а о	2	1
483	человека а	1	1
484	и психологическая	1	1
485	уходит в	1	1
486	и между	1	1
487	мы еще	1	1
488	виде и	1	1
489	затем в	1	1
490	только что	7	1
491	а на	2	1
492	на этот	3	1
493	до конца	4	1
494	не совсем	2	1
495	с которым	1	1
496	как ни	1	1
497	все время	2	1
498	чем на	1	1
499	о чем	7	1
500	отнесенный к	1	1
501	сходится с	1	1
502	что мы	2	1
503	что угодно	1	1
504	и ему	1	1
505	вместе с	9	1
506	так же	4	1
507	и особенно	2	1
508	до этого	2	1
509	но этот	1	1
510	видит в	1	1
511	для обозначения	2	1
512	сравнению с	2	1
513	для создания	1	1
514	образом и	1	1
515	лицом к	1	1
516	совсем другой	3	1
517	тому как	1	1
518	первом случае	1	1
519	не сделает	1	1
520	составу и	1	1
521	быть не	1	1
522	аналогии с	2	1
523	впрочем не	1	1
524	и звучит	1	1
525	сих пор	9	1
526	в смысле	1	1
527	но едва	1	1
528	к вопросу	1	1
529	особый характер	1	1
530	сам же	1	1
531	анализа хотя	1	1
532	и может	1	1
533	к тому	6	1
534	в результате	2	1
535	и душевной	1	1
536	в настоящее	1	1
537	полном согласии	1	1
538	к счастью	1	1
539	это может	1	1
540	бы в	4	1
541	отношению ко	2	1
542	хотя в	1	1
543	отношении к	1	1
544	к лицу	1	1
545	жизни в	1	1
546	но если	3	1
547	не говоря	1	1
548	равно как	2	1
549	жизни а	1	1
550	из этого	2	1
551	в свое	2	1
552	выходят за	1	1
553	в которой	3	1
554	в действительности	1	1
555	жизни и	1	1
556	к этой	2	1
557	это в	2	1
