N	3gram	Ircho_Kome_3	Literetu
1	то же время	4	7
2	в то же	4	7
3	в этом отношении	2	5
4	в отличие от	1	5
5	к тому же	4	5
6	по отношению к	3	4
7	не говоря уже	1	4
8	с одной стороны	3	4
9	о том что	4	4
10	в том что	9	4
11	в том числе	1	3
12	в соответствии с	1	3
13	с точки зрения	3	3
14	говоря уже о	1	3
15	с которой она	1	2
16	состоит в том	2	2
17	в самом деле	6	2
18	подобно тому как	1	2
19	то же самое	3	2
20	одной стороны и	1	2
21	бы то ни	2	2
22	том числе и	1	2
23	и в частности	1	2
24	в том чтобы	1	2
25	то ни было	2	2
26	так или иначе	2	2
27	с другой стороны	2	2
28	и в самом	3	2
29	на то что	1	2
30	это как раз	1	1
31	хотя и не	2	1
32	между отцом и	2	1
33	х годов в	1	1
34	о том как	3	1
35	так и не	1	1
36	приход к власти	1	1
37	и к тому	1	1
38	друг от друга	1	1
39	вместе с тем	3	1
40	и не стал	1	1
41	в этой связи	2	1
42	в первую очередь	1	1
43	к человеку и	1	1
44	и т п	3	1
45	с ней в	1	1
46	может быть только	1	1
47	а заодно и	1	1
48	как раз в	1	1
49	едва ли не	1	1
50	в самом начале	1	1
51	если говорить о	1	1
52	особый интерес в	1	1
53	на мой взгляд	1	1
54	но при этом	1	1
55	в связи с	3	1
56	вопрос о том	1	1
57	он и не	2	1
58	как бы в	1	1
59	для того чтобы	6	1
60	жизни вовсе не	1	1
61	еще раз в	1	1
62	этой точки зрения	1	1
63	более или менее	1	1
64	только на то	1	1
65	в свою очередь	6	1
66	ничего общего с	1	1
67	не имеет силы	1	1
68	да что там	1	1
69	в конечном счете	2	1
70	с этой точки	1	1
71	по собственному усмотрению	1	1
72	к тому что	1	1
73	предела за которым	1	1
74	в отношении к	1	1
75	тем не менее	3	1
