N	3gram	Vygotskiy__7	Sotsiolo
1	и заключается что	1	2
2	в том что	13	2
3	в конце концов	1	2
4	по отношению к	5	2
5	это и есть	1	1
6	между собой не	1	1
7	в том и	3	1
8	и в этом	1	1
9	то же самое	5	1
10	должно было бы	1	1
11	сама по себе	1	1
12	в конечном счете	2	1
13	благодаря тому что	2	1
14	том что это	1	1
15	друг от друга	2	1
16	в то же	1	1
17	в этой области	1	1
18	что все это	1	1
19	и никак не	1	1
20	прежде всего не	1	1
21	в лучшем случае	2	1
22	с одной стороны	5	1
23	том и заключается	1	1
24	он различает два	1	1
25	во всяком случае	1	1
