N	2gram	Bakhtin_Pr_1	Analitik
1	в качестве	1	31
2	может быть	24	29
3	в том	8	27
4	не может	12	22
5	и не	31	21
6	в частности	1	19
7	и в	29	18
8	но и	14	17
9	а не	22	17
10	не только	15	15
11	тогда как	1	14
12	не в	7	14
13	в этом	22	13
14	как и	12	13
15	в его	24	13
16	при этом	2	12
17	том что	7	12
18	литературное произведение	1	12
19	в себе	7	11
20	произведения в	2	11
21	но не	9	10
22	то же	14	9
23	в то	10	9
24	а в	7	9
25	в мире	6	8
26	но в	7	8
27	в той	2	8
28	не есть	2	8
29	к тому	1	7
30	художественного восприятия	1	7
31	этого слова	1	7
32	мы имеем	1	6
33	в сущности	5	6
34	по отношению	8	6
35	в самом	10	6
36	в случае	1	6
37	это не	9	6
38	далеко не	3	6
39	точки зрения	19	6
40	в своей	8	6
41	в основе	4	6
42	должен быть	1	6
43	в себя	3	6
44	времени и	1	6
45	же время	9	6
46	только в	10	6
47	себя в	1	6
48	то что	15	6
49	прежде всего	7	6
50	художественного произведения	1	5
51	в их	3	5
52	и на	7	5
53	и как	7	5
54	в произведении	4	5
55	в целом	6	5
56	в этой	4	5
57	лишь в	1	5
58	и его	14	5
59	о том	1	5
60	между тем	5	5
61	такого рода	1	5
62	как бы	19	5
63	отношению к	8	5
64	что в	8	5
65	все же	9	4
66	сознания в	1	4
67	не следует	1	4
68	с другими	7	4
69	не всегда	1	4
70	с точки	13	4
71	и другого	1	4
72	большей или	1	4
73	по себе	8	4
74	в области	1	4
75	ни в	3	4
76	могут быть	6	4
77	так и	7	4
78	с ним	5	4
79	в другом	1	4
80	на вопрос	2	4
81	с другой	3	4
82	того что	1	4
83	уже не	13	4
84	для того	1	4
85	именно в	5	4
86	данного художественного	1	4
87	себя и	2	4
88	во времени	3	4
89	из которых	2	4
90	в литературе	4	4
91	как предмет	4	4
92	ни было	2	4
93	или меньшей	1	4
94	и т	4	3
95	одним из	6	3
96	и есть	2	3
97	подхода к	1	3
98	место в	1	3
99	в полной	1	3
100	бы то	2	3
101	в рамках	1	3
102	в художественном	3	3
103	что как	1	3
104	однако не	2	3
105	вступает в	1	3
106	и к	2	3
107	автора и	5	3
108	в нашем	1	3
109	как он	1	3
110	в нем	19	3
111	он не	5	3
112	вследствие этого	2	3
113	по природе	1	3
114	подобно тому	3	3
115	таким образом	12	3
116	то ни	2	3
117	не будет	1	3
118	бы быть	1	3
119	полной мере	1	3
120	того или	1	3
121	даже в	4	3
122	ведет к	1	3
123	смысл и	1	3
124	в котором	2	3
125	своего рода	1	3
126	однако в	2	3
127	того чтобы	1	3
128	т п	3	3
129	того и	1	3
130	о нем	9	3
131	в таком	1	3
132	как будто	3	3
133	данного произведения	2	3
134	не могут	6	3
135	оно может	2	3
136	могла бы	1	3
137	если бы	9	3
138	к нему	6	3
139	с его	9	3
140	еще не	5	3
141	что и	4	3
142	принципиально не	1	3
143	а именно	1	3
144	а с	1	3
145	что не	1	3
146	более того	5	3
147	личности в	4	3
148	художественного видения	7	3
149	тому как	3	3
150	быть не	1	3
151	что мы	1	3
152	она может	1	3
153	и одновременно	3	3
154	и все	1	3
155	хотя бы	2	3
156	будто бы	1	3
157	я в	1	3
158	что он	8	3
159	или иного	1	3
160	отношения к	3	2
161	самом деле	6	2
162	на самом	5	2
163	он может	3	2
164	в первом	1	2
165	едва ли	1	2
166	той же	5	2
167	а как	7	2
168	на себя	2	2
169	как совокупность	1	2
170	и самого	4	2
171	иного рода	1	2
172	данном случае	2	2
173	то он	2	2
174	не все	1	2
175	отношение к	2	2
176	часть первая	1	2
177	нет и	1	2
178	за пределы	7	2
179	что именно	1	2
180	до его	1	2
181	как к	3	2
182	могли бы	2	2
183	как уже	1	2
184	его к	2	2
185	в противоположность	2	2
186	то в	1	2
187	в которой	2	2
188	все эти	9	2
189	из этих	1	2
190	и до	3	2
191	героя к	1	2
192	на его	2	2
193	как личность	1	2
194	какой бы	2	2
195	и по	1	2
196	на этом	1	2
197	или иных	1	2
198	и с	4	2
199	из них	1	2
200	вовсе не	7	2
201	так как	6	2
202	несмотря на	6	2
203	произведения однако	1	2
204	такой же	1	2
205	одного и	1	2
206	для него	18	2
207	от своего	1	2
208	художественного творчества	3	2
209	не становится	5	2
210	к предмету	1	2
211	не столько	1	2
212	вопрос о	2	2
213	художественного мира	5	2
214	для данного	1	2
215	том и	1	2
216	для этого	1	2
217	в процессе	4	2
218	совпадает с	2	2
219	сознанию как	1	2
220	только не	1	2
221	в творческом	1	2
222	никогда не	3	2
223	героя это	1	2
224	потому что	8	2
225	ничто не	1	2
226	в сознании	2	2
227	нас самих	1	2
228	отличается от	3	2
229	же самое	1	2
230	для себя	2	2
231	как мы	4	2
232	роль в	1	2
233	и о	5	2
234	ни одно	1	2
235	здесь не	1	2
236	в пределах	13	2
237	в искусстве	1	2
238	и сам	2	2
239	художественное творчество	1	2
240	должно быть	4	2
241	и та	1	2
242	за пределами	1	2
243	можно сказать	1	2
244	другого сознания	1	2
245	ним и	3	2
246	утрачивает свою	1	2
247	является по	1	2
248	романа в	3	2
249	целого как	1	2
250	один из	2	2
251	ли он	1	2
252	который в	1	2
253	бы ни	1	2
254	в начале	1	2
255	его и	2	2
256	следует что	1	2
257	автора или	1	2
258	себе в	1	2
259	сами по	3	2
260	при всей	1	2
261	не о	2	2
262	может служить	1	2
263	бытия и	1	2
264	случае не	1	2
265	этом отношении	3	2
266	со стороны	1	2
267	было бы	5	2
268	что из	2	2
269	мира в	5	2
270	может выступать	1	2
271	и потому	6	2
272	из возможных	2	2
273	в данном	2	2
274	что же	4	2
275	первом случае	1	2
276	внешнего мира	3	2
277	анализа мы	1	2
278	тех или	1	2
279	самого произведения	1	2
280	литературному произведению	1	2
281	другой стороны	3	2
282	была бы	3	2
283	героя в	4	2
284	в какой	1	2
285	подошли к	1	1
286	себя как	2	1
287	художественном произведении	1	1
288	же нам	1	1
289	например в	3	1
290	самим по	1	1
291	мира не	2	1
292	смысле слова	1	1
293	в напряженном	1	1
294	этого мира	6	1
295	позицией автора	1	1
296	отношения между	1	1
297	по преимуществу	2	1
298	сам автор	1	1
299	все те	2	1
300	должна быть	5	1
301	и больше	1	1
302	этому пути	1	1
303	видеть в	1	1
304	в зависимости	5	1
305	авторскому сознанию	3	1
306	форма его	1	1
307	мы уже	2	1
308	на тех	1	1
309	и души	2	1
310	системное единство	1	1
311	о способах	2	1
312	к художественному	1	1
313	мы не	1	1
314	точке соприкосновения	1	1
315	слово о	7	1
316	есть нечто	1	1
317	оно есть	1	1
318	что герой	2	1
319	соприкосновения разных	1	1
320	как не	8	1
321	зависимости от	5	1
322	здесь как	1	1
323	не способен	1	1
324	что достоевский	1	1
325	героев в	3	1
326	в ней	2	1
327	свою очередь	1	1
328	меньшей степени	1	1
329	над ним	1	1
330	быть понято	1	1
331	понято как	1	1
332	заключенных в	1	1
333	по этому	1	1
334	основная особенность	2	1
335	он сам	3	1
336	оно ни	2	1
337	является таким	1	1
338	во всех	1	1
339	тем как	4	1
340	как если	1	1
341	в ее	1	1
342	но как	3	1
343	а только	1	1
344	на трех	1	1
345	к которой	1	1
346	не входит	3	1
347	сознания не	4	1
348	личность как	1	1
349	существенно что	1	1
350	отдельных наблюдений	1	1
351	первый взгляд	1	1
352	независимо от	1	1
353	его на	2	1
354	как в	6	1
355	как образ	2	1
356	как нам	1	1
357	что касается	1	1
358	выход за	1	1
359	в противном	1	1
360	по соображениям	1	1
361	и наконец	4	1
362	более или	1	1
363	а перед	1	1
364	все возможные	3	1
365	значение этих	1	1
366	о самом	1	1
367	объективного описания	1	1
368	со своей	1	1
369	не приходится	1	1
370	точкой зрения	1	1
371	та же	1	1
372	в литературном	1	1
373	степени как	1	1
374	что это	1	1
375	бы с	1	1
376	он в	3	1
377	не оставляет	1	1
378	взаимодействие не	1	1
379	в известном	1	1
380	романа но	1	1
381	имеем в	1	1
382	а вовсе	1	1
383	справедливо отмечает	1	1
384	противном случае	1	1
385	вера в	1	1
386	к миру	1	1
387	в рамки	2	1
388	разных сознаний	1	1
389	к некоторому	1	1
390	событийна и	1	1
391	которые обычно	1	1
392	всех этих	2	1
393	не значит	4	1
394	первой части	1	1
395	не как	14	1
396	а о	1	1
397	мысли как	1	1
398	из него	1	1
399	его можно	1	1
400	плана и	1	1
401	такая постановка	1	1
402	самое поразительное	1	1
403	ни был	2	1
404	в основу	1	1
405	но все	5	1
406	от нее	1	1
407	здесь мы	2	1
408	взаимодействие с	1	1
409	что все	1	1
410	выражение и	1	1
411	же не	2	1
412	в состоянии	1	1
413	пусть и	1	1
414	и внутренняя	1	1
415	высказывания и	1	1
416	его в	6	1
417	ощущается как	1	1
418	заключается в	1	1
419	за собою	2	1
420	с самим	1	1
421	сохраняя свою	1	1
422	и романа	1	1
423	произведения не	1	1
424	для них	1	1
425	в них	3	1
426	героя или	1	1
427	все равно	1	1
428	не утратили	1	1
429	и уже	2	1
430	он и	5	1
431	сводит его	1	1
432	между собою	1	1
433	литературных произведений	1	1
434	действительно не	1	1
435	остается в	1	1
436	себе все	1	1
437	чужих слов	1	1
438	сосредоточиться на	1	1
439	и становится	1	1
440	или менее	1	1
441	и ее	2	1
442	сознания но	2	1
443	в отношении	2	1
444	к истории	1	1
445	взгляд на	1	1
446	знает и	1	1
447	что говорит	1	1
448	в которых	2	1
449	в авторском	4	1
450	жизни с	1	1
451	одном из	1	1
452	есть его	1	1
453	него не	2	1
454	точку зрения	6	1
455	остается вне	1	1
456	но он	2	1
457	не превращает	1	1
458	не его	1	1
459	по крайней	1	1
460	далека от	1	1
461	их в	4	1
462	лишь одним	2	1
463	зрения и	2	1
464	с позицией	1	1
465	тому что	3	1
466	да ведь	2	1
467	раз и	4	1
468	этих трех	1	1
469	ему как	1	1
470	между людьми	1	1
471	с миром	1	1
472	слова до	1	1
473	человека но	2	1
474	одна из	3	1
475	к этим	2	1
476	на него	3	1
477	его самости	1	1
478	было не	1	1
479	или лучше	1	1
480	сознания как	1	1
481	наблюдений над	1	1
482	может только	1	1
483	на котором	3	1
484	не всякий	1	1
485	ничего не	5	1
486	такова что	1	1
487	того в	1	1
488	к концу	1	1
489	самом произведении	2	1
490	рождается в	1	1
491	но это	4	1
492	документ но	1	1
493	эти три	1	1
494	слова о	1	1
495	входят в	2	1
496	как смысловая	1	1
497	в каком	1	1
498	дистанции между	1	1
499	с другом	1	1
500	представляется нам	2	1
501	одно и	1	1
502	к себе	2	1
503	значение только	1	1
504	он видел	1	1
505	здесь совершенно	1	1
506	всего в	1	1
507	его с	1	1
508	отсюда вытекает	1	1
509	завершающего слова	1	1
510	оно не	3	1
511	особый тип	1	1
512	и был	1	1
513	других сознаний	1	1
514	героя для	1	1
515	тогда я	1	1
516	в виду	1	1
517	но при	1	1
518	и сами	1	1
519	людей в	1	1
520	самим собою	2	1
521	чтобы быть	1	1
522	и объектное	1	1
523	лучше сказать	1	1
524	сознания с	2	1
525	условии что	1	1
526	автора не	1	1
527	это путь	1	1
