N	3gram	Vinokur_Ku_3	Hudozhes
1	по отношению к	2	10
2	в отличие от	2	7
3	то же время	1	6
4	в то же	1	6
5	более или менее	2	5
6	с другой стороны	3	5
7	той или иной	5	5
8	в том что	8	5
9	и того же	2	3
10	с точки зрения	16	3
11	одного и того	2	3
12	в конечном счете	1	3
13	тем не менее	9	3
14	того или иного	3	3
15	в этом смысле	1	3
16	в той или	2	2
17	тот или иной	2	2
18	в таком случае	2	2
19	и в то	1	2
20	в противном случае	1	2
21	в коем случае	1	2
22	войне и мире	1	2
23	ни в коем	1	2
24	с одной стороны	4	2
25	в стилистическом отношении	1	2
26	а с другой	3	2
27	в свою очередь	1	2
28	для того чтобы	11	2
29	тем или иным	1	2
30	в войне и	1	2
31	на наших глазах	1	2
32	в том числе	2	2
33	к тому что	1	2
34	и прежде всего	1	2
35	сама по себе	2	2
36	между прочим что	1	1
37	том отношении что	1	1
38	если он не	1	1
39	в виду не	1	1
40	а не с	1	1
41	прежде всего в	1	1
42	одним и тем	2	1
43	в этом случае	4	1
44	он мог бы	1	1
45	в одной из	1	1
46	а тем более	1	1
47	в зависимости от	7	1
48	в иных случаях	1	1
49	можно говорить о	3	1
50	что он не	1	1
51	при этом что	2	1
52	бы то ни	1	1
53	в каждом человеке	1	1
54	только то что	2	1
55	лингвистической точки зрения	1	1
56	из того что	1	1
57	лежат в основе	1	1
58	значении этого слова	1	1
59	и роман и	1	1
60	с этой точки	1	1
61	по крайней мере	1	1
62	то или иное	2	1
63	в том случае	4	1
64	на время в	1	1
65	может быть и	1	1
66	которые лежат в	1	1
67	этом смысле можно	1	1
68	который может быть	1	1
69	по себе еще	1	1
70	не более чем	1	1
71	в той мере	1	1
72	в известном смысле	2	1
73	все без исключения	1	1
74	не могут быть	2	1
75	или иной форме	1	1
76	прошлом и тем	1	1
77	в связи с	4	1
78	в первую очередь	3	1
79	в том отношении	1	1
80	а в ее	1	1
81	так же как	1	1
82	лишь в самом	1	1
83	в свое время	2	1
84	в то время	1	1
85	а в том	1	1
86	что даже в	1	1
87	не говорит что	1	1
88	в одном случае	1	1
89	о том что	3	1
90	этой точки зрения	1	1
91	и в самом	4	1
92	имеет в своем	1	1
93	именно потому что	1	1
94	ту или иную	1	1
95	мы имеем в	1	1
96	мере в какой	1	1
97	в данном отношении	1	1
98	друг от друга	1	1
99	только о том	1	1
100	той мере в	1	1
101	тех или иных	1	1
102	и тем же	2	1
103	эти могут быть	2	1
104	дело не в	2	1
105	быть не может	1	1
106	не может быть	3	1
107	к тому же	2	1
108	себе еще не	1	1
109	в рамках одного	1	1
