N	2gram	Potebnia_M_3	VLabPisa
1	таким образом	14	27
2	в этом	10	26
3	и в	30	25
4	и т	5	24
5	не только	21	22
6	может быть	28	21
7	и не	15	19
8	не может	6	17
9	т д	3	15
10	в его	4	15
11	в процессе	1	14
12	прежде всего	3	13
13	в том	32	13
14	этом отношении	2	13
15	все это	4	12
16	в силу	3	11
17	из них	6	11
18	с другой	7	11
19	в художественном	1	10
20	не могут	5	10
21	о том	2	10
22	т п	2	9
23	об этом	2	9
24	что в	17	9
25	для него	9	9
26	по этому	1	9
27	но и	19	9
28	то же	23	9
29	к этому	3	9
30	все эти	1	8
31	другой стороны	4	8
32	могут быть	3	8
33	не следует	5	8
34	в своем	5	8
35	из этих	9	7
36	как и	10	7
37	же в	2	7
38	отношению к	5	7
39	не было	4	7
40	этому поводу	1	7
41	произведения и	1	7
42	во всех	1	7
43	вместе с	12	7
44	по отношению	5	7
45	творчества в	1	7
46	а не	15	7
47	было бы	9	7
48	том что	18	7
49	главным образом	1	6
50	в себе	16	6
51	и его	4	6
52	так и	11	6
53	в нем	9	6
54	у него	2	6
55	идеи и	2	6
56	художественное творчество	1	6
57	между тем	9	6
58	это не	1	6
59	то что	18	6
60	в порядке	1	6
61	это и	2	6
62	в то	10	6
63	или менее	3	6
64	более или	3	6
65	том же	2	6
66	художественного произведения	5	6
67	их в	2	6
68	одним из	1	5
69	все же	2	5
70	же время	5	5
71	не в	15	5
72	в их	2	5
73	в искусстве	3	5
74	сказать что	5	5
75	один из	4	5
76	очевидно что	5	5
77	действительности и	3	5
78	тому что	3	5
79	он говорит	2	5
80	только в	21	5
81	в результате	1	5
82	художника и	2	5
83	и есть	3	5
84	не является	1	5
85	связи с	2	5
86	как бы	3	5
87	и при	4	5
88	можно сказать	3	4
89	даже в	2	4
90	в своей	2	4
91	в одном	2	4
92	чем же	1	4
93	художественное произведение	6	4
94	в ее	2	4
95	это только	1	4
96	в целом	3	4
97	них не	1	4
98	перед нами	2	4
99	в единстве	1	4
100	художественный образ	2	4
101	что все	3	4
102	с ними	1	4
103	в них	5	4
104	равно как	1	4
105	в этой	2	4
106	когда он	1	4
107	в самом	8	4
108	образов и	2	4
109	для его	1	4
110	к тому	7	4
111	их и	1	4
112	с его	1	4
113	должен быть	1	4
114	художественном произведении	3	4
115	что он	6	4
116	при создании	2	3
117	или в	3	3
118	жизни и	2	3
119	что они	2	3
120	так же	3	3
121	как на	5	3
122	в котором	4	3
123	и ее	1	3
124	точки зрения	2	3
125	вслед за	3	3
126	что без	1	3
127	к работе	1	3
128	и трудно	1	3
129	имеет свою	1	3
130	например в	6	3
131	и он	1	3
132	с тем	7	3
133	его в	3	3
134	сводится к	1	3
135	например что	1	3
136	того что	18	3
137	нет и	1	3
138	но как	2	3
139	только что	8	3
140	из его	1	3
141	ее в	1	3
142	человека и	5	3
143	что не	8	3
144	и от	4	3
145	с этим	6	3
146	мы видели	4	3
147	явлений и	2	3
148	том как	3	3
149	в слове	32	3
150	бы в	2	3
151	него в	1	3
152	образом в	3	3
153	во время	2	3
154	именно в	3	3
155	никак не	3	3
156	что и	13	3
157	она не	2	3
158	далеко не	4	3
159	его не	1	3
160	и по	4	3
161	в которых	2	3
162	говорить не	1	3
163	по поводу	4	3
164	и художественное	1	3
165	в виду	1	3
166	и как	5	3
167	как о	2	3
168	мы знаем	1	3
169	бы не	4	2
170	идеи в	2	2
171	произведения не	2	2
172	в которой	3	2
173	и непосредственно	1	2
174	еще не	5	2
175	образом даже	1	2
176	говорить о	3	2
177	с нею	2	2
178	собою и	1	2
179	из себя	2	2
180	по одному	1	2
181	одной из	2	2
182	как например	1	2
183	даже не	1	2
184	отличается от	1	2
185	на это	4	2
186	что многие	1	2
187	необходимость в	1	2
188	показывает что	2	2
189	еще и	1	2
190	в жизни	1	2
191	крайней мере	5	2
192	не менее	5	2
193	зависит от	6	2
194	вовсе не	7	2
195	по крайней	5	2
196	в сознании	15	2
197	сих пор	3	2
198	при всей	1	2
199	было в	1	2
200	до сих	3	2
201	в системе	2	2
202	которая не	2	2
203	с другими	5	2
204	если в	1	2
205	того чтобы	3	2
206	во всяком	1	2
207	по себе	16	2
208	только то	1	2
209	например не	2	2
210	между прочим	1	2
211	на язык	1	2
212	а в	12	2
213	слова не	2	2
214	по его	1	2
215	между ними	1	2
216	образа в	4	2
217	самого себя	3	2
218	стороны и	1	2
219	он сам	1	2
220	в образе	3	2
221	как он	1	2
222	но не	7	2
223	остановимся на	1	2
224	знаем что	1	2
225	и слова	2	2
226	связанное с	2	2
227	что ни	2	2
228	что даже	4	2
229	каждом отдельном	1	2
230	мышления в	1	2
231	не об	1	2
232	и даже	2	2
233	хотя и	1	2
234	что для	4	2
235	которые в	1	2
236	для того	4	2
237	в большей	2	2
238	а как	2	2
239	но в	1	2
240	само собою	1	2
241	начнем с	1	2
242	и главным	1	2
243	что при	3	2
244	тогда когда	9	2
245	на время	1	2
246	что такое	2	2
247	лишь в	1	2
248	относится к	4	2
249	в чем	3	2
250	и потому	4	2
251	и быть	1	2
252	к ним	1	2
253	не столько	2	2
254	то это	6	2
255	без них	1	2
256	и может	3	2
257	в каждом	3	2
258	тому как	5	2
259	если бы	12	2
260	между собою	6	2
261	не всегда	2	2
262	только не	2	2
263	одной стороны	3	2
264	из своих	1	2
265	нет ни	2	2
266	не вполне	1	2
267	от того	8	2
268	нам остается	1	2
269	с одной	7	2
270	чтобы не	1	2
