N	3gram	Bakhtin_Pr_2	Freidism
1	с точки зрения	8	11
2	по отношению к	5	8
3	во всяком случае	1	7
4	не может быть	4	7
5	в самом деле	4	6
6	в большинстве случаев	8	5
7	в то же	5	4
8	можно сказать что	1	4
9	на самом деле	1	4
10	как мы уже	1	4
11	то же время	5	4
12	мы можем сказать	1	3
13	в таком случае	1	3
14	бы то ни	1	3
15	можем сказать что	1	3
16	в следующей главе	1	3
17	если бы он	1	3
18	в собственном смысле	1	3
19	на этот вопрос	2	3
20	в узком смысле	2	2
21	с одной стороны	1	2
22	он не только	1	2
23	с отцом и	1	2
24	но в то	3	2
25	может быть и	2	2
26	до сих пор	7	2
27	то ни было	1	2
28	в конце концов	2	2
29	и не может	4	2
30	так и в	1	2
31	в отличие от	4	2
32	ничего общего не	1	2
33	точку зрения на	1	2
34	то же самое	1	2
35	сказать о себе	1	2
36	тем не менее	2	2
37	это вовсе не	2	2
38	еще не стали	1	2
39	о том что	1	1
40	большое значение в	1	1
41	самую точку зрения	1	1
42	в другом человеке	2	1
43	с ним а	1	1
44	но при этом	2	1
45	и наконец к	1	1
46	что с точки	1	1
47	не опирается на	1	1
48	не только не	1	1
49	остается в пределах	1	1
50	до конца и	1	1
51	на этой почве	1	1
52	отца с сыном	1	1
53	друг на друга	2	1
54	сознание и в	1	1
55	как и речь	1	1
56	таким образом и	1	1
57	сказать что вся	1	1
58	в котором они	1	1
59	хотя бы и	1	1
60	в этом смысле	2	1
61	уже не может	1	1
62	может быть даже	1	1
63	в том что	1	1
64	о себе сам	1	1
65	только себя и	1	1
66	иное отношение к	1	1
67	в то время	2	1
68	и т д	4	1
69	но она не	1	1
70	в пределах того	1	1
71	мы не знаем	1	1
72	и в нем	1	1
73	во всех его	1	1
74	как раз и	2	1
75	однако в этом	1	1
76	что как раз	1	1
77	жизни а скорее	1	1
78	к себе самому	3	1
79	части нашей работы	1	1
80	в сознание и	1	1
81	в результате получается	1	1
82	той или иной	3	1
83	как мы видим	1	1
84	а может быть	1	1
85	сих пор не	1	1
86	конечно не в	1	1
87	оценки точки зрения	1	1
88	но в отличие	1	1
89	но все же	2	1
90	смысле этого слова	1	1
91	таком случае это	1	1
92	нам кажется что	2	1
93	точки зрения его	1	1
94	я что же	1	1
95	отражает в себе	1	1
96	в себе и	1	1
97	то что он	1	1
98	вполне понятно что	1	1
99	а как бы	1	1
100	собственном смысле слова	1	1
101	но тем не	1	1
102	в пределах одной	1	1
103	как и все	4	1
104	он не принимает	1	1
105	является одним из	1	1
106	силу и глубину	1	1
107	но прежде всего	1	1
108	с ними все	1	1
109	как и всякое	1	1
110	в такой форме	1	1
111	по крайней мере	1	1
112	он никогда не	1	1
113	и что он	1	1
114	а вовсе не	1	1
115	не в его	1	1
116	на которой он	1	1
117	смысле слова и	1	1
118	каких бы то	1	1
