N	2gram	Bakhtin_KF_1	slovoVRo
1	и в	24	41
2	в нем	28	30
3	то есть	1	26
4	могут быть	3	19
5	во всех	11	17
6	не только	5	16
7	и не	26	16
8	точки зрения	12	16
9	но и	9	16
10	а не	17	15
11	то же	5	14
12	и на	3	14
13	в то	3	14
14	и его	17	14
15	может быть	45	14
16	и др	1	14
17	не может	27	14
18	слова и	1	13
19	в его	40	13
20	в этом	14	12
21	до конца	3	12
22	же время	2	12
23	как бы	9	12
24	так и	2	11
25	в большинстве	1	10
26	себя в	8	9
27	все эти	10	9
28	той или	3	9
29	или иной	2	9
30	как в	2	8
31	но в	5	8
32	на его	1	8
33	в предмете	1	8
34	с точки	9	8
35	или в	1	8
36	может не	2	8
37	слова в	2	8
38	прежде всего	2	8
39	отношение к	5	7
40	все же	5	7
41	в своей	10	7
42	не в	12	7
43	вовсе не	7	7
44	с ним	5	7
45	всех его	2	7
46	все они	1	7
47	во всяком	1	7
48	того же	1	6
49	при этом	4	6
50	это не	10	6
51	в отношении	1	6
52	оно не	2	6
53	только в	16	6
54	большинстве случаев	1	6
55	и даже	1	6
56	а в	4	6
57	отношении к	2	6
58	и к	1	5
59	в самом	1	5
60	всяком случае	1	5
61	все это	10	5
62	в основе	5	5
63	подхода к	2	5
64	и мир	2	5
65	к нему	12	5
66	как его	4	5
67	точек зрения	1	5
68	еще более	2	5
69	на своем	3	5
70	ту же	1	4
71	в ней	3	4
72	еще не	4	4
73	с его	1	4
74	данный момент	3	4
75	и наконец	1	4
76	в которой	1	4
77	всех этих	3	4
78	не как	4	4
79	в каждом	3	4
80	связанных с	1	4
81	и с	1	4
82	лишь в	8	4
83	входит в	3	4
84	на почве	1	4
85	как и	5	4
86	в их	8	4
87	к предмету	1	4
88	том же	1	4
89	в процессе	2	4
90	и для	9	4
91	лежит в	1	4
92	с ее	2	4
93	ничего не	3	4
94	о нем	4	4
95	единого и	9	4
96	один из	2	4
97	рядом с	3	4
98	и все	7	4
99	там где	5	4
100	и потому	2	4
101	и от	1	4
102	и единственного	12	4
103	в смысле	6	4
104	здесь в	1	4
105	быть и	3	4
106	иные моменты	1	4
107	также и	1	3
108	в первом	1	3
109	в зависимости	1	3
110	единство и	1	3
111	зависимости от	1	3
112	в своем	16	3
113	бы и	3	3
114	момент его	8	3
115	в себе	21	3
116	его но	1	3
117	конца и	1	3
118	как оно	2	3
119	и может	3	3
120	его в	5	3
121	было бы	8	3
122	он не	6	3
123	и ее	2	3
124	от его	5	3
125	не должно	3	3
126	она не	1	3
127	нем в	1	3
128	не могло	1	3
129	следовательно и	1	3
130	никогда не	5	3
131	и здесь	7	3
132	к тому	1	3
133	смысле в	2	3
134	и единственный	5	3
135	и этим	3	3
136	образом в	1	3
137	но здесь	3	3
138	о том	3	3
139	не выходит	1	3
140	и во	1	3
141	нем и	3	3
142	в него	2	3
143	того что	3	3
144	в том	6	3
145	поэтому и	1	3
146	бы ни	1	3
147	в качестве	2	3
148	конечно не	7	3
149	и чисто	1	3
150	и других	2	3
151	его и	2	3
152	для него	8	3
153	так как	1	3
154	друг друга	1	3
155	именно в	5	3
156	в свою	3	3
157	по всей	1	3
158	смысла и	2	3
159	не было	8	3
160	в истории	1	3
161	но оно	1	3
162	с этим	1	3
163	в данном	2	3
164	и оценок	1	3
165	вне себя	1	3
166	мы найдем	1	3
167	в результате	1	3
168	лишь как	2	3
169	хотя бы	4	3
170	одной из	1	3
171	с ними	3	3
172	но эти	1	3
173	смысле слова	1	2
174	на самом	3	2
175	в чисто	1	2
176	в котором	24	2
177	оно было	1	2
178	мы уже	1	2
179	той же	1	2
180	а как	2	2
181	мы не	3	2
182	конечно и	1	2
183	слово не	3	2
184	свою очередь	1	2
185	и то	2	2
186	столь же	1	2
187	по своему	3	2
188	различия между	1	2
189	в ее	16	2
190	он может	2	2
191	но не	12	2
192	абстрактный момент	2	2
193	как к	2	2
194	хотя и	1	2
195	от этого	2	2
196	в целом	10	2
197	есть для	1	2
198	в известном	1	2
199	нами в	1	2
200	другом случае	1	2
201	время и	5	2
202	ответственность за	2	2
203	перестает быть	1	2
204	и единство	3	2
205	и по	1	2
206	на этом	1	2
207	всех своих	4	2
208	не из	2	2
209	на все	1	2
210	и иных	1	2
211	и единственным	1	2
212	нисколько не	4	2
213	был бы	3	2
214	том что	4	2
215	в эту	1	2
216	в этих	1	2
217	может казаться	1	2
218	но он	1	2
219	и эти	2	2
220	войти в	2	2
221	остановимся на	1	2
222	их взаимное	1	2
223	тому что	2	2
224	на один	1	2
225	в единство	2	2
226	дело не	2	2
227	из него	3	2
228	все свои	1	2
229	на язык	3	2
230	автор и	1	2
231	вне его	1	2
232	языка это	1	2
233	такая же	1	2
234	для нас	4	2
235	в сознании	2	2
236	ни о	1	2
237	к единому	3	2
238	в духе	1	2
239	вокруг него	2	2
240	всегда в	1	2
241	правда не	1	2
242	оно может	1	2
243	и о	1	2
244	единый и	3	2
245	при всех	1	2
246	на том	1	2
