N	2gram	Propp_Isto_3	KFilosof
1	может быть	11	43
2	в его	3	39
3	в нем	9	31
4	не может	4	27
5	и не	12	26
6	по отношению	2	25
7	и в	22	22
8	в котором	2	21
9	отношению к	2	21
10	не есть	1	19
11	и его	4	17
12	в ее	1	17
13	а не	6	17
14	только в	4	16
15	в этом	17	13
16	точки зрения	2	13
17	и это	2	12
18	но не	7	12
19	ни в	2	12
20	все эти	4	11
21	в своей	1	11
22	не в	4	11
23	к нему	5	11
24	в своем	2	10
25	это не	6	10
26	с точки	1	10
27	все это	1	10
28	и есть	2	9
29	в целом	3	9
30	для нее	2	9
31	но и	12	9
32	как бы	1	9
33	и для	2	9
34	и все	3	9
35	было бы	3	8
36	если бы	6	8
37	со стороны	3	8
38	не было	2	8
39	жизни и	2	8
40	то что	7	7
41	во всем	1	7
42	в себя	1	7
43	и здесь	7	7
44	что и	9	7
45	конечно не	1	7
46	вовсе не	2	7
47	я не	3	6
48	отношение к	4	6
49	отнюдь не	1	6
50	он не	5	6
51	в мире	1	6
52	и только	1	6
53	и действительно	2	6
54	совершенно не	2	6
55	уже не	7	6
56	и их	1	6
57	ко мне	2	6
58	но это	3	6
59	в том	9	6
60	мы имеем	19	5
61	но как	1	5
62	все же	5	5
63	но в	10	5
64	не только	14	5
65	то же	6	5
66	но все	2	5
67	его в	3	5
68	как и	3	5
69	не имеет	2	5
70	никогда не	3	5
71	с ним	1	5
72	там где	7	5
73	хотя бы	1	5
74	не знает	1	5
75	ко всему	1	5
76	я могу	1	5
77	быть в	1	4
78	в чем	3	4
79	при этом	2	4
80	не как	1	4
81	мне в	1	4
82	здесь мы	5	4
83	бы быть	1	4
84	входит в	1	4
85	к ним	1	4
86	в каком	1	4
87	с ними	3	4
88	между тем	2	4
89	могло бы	1	4
90	в одном	2	4
91	том что	8	4
92	для нас	4	4
93	а в	6	4
94	что в	15	4
95	самом деле	1	3
96	на самом	2	3
97	этого мира	1	3
98	должна быть	1	3
99	и этот	1	3
100	мы не	1	3
101	что это	1	3
102	в ней	2	3
103	еще не	10	3
104	и на	4	3
105	тем как	1	3
106	но конечно	2	3
107	себе и	2	3
108	нет и	1	3
109	независимо от	2	3
110	ясно и	1	3
111	и этим	1	3
112	бы не	1	3
113	всех этих	2	3
114	в корне	1	3
115	из него	1	3
116	могла бы	1	3
117	нем я	1	3
118	если ты	1	3
119	в другом	2	3
120	нигде не	1	3
121	что этот	1	3
122	не менее	5	3
123	меня не	1	3
124	я буду	2	3
125	где он	1	3
126	ничего не	6	3
127	меня и	1	3
128	в некотором	1	3
129	могут быть	5	3
130	меня в	1	3
131	здесь не	3	3
132	ясно что	1	3
133	отсюда и	1	3
134	но здесь	1	3
135	о том	3	3
136	того что	5	3
137	быть и	3	3
138	и тем	1	3
139	всем его	1	3
140	не дает	2	3
141	и должна	1	3
142	тем что	4	3
143	от того	1	3
144	что не	2	3
145	и пр	11	3
146	вступает в	3	3
147	по своему	1	3
148	от него	2	3
149	только с	1	3
150	но можно	1	3
151	в свою	4	3
152	в то	2	3
153	на своем	1	3
154	мы здесь	4	2
155	и то	2	2
156	это и	1	2
157	есть на	1	2
158	а как	1	2
159	если я	3	2
160	нас важно	1	2
161	вопрос о	2	2
162	целом не	2	2
163	в данном	4	2
164	жить и	1	2
165	к которой	1	2
166	как в	2	2
167	и как	3	2
168	ни одна	1	2
169	в этой	5	2
170	стороны ее	1	2
171	и тот	1	2
172	имеем в	4	2
173	человек не	1	2
174	в виде	2	2
175	так и	2	2
176	не будет	1	2
177	и положение	1	2
178	в жизни	2	2
179	соответствии с	1	2
